CP, 01, 2006081818,   , MIWU, 0, 104N, 1540W,  15, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ioke,
CP, 01, 2006081900,   , MIWU, 0, 103N, 1550W,  20, 1010, DB,
CP, 01, 2006081906,   , MIWU, 0, 102N, 1558W,  20, 1009, DB,
CP, 01, 2006081912,   , MIWU, 0, 102N, 1565W,  25, 1007, TD,
CP, 01, 2006081918,   , MIWU, 0, 101N, 1570W,  30, 1005, TD,
CP, 01, 2006082000,   , MIWU, 0, 100N, 1576W,  35, 1003, TS,
CP, 01, 2006082006,   , MIWU, 0, 102N, 1585W,  40, 1001, TS,
CP, 01, 2006082012,   , MIWU, 0, 107N, 1599W,  50,  996, TS,
CP, 01, 2006082018,   , MIWU, 0, 111N, 1617W,  60,  990, TS,
CP, 01, 2006082100,   , MIWU, 0, 112N, 1632W,  65,  987, HU,
CP, 01, 2006082106,   , MIWU, 0, 115N, 1644W,  70,  984, HU,
CP, 01, 2006082112,   , MIWU, 0, 119N, 1653W,  80,  978, HU,
CP, 01, 2006082118,   , MIWU, 0, 126N, 1661W, 105,  962, HU,
CP, 01, 2006082200,   , MIWU, 0, 134N, 1670W, 120,  950, HU,
CP, 01, 2006082206,   , MIWU, 0, 143N, 1678W, 115,  952, HU,
CP, 01, 2006082212,   , MIWU, 0, 152N, 1684W, 105,  957, HU,
CP, 01, 2006082218,   , MIWU, 0, 158N, 1692W,  95,  963, HU,
CP, 01, 2006082300,   , MIWU, 0, 163N, 1698W,  95,  963, HU,
CP, 01, 2006082306,   , MIWU, 0, 168N, 1702W,  95,  962, HU,
CP, 01, 2006082312,   , MIWU, 0, 172N, 1706W,  95,  962, HU,
CP, 01, 2006082318,   , MIWU, 0, 176N, 1710W,  95,  962, HU,
CP, 01, 2006082400,   , MIWU, 0, 181N, 1715W,  95,  961, HU,
CP, 01, 2006082406,   , MIWU, 0, 183N, 1720W, 105,  953, HU,
CP, 01, 2006082412,   , MIWU, 0, 185N, 1724W, 115,  945, HU,
CP, 01, 2006082418,   , MIWU, 0, 188N, 1729W, 135,  925, HU,
CP, 01, 2006082500,   , MIWU, 0, 190N, 1735W, 140,  920, HU,
CP, 01, 2006082506,   , MIWU, 0, 191N, 1742W, 145,  915, HU,
CP, 01, 2006082512,   , MIWU, 0, 192N, 1748W, 135,  918, HU,
CP, 01, 2006082518,   , MIWU, 0, 193N, 1753W, 135,  918, HU,
CP, 01, 2006082600,   , MIWU, 0, 193N, 1759W, 135,  917, HU,
CP, 01, 2006082606,   , MIWU, 0, 192N, 1765W, 140,  913, HU,
CP, 01, 2006082612,   , MIWU, 0, 189N, 1774W, 140,  913, HU,
CP, 01, 2006082618,   , MIWU, 0, 183N, 1781W, 135,  913, HU,
CP, 01, 2006082700,   , MIWU, 0, 179N, 1790W, 135,  913, HU,
CP, 01, 2006082706,   , MIWU, 0, 177N, 1799W, 135,  912, HU,
CP, 01, 2006082712,   , MIWU, 0, 173N, 1792E, 135,  912, ST,
CP, 01, 2006082718,   , MIWU, 0, 168N, 1783E, 140,  910, ST,
CP, 01, 2006082800,   , MIWU, 0, 165N, 1775E, 135,  912, ST,
CP, 01, 2006082806,   , MIWU, 0, 163N, 1766E, 135,  912, ST,
