EP, 01, 2006052512,   , MIWU, 0, 115N,  981W,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Aletta,
EP, 01, 2006052518,   , MIWU, 0, 117N,  991W,  20, 1009, DB,
EP, 01, 2006052600,   , MIWU, 0, 121N, 1000W,  20, 1008, DB,
EP, 01, 2006052606,   , MIWU, 0, 126N, 1005W,  20, 1008, DB,
EP, 01, 2006052612,   , MIWU, 0, 133N, 1005W,  25, 1006, TD,
EP, 01, 2006052618,   , MIWU, 0, 140N, 1004W,  25, 1005, TD,
EP, 01, 2006052700,   , MIWU, 0, 144N, 1006W,  30, 1003, TD,
EP, 01, 2006052706,   , MIWU, 0, 147N, 1009W,  35, 1001, TS,
EP, 01, 2006052712,   , MIWU, 0, 151N, 1010W,  40,  999, TS,
EP, 01, 2006052718,   , MIWU, 0, 155N, 1010W,  40,  999, TS,
EP, 01, 2006052800,   , MIWU, 0, 157N, 1011W,  40,  998, TS,
EP, 01, 2006052806,   , MIWU, 0, 156N, 1012W,  40,  998, TS,
EP, 01, 2006052812,   , MIWU, 0, 154N, 1011W,  40,  998, TS,
EP, 01, 2006052818,   , MIWU, 0, 155N, 1009W,  40,  998, TS,
EP, 01, 2006052900,   , MIWU, 0, 157N, 1010W,  40,  998, TS,
EP, 01, 2006052906,   , MIWU, 0, 160N, 1012W,  35, 1000, TS,
EP, 01, 2006052912,   , MIWU, 0, 161N, 1015W,  35, 1001, TS,
EP, 01, 2006052918,   , MIWU, 0, 160N, 1019W,  35, 1001, TS,
EP, 01, 2006053000,   , MIWU, 0, 159N, 1022W,  30, 1003, TD,
EP, 01, 2006053006,   , MIWU, 0, 160N, 1025W,  30, 1004, TD,
EP, 01, 2006053012,   , MIWU, 0, 161N, 1030W,  25, 1006, TD,
EP, 01, 2006053018,   , MIWU, 0, 162N, 1034W,  15, 1010, DB,
EP, 01, 2006053100,   , MIWU, 0, 163N, 1035W,  10, 1012, DB,
