EP, 03, 2006070906,   , MIWU, 0, 110N, 1052W,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bud,
EP, 03, 2006070912,   , MIWU, 0, 113N, 1059W,  20, 1011, DB,
EP, 03, 2006070918,   , MIWU, 0, 116N, 1065W,  20, 1010, DB,
EP, 03, 2006071000,   , MIWU, 0, 118N, 1070W,  25, 1008, TD,
EP, 03, 2006071006,   , MIWU, 0, 120N, 1077W,  25, 1008, TD,
EP, 03, 2006071012,   , MIWU, 0, 122N, 1084W,  30, 1006, TD,
EP, 03, 2006071018,   , MIWU, 0, 125N, 1092W,  35, 1004, TS,
EP, 03, 2006071100,   , MIWU, 0, 131N, 1101W,  40, 1002, TS,
EP, 03, 2006071106,   , MIWU, 0, 135N, 1110W,  45, 1000, TS,
EP, 03, 2006071112,   , MIWU, 0, 138N, 1118W,  55,  996, TS,
EP, 03, 2006071118,   , MIWU, 0, 140N, 1125W,  65,  990, HU,
EP, 03, 2006071200,   , MIWU, 0, 143N, 1136W,  75,  984, HU,
EP, 03, 2006071206,   , MIWU, 0, 147N, 1147W,  85,  976, HU,
EP, 03, 2006071212,   , MIWU, 0, 153N, 1158W,  95,  968, HU,
EP, 03, 2006071218,   , MIWU, 0, 160N, 1169W, 100,  964, HU,
EP, 03, 2006071300,   , MIWU, 0, 166N, 1182W, 105,  960, HU,
EP, 03, 2006071306,   , MIWU, 0, 172N, 1198W, 110,  956, HU,
EP, 03, 2006071312,   , MIWU, 0, 177N, 1213W, 105,  958, HU,
EP, 03, 2006071318,   , MIWU, 0, 181N, 1226W,  90,  962, HU,
EP, 03, 2006071400,   , MIWU, 0, 185N, 1240W,  75,  971, HU,
EP, 03, 2006071406,   , MIWU, 0, 192N, 1252W,  60,  982, TS,
EP, 03, 2006071412,   , MIWU, 0, 196N, 1264W,  50,  990, TS,
EP, 03, 2006071418,   , MIWU, 0, 198N, 1277W,  40,  996, TS,
EP, 03, 2006071500,   , MIWU, 0, 200N, 1293W,  35,  999, TS,
EP, 03, 2006071506,   , MIWU, 0, 202N, 1307W,  30, 1001, TD,
EP, 03, 2006071512,   , MIWU, 0, 205N, 1321W,  25, 1003, TD,
EP, 03, 2006071518,   , MIWU, 0, 209N, 1336W,  25, 1004, TD,
EP, 03, 2006071600,   , MIWU, 0, 216N, 1351W,  25, 1004, TD,
EP, 03, 2006071606,   , MIWU, 0, 221N, 1367W,  25, 1004, LO,
EP, 03, 2006071612,   , MIWU, 0, 223N, 1381W,  25, 1005, LO,
EP, 03, 2006071618,   , MIWU, 0, 228N, 1398W,  20, 1007, LO,
EP, 03, 2006071700,   , MIWU, 0, 235N, 1413W,  20, 1008, LO,
EP, 03, 2006071706,   , MIWU, 0, 242N, 1429W,  15, 1010, LO,
EP, 03, 2006071712,   , MIWU, 0, 248N, 1449W,  15, 1010, LO,
EP, 03, 2006071718,   , MIWU, 0, 256N, 1468W,  15, 1011, LO,
