EP, 13, 2006091300,   , MIWU, 0, 150N,  987W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lane,
EP, 13, 2006091306,   , MIWU, 0, 153N,  996W,  20, 1009, DB,
EP, 13, 2006091312,   , MIWU, 0, 157N, 1004W,  25, 1007, TD,
EP, 13, 2006091318,   , MIWU, 0, 160N, 1012W,  30, 1005, TD,
EP, 13, 2006091400,   , MIWU, 0, 164N, 1020W,  35, 1003, TS,
EP, 13, 2006091406,   , MIWU, 0, 167N, 1028W,  40, 1000, TS,
EP, 13, 2006091412,   , MIWU, 0, 172N, 1037W,  45,  997, TS,
EP, 13, 2006091418,   , MIWU, 0, 177N, 1045W,  45,  996, TS,
EP, 13, 2006091500,   , MIWU, 0, 181N, 1051W,  45,  995, TS,
EP, 13, 2006091506,   , MIWU, 0, 185N, 1056W,  50,  992, TS,
EP, 13, 2006091512,   , MIWU, 0, 192N, 1059W,  60,  986, TS,
EP, 13, 2006091518,   , MIWU, 0, 203N, 1062W,  70,  982, HU,
EP, 13, 2006091600,   , MIWU, 0, 213N, 1066W,  95,  972, HU,
EP, 13, 2006091606,   , MIWU, 0, 222N, 1069W, 105,  958, HU,
EP, 13, 2006091612,   , MIWU, 0, 231N, 1072W, 115,  952, HU,
EP, 13, 2006091618,   , MIWU, 0, 240N, 1071W, 110,  954, HU,
EP, 13, 2006091700,   , MIWU, 0, 247N, 1067W,  60,  981, TS,
EP, 13, 2006091706,   , MIWU, 0, 255N, 1062W,  30,  993, TD,
EP, 13, 2006091712,   , MIWU, 0, 264N, 1055W,  15, 1002, DB,
