EP, 15, 2006100718,   , MIWU, 0, 100N, 1135W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Norman,
EP, 15, 2006100800,   , MIWU, 0, 107N, 1143W,  20, 1011, DB,
EP, 15, 2006100806,   , MIWU, 0, 116N, 1152W,  20, 1011, DB,
EP, 15, 2006100812,   , MIWU, 0, 124N, 1160W,  25, 1010, TD,
EP, 15, 2006100818,   , MIWU, 0, 133N, 1165W,  25, 1009, TD,
EP, 15, 2006100900,   , MIWU, 0, 140N, 1171W,  30, 1007, TD,
EP, 15, 2006100906,   , MIWU, 0, 147N, 1174W,  35, 1005, TS,
EP, 15, 2006100912,   , MIWU, 0, 155N, 1176W,  40, 1003, TS,
EP, 15, 2006100918,   , MIWU, 0, 160N, 1178W,  45, 1001, TS,
EP, 15, 2006101000,   , MIWU, 0, 163N, 1180W,  45, 1000, TS,
EP, 15, 2006101006,   , MIWU, 0, 165N, 1181W,  40, 1002, TS,
EP, 15, 2006101012,   , MIWU, 0, 165N, 1180W,  40, 1003, TS,
EP, 15, 2006101018,   , MIWU, 0, 164N, 1178W,  30, 1007, TD,
EP, 15, 2006101100,   , MIWU, 0, 165N, 1174W,  30, 1008, TD,
EP, 15, 2006101106,   , MIWU, 0, 167N, 1168W,  30, 1008, TD,
EP, 15, 2006101112,   , MIWU, 0, 170N, 1162W,  30, 1008, TD,
EP, 15, 2006101118,   , MIWU, 0, 169N, 1154W,  25, 1010, TD,
EP, 15, 2006101200,   , MIWU, 0, 168N, 1147W,  25, 1010, TD,
EP, 15, 2006101206,   , MIWU, 0, 165N, 1141W,  25, 1010, TD,
EP, 15, 2006101212,   , MIWU, 0, 162N, 1136W,  20, 1011, DB,
EP, 15, 2006101218,   , MIWU, 0, 160N, 1132W,  20, 1011, DB,
EP, 15, 2006101300,   , MIWU, 0, 159N, 1126W,  20, 1010, DB,
EP, 15, 2006101306,   , MIWU, 0, 158N, 1120W,  20, 1010, DB,
EP, 15, 2006101312,   , MIWU, 0, 157N, 1112W,  25, 1008, TD,
EP, 15, 2006101318,   , MIWU, 0, 153N, 1100W,  30, 1006, TD,
EP, 15, 2006101400,   , MIWU, 0, 149N, 1088W,  35, 1004, TS,
EP, 15, 2006101406,   , MIWU, 0, 145N, 1077W,  35, 1003, TS,
EP, 15, 2006101412,   , MIWU, 0, 146N, 1065W,  30, 1005, TD,
EP, 15, 2006101418,   , MIWU, 0, 150N, 1052W,  30, 1005, TD,
EP, 15, 2006101500,   , MIWU, 0, 162N, 1040W,  30, 1004, TD,
EP, 15, 2006101506,   , MIWU, 0, 175N, 1037W,  35, 1002, TS,
EP, 15, 2006101512,   , MIWU, 0, 186N, 1039W,  35, 1001, TS,
EP, 15, 2006101518,   , MIWU, 0, 195N, 1038W,  30, 1002, TD,
EP, 15, 2006101600,   , MIWU, 0, 203N, 1035W,  20, 1006, DB,
EP, 15, 2006101606,   , MIWU, 0, 208N, 1031W,  15, 1008, DB,
