WP, 01, 2006030200,   , MIWU, 0,  40N, 1398E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, One-W,
WP, 01, 2006030206,   , MIWU, 0,  41N, 1395E,  20, 1008, DB,
WP, 01, 2006030212,   , MIWU, 0,  42N, 1392E,  20, 1008, DB,
WP, 01, 2006030218,   , MIWU, 0,  44N, 1390E,  20, 1007, DB,
WP, 01, 2006030300,   , MIWU, 0,  46N, 1388E,  20, 1007, DB,
WP, 01, 2006030306,   , MIWU, 0,  48N, 1389E,  25, 1005, TD,
WP, 01, 2006030312,   , MIWU, 0,  51N, 1388E,  30, 1003, TD,
WP, 01, 2006030318,   , MIWU, 0,  53N, 1386E,  35, 1001, TS,
WP, 01, 2006030400,   , MIWU, 0,  52N, 1384E,  35, 1000, TS,
WP, 01, 2006030406,   , MIWU, 0,  54N, 1383E,  40,  998, TS,
WP, 01, 2006030412,   , MIWU, 0,  59N, 1383E,  40,  998, TS,
WP, 01, 2006030418,   , MIWU, 0,  65N, 1384E,  40,  997, TS,
WP, 01, 2006030500,   , MIWU, 0,  70N, 1382E,  40,  997, TS,
WP, 01, 2006030506,   , MIWU, 0,  73N, 1380E,  35,  999, TS,
WP, 01, 2006030512,   , MIWU, 0,  72N, 1377E,  35, 1000, TS,
WP, 01, 2006030518,   , MIWU, 0,  69N, 1373E,  30, 1002, TD,
WP, 01, 2006030600,   , MIWU, 0,  64N, 1370E,  25, 1004, TD,
WP, 01, 2006030606,   , MIWU, 0,  58N, 1366E,  20, 1006, DB,
WP, 01, 2006030612,   , MIWU, 0,  51N, 1360E,  20, 1006, DB,
WP, 01, 2006030618,   , MIWU, 0,  45N, 1353E,  20, 1007, DB,
WP, 01, 2006030700,   , MIWU, 0,  42N, 1344E,  20, 1007, DB,
WP, 01, 2006030706,   , MIWU, 0,  41N, 1332E,  25, 1005, TD,
WP, 01, 2006030712,   , MIWU, 0,  40N, 1317E,  30, 1003, TD,
WP, 01, 2006030718,   , MIWU, 0,  41N, 1299E,  35, 1001, TS,
WP, 01, 2006030800,   , MIWU, 0,  43N, 1284E,  35, 1001, TS,
WP, 01, 2006030806,   , MIWU, 0,  46N, 1271E,  35, 1002, TS,
WP, 01, 2006030812,   , MIWU, 0,  50N, 1258E,  25, 1006, TD,
WP, 01, 2006030818,   , MIWU, 0,  55N, 1247E,  20, 1008, DB,
WP, 01, 2006030900,   , MIWU, 0,  61N, 1235E,  15, 1010, DB,
WP, 01, 2006030906,   , MIWU, 0,  68N, 1227E,  15, 1011, DB,
