WP, 04, 2006062800,   , MIWU, 0,  44N, 1432E,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ewiniar,
WP, 04, 2006062806,   , MIWU, 0,  47N, 1428E,  20, 1010, DB,
WP, 04, 2006062812,   , MIWU, 0,  50N, 1422E,  20, 1010, DB,
WP, 04, 2006062818,   , MIWU, 0,  53N, 1417E,  20, 1010, DB,
WP, 04, 2006062900,   , MIWU, 0,  56N, 1410E,  25, 1008, TD,
WP, 04, 2006062906,   , MIWU, 0,  59N, 1402E,  30, 1006, TD,
WP, 04, 2006062912,   , MIWU, 0,  61N, 1395E,  35, 1004, TS,
WP, 04, 2006062918,   , MIWU, 0,  62N, 1390E,  40, 1002, TS,
WP, 04, 2006063000,   , MIWU, 0,  64N, 1388E,  45, 1000, TS,
WP, 04, 2006063006,   , MIWU, 0,  68N, 1386E,  45,  999, TS,
WP, 04, 2006063012,   , MIWU, 0,  72N, 1383E,  50,  997, TS,
WP, 04, 2006063018,   , MIWU, 0,  77N, 1380E,  55,  994, TS,
WP, 04, 2006070100,   , MIWU, 0,  84N, 1377E,  55,  994, TS,
WP, 04, 2006070106,   , MIWU, 0,  93N, 1372E,  55,  993, TS,
WP, 04, 2006070112,   , MIWU, 0, 101N, 1366E,  60,  990, TS,
WP, 04, 2006070118,   , MIWU, 0, 105N, 1361E,  60,  991, TS,
WP, 04, 2006070200,   , MIWU, 0, 109N, 1355E,  55,  993, TS,
WP, 04, 2006070206,   , MIWU, 0, 113N, 1352E,  55,  994, TS,
WP, 04, 2006070212,   , MIWU, 0, 117N, 1349E,  65,  988, TY,
WP, 04, 2006070218,   , MIWU, 0, 120N, 1346E,  70,  984, TY,
WP, 04, 2006070300,   , MIWU, 0, 124N, 1344E,  80,  976, TY,
WP, 04, 2006070306,   , MIWU, 0, 132N, 1343E, 110,  952, TY,
WP, 04, 2006070312,   , MIWU, 0, 141N, 1340E, 120,  942, TY,
WP, 04, 2006070318,   , MIWU, 0, 147N, 1335E, 110,  946, TY,
WP, 04, 2006070400,   , MIWU, 0, 153N, 1329E, 105,  948, TY,
WP, 04, 2006070406,   , MIWU, 0, 161N, 1324E, 110,  944, TY,
WP, 04, 2006070412,   , MIWU, 0, 167N, 1321E, 130,  920, ST,
WP, 04, 2006070418,   , MIWU, 0, 174N, 1316E, 145,  905, ST,
WP, 04, 2006070500,   , MIWU, 0, 179N, 1308E, 150,  900, ST,
WP, 04, 2006070506,   , MIWU, 0, 182N, 1302E, 125,  911, TY,
WP, 04, 2006070512,   , MIWU, 0, 184N, 1297E, 110,  920, TY,
WP, 04, 2006070518,   , MIWU, 0, 188N, 1293E, 100,  928, TY,
WP, 04, 2006070600,   , MIWU, 0, 192N, 1288E,  90,  936, TY,
WP, 04, 2006070606,   , MIWU, 0, 196N, 1284E,  90,  938, TY,
WP, 04, 2006070612,   , MIWU, 0, 200N, 1283E,  90,  937, TY,
WP, 04, 2006070618,   , MIWU, 0, 204N, 1280E,  95,  934, TY,
WP, 04, 2006070700,   , MIWU, 0, 208N, 1277E, 100,  931, TY,
WP, 04, 2006070706,   , MIWU, 0, 213N, 1274E, 110,  925, TY,
WP, 04, 2006070712,   , MIWU, 0, 219N, 1270E, 105,  927, TY,
WP, 04, 2006070718,   , MIWU, 0, 224N, 1267E, 100,  931, TY,
WP, 04, 2006070800,   , MIWU, 0, 232N, 1265E,  90,  939, TY,
WP, 04, 2006070806,   , MIWU, 0, 242N, 1262E,  85,  943, TY,
WP, 04, 2006070812,   , MIWU, 0, 253N, 1260E,  80,  947, TY,
WP, 04, 2006070818,   , MIWU, 0, 263N, 1258E,  75,  951, TY,
WP, 04, 2006070900,   , MIWU, 0, 275N, 1257E,  75,  953, TY,
WP, 04, 2006070906,   , MIWU, 0, 292N, 1258E,  70,  958, TY,
WP, 04, 2006070912,   , MIWU, 0, 306N, 1259E,  65,  963, TY,
WP, 04, 2006070918,   , MIWU, 0, 323N, 1260E,  60,  968, TS,
WP, 04, 2006071000,   , MIWU, 0, 339N, 1263E,  55,  973, TS,
WP, 04, 2006071006,   , MIWU, 0, 360N, 1274E,  45,  980, TS,
WP, 04, 2006071012,   , MIWU, 0, 380N, 1292E,  45,  979, TS,
WP, 04, 2006071018,   , MIWU, 0, 393N, 1306E,  50,  975, EX,
WP, 04, 2006071100,   , MIWU, 0, 404N, 1325E,  50,  973, EX,
WP, 04, 2006071106,   , MIWU, 0, 410N, 1345E,  50,  974, EX,
WP, 04, 2006071112,   , MIWU, 0, 419N, 1364E,  45,  976, EX,
WP, 04, 2006071118,   , MIWU, 0, 431N, 1382E,  40,  979, EX,
WP, 04, 2006071200,   , MIWU, 0, 448N, 1399E,  35,  983, EX,
WP, 04, 2006071206,   , MIWU, 0, 468N, 1405E,  30,  987, EX,
WP, 04, 2006071212,   , MIWU, 0, 477N, 1407E,  25,  991, EX,
WP, 04, 2006071218,   , MIWU, 0, 483N, 1408E,  20,  995, EX,
