WP, 07, 2006072700,   , MIWU, 0, 120N, 1308E,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Prapiroon,
WP, 07, 2006072706,   , MIWU, 0, 123N, 1305E,  20, 1009, DB,
WP, 07, 2006072712,   , MIWU, 0, 125N, 1301E,  20, 1008, DB,
WP, 07, 2006072718,   , MIWU, 0, 126N, 1298E,  20, 1008, DB,
WP, 07, 2006072800,   , MIWU, 0, 127N, 1296E,  25, 1006, TD,
WP, 07, 2006072806,   , MIWU, 0, 129N, 1293E,  25, 1006, TD,
WP, 07, 2006072812,   , MIWU, 0, 133N, 1289E,  25, 1005, TD,
WP, 07, 2006072818,   , MIWU, 0, 138N, 1284E,  25, 1005, TD,
WP, 07, 2006072900,   , MIWU, 0, 141N, 1281E,  20, 1007, DB,
WP, 07, 2006072906,   , MIWU, 0, 142N, 1278E,  20, 1006, DB,
WP, 07, 2006072912,   , MIWU, 0, 143N, 1276E,  25, 1004, TD,
WP, 07, 2006072918,   , MIWU, 0, 143N, 1272E,  30, 1002, TD,
WP, 07, 2006073000,   , MIWU, 0, 144N, 1267E,  30, 1001, TD,
WP, 07, 2006073006,   , MIWU, 0, 146N, 1259E,  30, 1000, TD,
WP, 07, 2006073012,   , MIWU, 0, 150N, 1252E,  35,  997, TS,
WP, 07, 2006073018,   , MIWU, 0, 156N, 1244E,  40,  994, TS,
WP, 07, 2006073100,   , MIWU, 0, 161N, 1237E,  40,  993, TS,
WP, 07, 2006073106,   , MIWU, 0, 164N, 1226E,  45,  990, TS,
WP, 07, 2006073112,   , MIWU, 0, 165N, 1216E,  40,  992, TS,
WP, 07, 2006073118,   , MIWU, 0, 165N, 1204E,  40,  991, TS,
WP, 07, 2006080100,   , MIWU, 0, 168N, 1190E,  45,  989, TS,
WP, 07, 2006080106,   , MIWU, 0, 174N, 1177E,  50,  986, TS,
WP, 07, 2006080112,   , MIWU, 0, 177N, 1166E,  55,  983, TS,
WP, 07, 2006080118,   , MIWU, 0, 179N, 1158E,  65,  975, TY,
WP, 07, 2006080200,   , MIWU, 0, 184N, 1152E,  70,  971, TY,
WP, 07, 2006080206,   , MIWU, 0, 190N, 1146E,  70,  969, TY,
WP, 07, 2006080212,   , MIWU, 0, 192N, 1138E,  75,  965, TY,
WP, 07, 2006080218,   , MIWU, 0, 196N, 1132E,  75,  965, TY,
WP, 07, 2006080300,   , MIWU, 0, 202N, 1127E,  75,  963, TY,
WP, 07, 2006080306,   , MIWU, 0, 208N, 1121E,  75,  962, TY,
WP, 07, 2006080312,   , MIWU, 0, 214N, 1113E,  70,  968, TY,
WP, 07, 2006080318,   , MIWU, 0, 219N, 1103E,  60,  976, TS,
WP, 07, 2006080400,   , MIWU, 0, 222N, 1095E,  45,  988, TS,
WP, 07, 2006080406,   , MIWU, 0, 227N, 1087E,  40,  992, TS,
WP, 07, 2006080412,   , MIWU, 0, 235N, 1082E,  35,  996, TS,
WP, 07, 2006080418,   , MIWU, 0, 240N, 1076E,  30,  999, TD,
WP, 07, 2006080500,   , MIWU, 0, 243N, 1071E,  25, 1001, TD,
WP, 07, 2006080506,   , MIWU, 0, 244N, 1067E,  20, 1003, DB,
WP, 07, 2006080512,   , MIWU, 0, 244N, 1063E,  20, 1003, DB,
WP, 07, 2006080518,   , MIWU, 0, 243N, 1058E,  20, 1004, DB,
WP, 07, 2006080600,   , MIWU, 0, 241N, 1055E,  20, 1004, DB,
WP, 07, 2006080606,   , MIWU, 0, 238N, 1054E,  15, 1006, DB,
WP, 07, 2006080612,   , MIWU, 0, 234N, 1055E,  15, 1006, DB,
WP, 07, 2006080618,   , MIWU, 0, 230N, 1055E,  15, 1006, DB,
