WP, 17, 2006092112,   , MIWU, 0, 137N, 1152E,  15, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-W,
WP, 17, 2006092118,   , MIWU, 0, 138N, 1151E,  20, 1008, DB,
WP, 17, 2006092200,   , MIWU, 0, 139N, 1149E,  20, 1007, DB,
WP, 17, 2006092206,   , MIWU, 0, 138N, 1146E,  20, 1007, DB,
WP, 17, 2006092212,   , MIWU, 0, 138N, 1142E,  25, 1005, TD,
WP, 17, 2006092218,   , MIWU, 0, 139N, 1134E,  25, 1004, TD,
WP, 17, 2006092300,   , MIWU, 0, 140N, 1126E,  30, 1002, TD,
WP, 17, 2006092306,   , MIWU, 0, 142N, 1119E,  35, 1000, TS,
WP, 17, 2006092312,   , MIWU, 0, 147N, 1112E,  35,  999, TS,
WP, 17, 2006092318,   , MIWU, 0, 155N, 1106E,  40,  997, TS,
WP, 17, 2006092400,   , MIWU, 0, 160N, 1102E,  40,  996, TS,
WP, 17, 2006092406,   , MIWU, 0, 164N, 1097E,  35,  998, TS,
WP, 17, 2006092412,   , MIWU, 0, 168N, 1090E,  40,  996, TS,
WP, 17, 2006092418,   , MIWU, 0, 171N, 1080E,  40,  997, TS,
WP, 17, 2006092500,   , MIWU, 0, 172N, 1069E,  30, 1001, TD,
WP, 17, 2006092506,   , MIWU, 0, 172N, 1057E,  25, 1003, TD,
WP, 17, 2006092512,   , MIWU, 0, 171N, 1044E,  20, 1005, DB,
WP, 17, 2006092518,   , MIWU, 0, 170N, 1030E,  20, 1006, DB,
WP, 17, 2006092600,   , MIWU, 0, 169N, 1017E,  15, 1008, DB,
WP, 17, 2006092606,   , MIWU, 0, 169N, 1005E,  15, 1009, DB,
WP, 17, 2006092612,   , MIWU, 0, 169N,  994E,  15, 1009, DB,
