WP, 25, 2006120600,   , MIWU, 0,  85N, 1426E,  15, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Utor,
WP, 25, 2006120606,   , MIWU, 0,  87N, 1412E,  15, 1010, DB,
WP, 25, 2006120612,   , MIWU, 0,  90N, 1396E,  20, 1008, DB,
WP, 25, 2006120618,   , MIWU, 0,  91N, 1381E,  25, 1006, TD,
WP, 25, 2006120700,   , MIWU, 0,  92N, 1368E,  30, 1004, TD,
WP, 25, 2006120706,   , MIWU, 0,  94N, 1356E,  35, 1002, TS,
WP, 25, 2006120712,   , MIWU, 0,  99N, 1345E,  35, 1001, TS,
WP, 25, 2006120718,   , MIWU, 0, 104N, 1332E,  40,  999, TS,
WP, 25, 2006120800,   , MIWU, 0, 108N, 1317E,  40,  998, TS,
WP, 25, 2006120806,   , MIWU, 0, 110N, 1304E,  40,  998, TS,
WP, 25, 2006120812,   , MIWU, 0, 112N, 1290E,  50,  993, TS,
WP, 25, 2006120818,   , MIWU, 0, 114N, 1278E,  55,  990, TS,
WP, 25, 2006120900,   , MIWU, 0, 113N, 1265E,  65,  984, TY,
WP, 25, 2006120906,   , MIWU, 0, 114N, 1253E,  70,  982, TY,
WP, 25, 2006120912,   , MIWU, 0, 117N, 1241E,  65,  986, TY,
WP, 25, 2006120918,   , MIWU, 0, 120N, 1228E,  85,  970, TY,
WP, 25, 2006121000,   , MIWU, 0, 122N, 1217E, 100,  961, TY,
WP, 25, 2006121006,   , MIWU, 0, 126N, 1205E,  75,  977, TY,
WP, 25, 2006121012,   , MIWU, 0, 132N, 1197E,  60,  984, TS,
WP, 25, 2006121018,   , MIWU, 0, 135N, 1191E,  50,  988, TS,
WP, 25, 2006121100,   , MIWU, 0, 135N, 1185E,  55,  985, TS,
WP, 25, 2006121106,   , MIWU, 0, 136N, 1178E,  65,  978, TY,
WP, 25, 2006121112,   , MIWU, 0, 138N, 1173E,  75,  970, TY,
WP, 25, 2006121118,   , MIWU, 0, 141N, 1165E,  80,  966, TY,
WP, 25, 2006121200,   , MIWU, 0, 144N, 1157E,  85,  963, TY,
WP, 25, 2006121206,   , MIWU, 0, 149N, 1147E,  95,  960, TY,
WP, 25, 2006121212,   , MIWU, 0, 155N, 1139E, 110,  954, TY,
WP, 25, 2006121218,   , MIWU, 0, 161N, 1130E, 105,  956, TY,
WP, 25, 2006121300,   , MIWU, 0, 163N, 1125E, 100,  959, TY,
WP, 25, 2006121306,   , MIWU, 0, 166N, 1121E,  95,  962, TY,
WP, 25, 2006121312,   , MIWU, 0, 170N, 1122E,  80,  972, TY,
WP, 25, 2006121318,   , MIWU, 0, 175N, 1123E,  60,  988, TS,
WP, 25, 2006121400,   , MIWU, 0, 178N, 1125E,  40, 1000, TS,
WP, 25, 2006121406,   , MIWU, 0, 179N, 1129E,  30, 1004, TD,
WP, 25, 2006121412,   , MIWU, 0, 178N, 1132E,  30, 1005, TD,
WP, 25, 2006121418,   , MIWU, 0, 175N, 1131E,  25, 1007, TD,
WP, 25, 2006121500,   , MIWU, 0, 171N, 1129E,  25, 1008, TD,
WP, 25, 2006121506,   , MIWU, 0, 166N, 1126E,  20, 1010, DB,
WP, 25, 2006121512,   , MIWU, 0, 163N, 1121E,  20, 1010, DB,
WP, 25, 2006121518,   , MIWU, 0, 164N, 1120E,  20, 1011, DB,
WP, 25, 2006121600,   , MIWU, 0, 167N, 1122E,  15, 1013, DB,
WP, 25, 2006121606,   , MIWU, 0, 172N, 1126E,  15, 1014, DB,
WP, 25, 2006121612,   , MIWU, 0, 174N, 1131E,  15, 1014, DB,
