EP, 10, 2018072918,   , MIWU, 0, 105N, 1055W,  15, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hector,
EP, 10, 2018073000,   , MIWU, 0, 107N, 1068W,  15, 1012, DB,
EP, 10, 2018073006,   , MIWU, 0, 109N, 1081W,  20, 1010, DB,
EP, 10, 2018073012,   , MIWU, 0, 112N, 1096W,  20, 1010, DB,
EP, 10, 2018073018,   , MIWU, 0, 116N, 1110W,  25, 1008, TD,
EP, 10, 2018073100,   , MIWU, 0, 121N, 1124W,  30, 1006, TD,
EP, 10, 2018073106,   , MIWU, 0, 123N, 1138W,  35, 1004, TS,
EP, 10, 2018073112,   , MIWU, 0, 124N, 1150W,  35, 1004, TS,
EP, 10, 2018073118,   , MIWU, 0, 126N, 1163W,  35, 1004, TS,
EP, 10, 2018080100,   , MIWU, 0, 128N, 1176W,  40, 1002, TS,
EP, 10, 2018080106,   , MIWU, 0, 130N, 1187W,  40, 1001, TS,
EP, 10, 2018080112,   , MIWU, 0, 134N, 1198W,  45,  999, TS,
EP, 10, 2018080118,   , MIWU, 0, 137N, 1208W,  50,  997, TS,
EP, 10, 2018080200,   , MIWU, 0, 140N, 1218W,  55,  995, TS,
EP, 10, 2018080206,   , MIWU, 0, 141N, 1229W,  65,  991, HU,
EP, 10, 2018080212,   , MIWU, 0, 142N, 1240W,  75,  987, HU,
EP, 10, 2018080218,   , MIWU, 0, 141N, 1252W,  85,  983, HU,
EP, 10, 2018080300,   , MIWU, 0, 141N, 1263W,  90,  980, HU,
EP, 10, 2018080306,   , MIWU, 0, 141N, 1274W,  95,  977, HU,
EP, 10, 2018080312,   , MIWU, 0, 141N, 1283W,  95,  976, HU,
EP, 10, 2018080318,   , MIWU, 0, 141N, 1293W, 100,  973, HU,
EP, 10, 2018080400,   , MIWU, 0, 142N, 1302W, 105,  970, HU,
EP, 10, 2018080406,   , MIWU, 0, 143N, 1312W, 110,  966, HU,
EP, 10, 2018080412,   , MIWU, 0, 143N, 1322W, 105,  968, HU,
EP, 10, 2018080418,   , MIWU, 0, 143N, 1331W, 110,  964, HU,
EP, 10, 2018080500,   , MIWU, 0, 143N, 1341W, 120,  954, HU,
EP, 10, 2018080506,   , MIWU, 0, 142N, 1353W, 120,  952, HU,
EP, 10, 2018080512,   , MIWU, 0, 142N, 1363W, 125,  947, HU,
EP, 10, 2018080518,   , MIWU, 0, 143N, 1374W, 130,  942, HU,
EP, 10, 2018080600,   , MIWU, 0, 144N, 1385W, 135,  937, HU,
EP, 10, 2018080606,   , MIWU, 0, 146N, 1399W, 130,  939, HU,
EP, 10, 2018080612,   , MIWU, 0, 148N, 1413W, 135,  934, HU,
EP, 10, 2018080615,   , MIWU, 0, 150N, 1419W, 135,  932, HU,
EP, 10, 2018080618,   , MIWU, 0, 153N, 1425W, 135,  932, HU,
EP, 10, 2018080700,   , MIWU, 0, 157N, 1440W, 135,  933, HU,
EP, 10, 2018080706,   , MIWU, 0, 158N, 1457W, 130,  936, HU,
EP, 10, 2018080712,   , MIWU, 0, 160N, 1471W, 125,  940, HU,
EP, 10, 2018080718,   , MIWU, 0, 162N, 1485W, 125,  942, HU,
EP, 10, 2018080800,   , MIWU, 0, 164N, 1500W, 120,  946, HU,
EP, 10, 2018080806,   , MIWU, 0, 164N, 1517W, 115,  950, HU,
EP, 10, 2018080812,   , MIWU, 0, 164N, 1531W, 105,  958, HU,
EP, 10, 2018080818,   , MIWU, 0, 164N, 1546W, 100,  961, HU,
EP, 10, 2018080900,   , MIWU, 0, 165N, 1561W, 100,  960, HU,
EP, 10, 2018080906,   , MIWU, 0, 165N, 1578W, 100,  960, HU,
EP, 10, 2018080912,   , MIWU, 0, 166N, 1594W, 105,  957, HU,
EP, 10, 2018080918,   , MIWU, 0, 167N, 1608W, 115,  951, HU,
EP, 10, 2018081000,   , MIWU, 0, 170N, 1623W, 125,  945, HU,
EP, 10, 2018081006,   , MIWU, 0, 173N, 1638W, 125,  946, HU,
EP, 10, 2018081012,   , MIWU, 0, 175N, 1654W, 120,  949, HU,
EP, 10, 2018081018,   , MIWU, 0, 178N, 1667W, 115,  952, HU,
EP, 10, 2018081100,   , MIWU, 0, 181N, 1679W, 110,  955, HU,
EP, 10, 2018081106,   , MIWU, 0, 185N, 1689W, 105,  959, HU,
EP, 10, 2018081112,   , MIWU, 0, 191N, 1698W, 105,  961, HU,
EP, 10, 2018081118,   , MIWU, 0, 198N, 1706W, 105,  961, HU,
EP, 10, 2018081200,   , MIWU, 0, 205N, 1714W,  95,  968, HU,
EP, 10, 2018081206,   , MIWU, 0, 215N, 1724W,  80,  980, HU,
EP, 10, 2018081212,   , MIWU, 0, 224N, 1735W,  65,  989, HU,
EP, 10, 2018081218,   , MIWU, 0, 231N, 1747W,  60,  991, TS,
EP, 10, 2018081300,   , MIWU, 0, 238N, 1761W,  55,  993, TS,
EP, 10, 2018081306,   , MIWU, 0, 245N, 1778W,  45,  997, TS,
EP, 10, 2018081312,   , MIWU, 0, 251N, 1795W,  45,  998, TS,
EP, 10, 2018081318,   , MIWU, 0, 255N, 1789E,  50,  996, TS,
EP, 10, 2018081400,   , MIWU, 0, 258N, 1772E,  50,  997, TS,
EP, 10, 2018081406,   , MIWU, 0, 261N, 1760E,  45,  999, TS,
EP, 10, 2018081412,   , MIWU, 0, 269N, 1745E,  40, 1001, TS,
EP, 10, 2018081418,   , MIWU, 0, 278N, 1730E,  40, 1001, TS,
EP, 10, 2018081500,   , MIWU, 0, 289N, 1710E,  40, 1000, TS,
EP, 10, 2018081506,   , MIWU, 0, 295N, 1691E,  40, 1001, SS,
EP, 10, 2018081512,   , MIWU, 0, 298N, 1679E,  35, 1003, SS,
EP, 10, 2018081518,   , MIWU, 0, 305N, 1671E,  35, 1004, SS,
EP, 10, 2018081600,   , MIWU, 0, 314N, 1664E,  30, 1006, SD,
EP, 10, 2018081606,   , MIWU, 0, 323N, 1660E,  25, 1008, SD,
EP, 10, 2018081612,   , MIWU, 0, 330N, 1658E,  20, 1010, SD,
EP, 10, 2018081618,   , MIWU, 0, 337N, 1659E,  20, 1011, SD,
EP, 10, 2018081700,   , MIWU, 0, 343N, 1662E,  15, 1013, SD,
