WP, 04, 2018050906,   , MIWU, 0, 145N, 1530E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Four-W,
WP, 04, 2018050912,   , MIWU, 0, 148N, 1529E,  20, 1008, DB,
WP, 04, 2018050918,   , MIWU, 0, 151N, 1529E,  20, 1007, DB,
WP, 04, 2018051000,   , MIWU, 0, 155N, 1530E,  20, 1007, DB,
WP, 04, 2018051006,   , MIWU, 0, 160N, 1529E,  25, 1005, TD,
WP, 04, 2018051012,   , MIWU, 0, 164N, 1526E,  30, 1003, TD,
WP, 04, 2018051018,   , MIWU, 0, 168N, 1521E,  35, 1001, TS,
WP, 04, 2018051100,   , MIWU, 0, 171N, 1514E,  35, 1001, TS,
WP, 04, 2018051106,   , MIWU, 0, 170N, 1507E,  30, 1003, TD,
WP, 04, 2018051112,   , MIWU, 0, 174N, 1500E,  30, 1003, TD,
WP, 04, 2018051118,   , MIWU, 0, 179N, 1496E,  35, 1001, TS,
WP, 04, 2018051200,   , MIWU, 0, 184N, 1491E,  40,  998, TS,
WP, 04, 2018051206,   , MIWU, 0, 189N, 1483E,  40,  998, TS,
WP, 04, 2018051212,   , MIWU, 0, 189N, 1476E,  40,  998, TS,
WP, 04, 2018051218,   , MIWU, 0, 190N, 1468E,  40,  998, TS,
WP, 04, 2018051300,   , MIWU, 0, 194N, 1464E,  40,  999, TS,
WP, 04, 2018051306,   , MIWU, 0, 200N, 1458E,  35, 1001, TS,
WP, 04, 2018051312,   , MIWU, 0, 203N, 1450E,  35, 1002, TS,
WP, 04, 2018051318,   , MIWU, 0, 208N, 1446E,  30, 1004, TD,
WP, 04, 2018051400,   , MIWU, 0, 215N, 1444E,  25, 1006, TD,
WP, 04, 2018051406,   , MIWU, 0, 223N, 1442E,  25, 1007, TD,
WP, 04, 2018051412,   , MIWU, 0, 230N, 1442E,  20, 1009, DB,
WP, 04, 2018051418,   , MIWU, 0, 240N, 1445E,  20, 1009, DB,
WP, 04, 2018051500,   , MIWU, 0, 252N, 1456E,  15, 1011, DB,
