WP, 07, 2018061218,   , MIWU, 0, 203N, 1197E,  20, 1005, LO,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seven-W,
WP, 07, 2018061300,   , MIWU, 0, 206N, 1204E,  25, 1003, LO,
WP, 07, 2018061306,   , MIWU, 0, 213N, 1216E,  25, 1002, LO,
WP, 07, 2018061312,   , MIWU, 0, 222N, 1224E,  30, 1000, LO,
WP, 07, 2018061318,   , MIWU, 0, 236N, 1232E,  30, 1000, SD,
WP, 07, 2018061400,   , MIWU, 0, 252N, 1243E,  35,  998, SS,
WP, 07, 2018061406,   , MIWU, 0, 268N, 1263E,  40,  996, SS,
WP, 07, 2018061412,   , MIWU, 0, 278N, 1286E,  40,  997, EX,
WP, 07, 2018061418,   , MIWU, 0, 286N, 1311E,  35,  999, EX,
WP, 07, 2018061500,   , MIWU, 0, 292N, 1338E,  30, 1001, EX,
WP, 07, 2018061506,   , MIWU, 0, 297N, 1366E,  30, 1001, EX,
WP, 07, 2018061512,   , MIWU, 0, 303N, 1394E,  30, 1000, EX,
WP, 07, 2018061518,   , MIWU, 0, 311N, 1425E,  25, 1002, EX,
WP, 07, 2018061600,   , MIWU, 0, 322N, 1460E,  20, 1004, EX,
WP, 07, 2018061606,   , MIWU, 0, 334N, 1499E,  20, 1005, EX,
