WP, 10, 2018070218,   , MIWU, 0,  93N, 1467E,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maria,
WP, 10, 2018070300,   , MIWU, 0,  98N, 1467E,  20, 1009, DB,
WP, 10, 2018070306,   , MIWU, 0, 104N, 1468E,  20, 1008, DB,
WP, 10, 2018070312,   , MIWU, 0, 110N, 1469E,  20, 1008, DB,
WP, 10, 2018070318,   , MIWU, 0, 115N, 1468E,  25, 1006, TD,
WP, 10, 2018070400,   , MIWU, 0, 118N, 1465E,  30, 1004, TD,
WP, 10, 2018070406,   , MIWU, 0, 122N, 1461E,  35, 1002, TS,
WP, 10, 2018070412,   , MIWU, 0, 126N, 1455E,  45,  998, TS,
WP, 10, 2018070418,   , MIWU, 0, 134N, 1449E,  55,  992, TS,
WP, 10, 2018070500,   , MIWU, 0, 141N, 1441E,  70,  980, TY,
WP, 10, 2018070506,   , MIWU, 0, 145N, 1434E,  80,  970, TY,
WP, 10, 2018070512,   , MIWU, 0, 148N, 1427E, 100,  950, TY,
WP, 10, 2018070518,   , MIWU, 0, 155N, 1423E, 115,  935, TY,
WP, 10, 2018070600,   , MIWU, 0, 160N, 1420E, 145,  910, ST,
WP, 10, 2018070606,   , MIWU, 0, 164N, 1416E, 140,  913, ST,
WP, 10, 2018070612,   , MIWU, 0, 166N, 1414E, 130,  919, ST,
WP, 10, 2018070618,   , MIWU, 0, 167N, 1410E, 115,  928, TY,
WP, 10, 2018070700,   , MIWU, 0, 172N, 1407E, 110,  931, TY,
WP, 10, 2018070706,   , MIWU, 0, 177N, 1406E, 110,  930, TY,
WP, 10, 2018070712,   , MIWU, 0, 180N, 1403E, 115,  927, TY,
WP, 10, 2018070718,   , MIWU, 0, 183N, 1397E, 120,  923, TY,
WP, 10, 2018070800,   , MIWU, 0, 190N, 1388E, 130,  915, ST,
WP, 10, 2018070806,   , MIWU, 0, 197N, 1377E, 145,  904, ST,
WP, 10, 2018070812,   , MIWU, 0, 204N, 1364E, 135,  906, ST,
WP, 10, 2018070818,   , MIWU, 0, 211N, 1350E, 140,  906, ST,
WP, 10, 2018070900,   , MIWU, 0, 216N, 1335E, 140,  905, ST,
WP, 10, 2018070906,   , MIWU, 0, 223N, 1318E, 130,  912, ST,
WP, 10, 2018070912,   , MIWU, 0, 230N, 1303E, 115,  924, TY,
WP, 10, 2018070918,   , MIWU, 0, 235N, 1287E, 100,  936, TY,
WP, 10, 2018071000,   , MIWU, 0, 240N, 1270E,  90,  945, TY,
WP, 10, 2018071006,   , MIWU, 0, 246N, 1255E,  85,  951, TY,
WP, 10, 2018071012,   , MIWU, 0, 253N, 1241E,  85,  954, TY,
WP, 10, 2018071018,   , MIWU, 0, 262N, 1222E,  90,  953, TY,
WP, 10, 2018071100,   , MIWU, 0, 263N, 1201E,  85,  956, TY,
WP, 10, 2018071106,   , MIWU, 0, 264N, 1184E,  65,  970, TY,
WP, 10, 2018071112,   , MIWU, 0, 268N, 1165E,  45,  988, TS,
WP, 10, 2018071118,   , MIWU, 0, 275N, 1153E,  30,  998, TD,
WP, 10, 2018071200,   , MIWU, 0, 280N, 1145E,  20, 1002, DB,
WP, 10, 2018071206,   , MIWU, 0, 284N, 1137E,  15, 1004, DB,
