WP, 11, 2018071306,   , MIWU, 0, 182N, 1390E,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Son-Tinh,
WP, 11, 2018071312,   , MIWU, 0, 188N, 1380E,  20, 1005, DB,
WP, 11, 2018071318,   , MIWU, 0, 193N, 1371E,  20, 1004, DB,
WP, 11, 2018071400,   , MIWU, 0, 197N, 1361E,  20, 1004, DB,
WP, 11, 2018071406,   , MIWU, 0, 200N, 1349E,  25, 1002, TD,
WP, 11, 2018071412,   , MIWU, 0, 202N, 1337E,  30, 1000, TD,
WP, 11, 2018071418,   , MIWU, 0, 201N, 1324E,  30, 1000, TD,
WP, 11, 2018071500,   , MIWU, 0, 197N, 1309E,  35,  998, TS,
WP, 11, 2018071506,   , MIWU, 0, 191N, 1296E,  40,  996, TS,
WP, 11, 2018071512,   , MIWU, 0, 188N, 1284E,  40,  996, TS,
WP, 11, 2018071518,   , MIWU, 0, 190N, 1270E,  35,  998, TS,
WP, 11, 2018071600,   , MIWU, 0, 189N, 1253E,  40,  996, TS,
WP, 11, 2018071606,   , MIWU, 0, 186N, 1239E,  45,  993, TS,
WP, 11, 2018071612,   , MIWU, 0, 187N, 1225E,  45,  993, TS,
WP, 11, 2018071618,   , MIWU, 0, 191N, 1209E,  40,  995, TS,
WP, 11, 2018071700,   , MIWU, 0, 195N, 1185E,  40,  994, TS,
WP, 11, 2018071706,   , MIWU, 0, 194N, 1159E,  45,  992, TS,
WP, 11, 2018071712,   , MIWU, 0, 191N, 1135E,  55,  988, TS,
WP, 11, 2018071718,   , MIWU, 0, 188N, 1112E,  55,  988, TS,
WP, 11, 2018071800,   , MIWU, 0, 188N, 1097E,  50,  990, TS,
WP, 11, 2018071806,   , MIWU, 0, 189N, 1082E,  50,  989, TS,
WP, 11, 2018071812,   , MIWU, 0, 187N, 1065E,  55,  986, TS,
WP, 11, 2018071818,   , MIWU, 0, 190N, 1054E,  50,  988, TS,
WP, 11, 2018071900,   , MIWU, 0, 193N, 1047E,  45,  991, TS,
WP, 11, 2018071906,   , MIWU, 0, 196N, 1041E,  35,  995, TS,
WP, 11, 2018071912,   , MIWU, 0, 199N, 1037E,  30,  997, TD,
WP, 11, 2018071918,   , MIWU, 0, 201N, 1036E,  25,  999, TD,
WP, 11, 2018072000,   , MIWU, 0, 203N, 1038E,  25, 1000, TD,
WP, 11, 2018072006,   , MIWU, 0, 202N, 1041E,  20, 1002, DB,
WP, 11, 2018072012,   , MIWU, 0, 202N, 1045E,  20, 1002, DB,
WP, 11, 2018072018,   , MIWU, 0, 203N, 1051E,  20, 1001, DB,
WP, 11, 2018072100,   , MIWU, 0, 203N, 1056E,  25,  999, TD,
WP, 11, 2018072106,   , MIWU, 0, 201N, 1062E,  30,  997, TD,
WP, 11, 2018072112,   , MIWU, 0, 198N, 1067E,  35,  995, TS,
WP, 11, 2018072118,   , MIWU, 0, 196N, 1073E,  40,  993, TS,
WP, 11, 2018072200,   , MIWU, 0, 193N, 1079E,  40,  992, TS,
WP, 11, 2018072206,   , MIWU, 0, 190N, 1082E,  40,  992, TS,
WP, 11, 2018072212,   , MIWU, 0, 189N, 1087E,  40,  992, TS,
WP, 11, 2018072218,   , MIWU, 0, 191N, 1092E,  35,  994, TS,
WP, 11, 2018072300,   , MIWU, 0, 195N, 1095E,  35,  995, TS,
WP, 11, 2018072306,   , MIWU, 0, 200N, 1098E,  30,  997, TD,
WP, 11, 2018072312,   , MIWU, 0, 206N, 1099E,  30,  997, TD,
WP, 11, 2018072318,   , MIWU, 0, 211N, 1097E,  30,  996, TD,
WP, 11, 2018072400,   , MIWU, 0, 217N, 1092E,  30,  996, TD,
WP, 11, 2018072406,   , MIWU, 0, 222N, 1086E,  25,  998, TD,
WP, 11, 2018072412,   , MIWU, 0, 227N, 1082E,  20, 1000, DB,
WP, 11, 2018072418,   , MIWU, 0, 234N, 1078E,  20, 1001, DB,
WP, 11, 2018072500,   , MIWU, 0, 239N, 1076E,  15, 1003, DB,
