WP, 13, 2018071906,   , MIWU, 0, 180N, 1153E,  20, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Thirteen-W,
WP, 13, 2018071912,   , MIWU, 0, 178N, 1154E,  20, 1006, DB,
WP, 13, 2018071918,   , MIWU, 0, 177N, 1155E,  25, 1004, TD,
WP, 13, 2018072000,   , MIWU, 0, 177N, 1157E,  30, 1002, TD,
WP, 13, 2018072006,   , MIWU, 0, 179N, 1162E,  35, 1000, TS,
WP, 13, 2018072012,   , MIWU, 0, 180N, 1168E,  35,  999, TS,
WP, 13, 2018072018,   , MIWU, 0, 178N, 1177E,  40,  997, TS,
WP, 13, 2018072100,   , MIWU, 0, 179N, 1187E,  45,  994, TS,
WP, 13, 2018072106,   , MIWU, 0, 182N, 1199E,  45,  995, TS,
WP, 13, 2018072112,   , MIWU, 0, 186N, 1209E,  40,  997, TS,
WP, 13, 2018072118,   , MIWU, 0, 193N, 1219E,  40,  998, TS,
WP, 13, 2018072200,   , MIWU, 0, 205N, 1230E,  40,  998, TS,
WP, 13, 2018072206,   , MIWU, 0, 219N, 1238E,  35, 1000, TS,
WP, 13, 2018072212,   , MIWU, 0, 234N, 1243E,  30, 1002, TD,
WP, 13, 2018072218,   , MIWU, 0, 248N, 1242E,  30, 1003, TD,
WP, 13, 2018072300,   , MIWU, 0, 261N, 1239E,  30, 1003, TD,
WP, 13, 2018072306,   , MIWU, 0, 282N, 1236E,  25, 1005, TD,
WP, 13, 2018072312,   , MIWU, 0, 306N, 1231E,  20, 1007, DB,
WP, 13, 2018072318,   , MIWU, 0, 324N, 1225E,  20, 1008, DB,
WP, 13, 2018072400,   , MIWU, 0, 336N, 1227E,  15, 1010, DB,
WP, 13, 2018072406,   , MIWU, 0, 345N, 1230E,  15, 1011, DB,
