WP, 33, 2018110906,   , MIWU, 0,  83N, 1742E,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Usagi,
WP, 33, 2018110912,   , MIWU, 0,  85N, 1730E,  20, 1010, DB,
WP, 33, 2018110918,   , MIWU, 0,  84N, 1718E,  20, 1010, DB,
WP, 33, 2018111000,   , MIWU, 0,  85N, 1707E,  20, 1009, DB, 
WP, 33, 2018111006,   , MIWU, 0,  84N, 1696E,  20, 1009, DB,
WP, 33, 2018111012,   , MIWU, 0,  86N, 1686E,  20, 1009, DB,
WP, 33, 2018111018,   , MIWU, 0,  90N, 1675E,  20, 1009, DB,
WP, 33, 2018111100,   , MIWU, 0,  98N, 1664E,  25, 1007, TD, 
WP, 33, 2018111106,   , MIWU, 0, 105N, 1651E,  30, 1005, TD,
WP, 33, 2018111112,   , MIWU, 0, 110N, 1636E,  25, 1006, TD,
WP, 33, 2018111118,   , MIWU, 0, 113N, 1620E,  30, 1004, TD,
WP, 33, 2018111200,   , MIWU, 0, 111N, 1607E,  30, 1004, TD, 
WP, 33, 2018111206,   , MIWU, 0, 106N, 1597E,  25, 1006, TD,
WP, 33, 2018111212,   , MIWU, 0, 101N, 1592E,  20, 1008, DB,
WP, 33, 2018111218,   , MIWU, 0,  98N, 1585E,  20, 1008, DB,
WP, 33, 2018111300,   , MIWU, 0,  96N, 1576E,  20, 1007, DB, 
WP, 33, 2018111306,   , MIWU, 0,  94N, 1564E,  25, 1005, TD,
WP, 33, 2018111312,   , MIWU, 0,  92N, 1551E,  30, 1003, TD,
WP, 33, 2018111318,   , MIWU, 0,  90N, 1540E,  30, 1004, TD,
WP, 33, 2018111400,   , MIWU, 0,  89N, 1532E,  25, 1006, TD, 
WP, 33, 2018111406,   , MIWU, 0,  87N, 1523E,  25, 1006, TD,
WP, 33, 2018111412,   , MIWU, 0,  86N, 1513E,  30, 1004, TD,
WP, 33, 2018111418,   , MIWU, 0,  86N, 1501E,  30, 1003, TD,
WP, 33, 2018111500,   , MIWU, 0,  86N, 1489E,  25, 1005, TD,
WP, 33, 2018111506,   , MIWU, 0,  84N, 1480E,  20, 1007, DB,
WP, 33, 2018111512,   , MIWU, 0,  80N, 1473E,  20, 1007, DB,
WP, 33, 2018111518,   , MIWU, 0,  77N, 1462E,  20, 1006, DB,
WP, 33, 2018111600,   , MIWU, 0,  74N, 1453E,  20, 1006, DB, 
WP, 33, 2018111606,   , MIWU, 0,  75N, 1442E,  25, 1004, TD,
WP, 33, 2018111612,   , MIWU, 0,  76N, 1432E,  25, 1003, TD,
WP, 33, 2018111618,   , MIWU, 0,  76N, 1421E,  30, 1001, TD,
WP, 33, 2018111700,   , MIWU, 0,  76N, 1410E,  30, 1000, TD, 
WP, 33, 2018111706,   , MIWU, 0,  74N, 1398E,  30, 1000, TD,
WP, 33, 2018111712,   , MIWU, 0,  70N, 1382E,  35,  998, TS,
WP, 33, 2018111718,   , MIWU, 0,  66N, 1365E,  40,  996, TS,
WP, 33, 2018111800,   , MIWU, 0,  62N, 1350E,  40,  996, TS, 
WP, 33, 2018111806,   , MIWU, 0,  63N, 1340E,  35,  998, TS,
WP, 33, 2018111812,   , MIWU, 0,  66N, 1331E,  35,  999, TS,
WP, 33, 2018111818,   , MIWU, 0,  74N, 1323E,  35,  999, TS,
WP, 33, 2018111900,   , MIWU, 0,  80N, 1316E,  40,  997, TS, 
WP, 33, 2018111906,   , MIWU, 0,  86N, 1310E,  40,  998, TS,
WP, 33, 2018111912,   , MIWU, 0,  91N, 1302E,  30, 1002, TD,
WP, 33, 2018111918,   , MIWU, 0,  97N, 1290E,  30, 1003, TD,
WP, 33, 2018112000,   , MIWU, 0, 103N, 1279E,  30, 1003, TD, 
WP, 33, 2018112006,   , MIWU, 0, 108N, 1269E,  25, 1005, TD,
WP, 33, 2018112012,   , MIWU, 0, 110N, 1261E,  25, 1006, TD,
WP, 33, 2018112018,   , MIWU, 0, 109N, 1250E,  20, 1008, DB,
WP, 33, 2018112100,   , MIWU, 0, 108N, 1238E,  20, 1007, DB, 
WP, 33, 2018112106,   , MIWU, 0, 108N, 1221E,  25, 1005, TD,
WP, 33, 2018112112,   , MIWU, 0, 109N, 1207E,  30, 1003, TD,
WP, 33, 2018112118,   , MIWU, 0, 111N, 1190E,  30, 1004, TD,
WP, 33, 2018112200,   , MIWU, 0, 112N, 1172E,  35, 1002, TS, 
WP, 33, 2018112206,   , MIWU, 0, 114N, 1157E,  45,  998, TS,
WP, 33, 2018112212,   , MIWU, 0, 112N, 1143E,  55,  992, TS,
WP, 33, 2018112218,   , MIWU, 0, 109N, 1134E,  60,  989, TS,
WP, 33, 2018112300,   , MIWU, 0, 107N, 1126E,  65,  986, TY, 
WP, 33, 2018112306,   , MIWU, 0, 108N, 1117E,  70,  983, TY,
WP, 33, 2018112312,   , MIWU, 0, 106N, 1109E,  75,  980, TY,
WP, 33, 2018112318,   , MIWU, 0, 102N, 1102E,  75,  979, TY,
WP, 33, 2018112400,   , MIWU, 0,  98N, 1095E,  85,  973, TY, 
WP, 33, 2018112406,   , MIWU, 0,  97N, 1088E,  80,  975, TY,
WP, 33, 2018112412,   , MIWU, 0,  98N, 1083E,  75,  977, TY,
WP, 33, 2018112418,   , MIWU, 0,  99N, 1080E,  70,  979, TY,
WP, 33, 2018112500,   , MIWU, 0, 102N, 1078E,  65,  981, TY,
WP, 33, 2018112506,   , MIWU, 0, 104N, 1075E,  60,  987, TS,
WP, 33, 2018112512,   , MIWU, 0, 106N, 1072E,  45,  996, TS,
WP, 33, 2018112518,   , MIWU, 0, 109N, 1068E,  35, 1000, TS,
WP, 33, 2018112600,   , MIWU, 0, 111N, 1063E,  30, 1002, TD, 
WP, 33, 2018112606,   , MIWU, 0, 112N, 1058E,  30, 1003, TD,
WP, 33, 2018112612,   , MIWU, 0, 110N, 1055E,  25, 1005, TD,
WP, 33, 2018112618,   , MIWU, 0, 109N, 1052E,  20, 1007, DB,
WP, 33, 2018112700,   , MIWU, 0, 111N, 1047E,  15, 1010, DB, 
WP, 33, 2018112706,   , MIWU, 0, 117N, 1041E,  15, 1010, DB,
