WP, 36, 2018123012,   , MIWU, 0,  76N, 1144E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pabuk,
WP, 36, 2018123018,   , MIWU, 0,  79N, 1139E,  20, 1008, DB,
WP, 36, 2018123100,   , MIWU, 0,  81N, 1133E,  25, 1006, TD, 
WP, 36, 2018123106,   , MIWU, 0,  80N, 1123E,  30, 1004, TD,
WP, 36, 2018123112,   , MIWU, 0,  75N, 1114E,  35, 1002, TS,
WP, 36, 2018123118,   , MIWU, 0,  71N, 1109E,  40, 1000, TS,
WP, 36, 2019010100,   , MIWU, 0,  67N, 1105E,  40, 1000, TS, 
WP, 36, 2019010106,   , MIWU, 0,  63N, 1102E,  40, 1000, TS,
WP, 36, 2019010112,   , MIWU, 0,  60N, 1099E,  40, 1000, TS,
WP, 36, 2019010118,   , MIWU, 0,  59N, 1093E,  40, 1000, TS,
WP, 36, 2019010200,   , MIWU, 0,  59N, 1087E,  40,  999, TS, 
WP, 36, 2019010206,   , MIWU, 0,  60N, 1080E,  40,  999, TS,
WP, 36, 2019010212,   , MIWU, 0,  60N, 1070E,  40,  999, TS,
WP, 36, 2019010218,   , MIWU, 0,  61N, 1061E,  40,  999, TS,
WP, 36, 2019010300,   , MIWU, 0,  60N, 1053E,  45,  997, TS, 
WP, 36, 2019010306,   , MIWU, 0,  62N, 1046E,  45,  996, TS,
WP, 36, 2019010312,   , MIWU, 0,  66N, 1037E,  55,  992, TS,
WP, 36, 2019010318,   , MIWU, 0,  72N, 1027E,  65,  988, TY,
WP, 36, 2019010400,   , MIWU, 0,  78N, 1017E,  65,  989, TY, 
WP, 36, 2019010406,   , MIWU, 0,  82N, 1006E,  55,  993, TS,
WP, 36, 2019010412,   , MIWU, 0,  85N,  997E,  50,  995, TS,
WP, 36, 2019010418,   , MIWU, 0,  90N,  990E,  40,  999, TS,
WP, 36, 2019010500,   , MIWU, 0,  92N,  984E,  40, 1000, TS,
WP, 36, 2019010506,   , MIWU, 0,  95N,  977E,  30, 1004, TD,
WP, 36, 2019010512,   , MIWU, 0, 100N,  970E,  30, 1005, TD,
WP, 36, 2019010518,   , MIWU, 0, 103N,  959E,  30, 1005, TD,
WP, 36, 2019010600,   , MIWU, 0, 105N,  947E,  30, 1004, TD, 
WP, 36, 2019010606,   , MIWU, 0, 108N,  934E,  25, 1006, TD,
WP, 36, 2019010612,   , MIWU, 0, 112N,  920E,  25, 1006, TD,
WP, 36, 2019010618,   , MIWU, 0, 116N,  912E,  25, 1007, TD,
WP, 36, 2019010700,   , MIWU, 0, 119N,  905E,  25, 1007, TD, 
WP, 36, 2019010706,   , MIWU, 0, 122N,  903E,  20, 1009, DB,
WP, 36, 2019010712,   , MIWU, 0, 128N,  905E,  20, 1009, DB,
WP, 36, 2019010718,   , MIWU, 0, 135N,  910E,  20, 1009, DB,
WP, 36, 2019010800,   , MIWU, 0, 144N,  918E,  20, 1010, DB, 
WP, 36, 2019010806,   , MIWU, 0, 153N,  926E,  15, 1012, DB,
WP, 36, 2019010812,   , MIWU, 0, 160N,  938E,  15, 1013, DB,
WP, 36, 2019010818,   , MIWU, 0, 164N,  950E,  15, 1013, DB,
