WP, 06, 2019071412,   , MIWU, 0, 150N, 1335E,  20, 1005, MD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Danas,
WP, 06, 2019071418,   , MIWU, 0, 154N, 1330E,  20, 1005, MD,
WP, 06, 2019071500,   , MIWU, 0, 158N, 1324E,  20, 1004, MD,
WP, 06, 2019071506,   , MIWU, 0, 161N, 1315E,  20, 1004, MD,
WP, 06, 2019071512,   , MIWU, 0, 164N, 1304E,  25, 1002, MD,
WP, 06, 2019071518,   , MIWU, 0, 168N, 1288E,  30, 1000, MD,
WP, 06, 2019071600,   , MIWU, 0, 169N, 1270E,  30,  999, MD,
WP, 06, 2019071606,   , MIWU, 0, 171N, 1250E,  35,  997, TS,
WP, 06, 2019071612,   , MIWU, 0, 174N, 1240E,  35,  996, TS,
WP, 06, 2019071618,   , MIWU, 0, 177N, 1236E,  35,  996, TS,
WP, 06, 2019071700,   , MIWU, 0, 183N, 1235E,  35,  996, TS,
WP, 06, 2019071706,   , MIWU, 0, 191N, 1238E,  35,  995, TS,
WP, 06, 2019071712,   , MIWU, 0, 204N, 1243E,  35,  995, TS,
WP, 06, 2019071718,   , MIWU, 0, 221N, 1249E,  40,  992, TS,
WP, 06, 2019071800,   , MIWU, 0, 241N, 1247E,  50,  986, TS,
WP, 06, 2019071806,   , MIWU, 0, 256N, 1244E,  50,  986, TS,
WP, 06, 2019071812,   , MIWU, 0, 267N, 1239E,  45,  988, TS,
WP, 06, 2019071818,   , MIWU, 0, 280N, 1240E,  45,  988, TS,
WP, 06, 2019071900,   , MIWU, 0, 291N, 1241E,  45,  988, TS,
WP, 06, 2019071906,   , MIWU, 0, 301N, 1245E,  45,  989, TS,
WP, 06, 2019071912,   , MIWU, 0, 315N, 1250E,  45,  989, TS,
WP, 06, 2019071918,   , MIWU, 0, 328N, 1255E,  40,  991, TS,
WP, 06, 2019072000,   , MIWU, 0, 340N, 1259E,  40,  992, TS,
WP, 06, 2019072006,   , MIWU, 0, 350N, 1260E,  35,  994, TS,
WP, 06, 2019072012,   , MIWU, 0, 358N, 1266E,  30,  996, TD,
WP, 06, 2019072018,   , MIWU, 0, 368N, 1277E,  30,  996, TD,
WP, 06, 2019072100,   , MIWU, 0, 378N, 1290E,  30,  997, TD,
WP, 06, 2019072106,   , MIWU, 0, 389N, 1303E,  25,  999, EX,
WP, 06, 2019072112,   , MIWU, 0, 405N, 1308E,  25,  999, EX,
WP, 06, 2019072118,   , MIWU, 0, 413N, 1312E,  25, 1000, EX,
WP, 06, 2019072200,   , MIWU, 0, 416N, 1318E,  20, 1002, EX,
WP, 06, 2019072206,   , MIWU, 0, 418N, 1324E,  20, 1002, EX,
WP, 06, 2019072212,   , MIWU, 0, 420N, 1330E,  25, 1000, EX,
WP, 06, 2019072218,   , MIWU, 0, 423N, 1340E,  25, 1000, EX,
WP, 06, 2019072300,   , MIWU, 0, 425N, 1352E,  20, 1002, EX,
WP, 06, 2019072306,   , MIWU, 0, 429N, 1369E,  20, 1003, EX,
WP, 06, 2019072312,   , MIWU, 0, 435N, 1382E,  15, 1005, EX,
