WP, 13, 2019082412,   , MIWU, 0,  86N, 1401E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Podul,
WP, 13, 2019082418,   , MIWU, 0,  90N, 1394E,  20, 1006, DB,
WP, 13, 2019082500,   , MIWU, 0,  95N, 1386E,  20, 1005, DB,
WP, 13, 2019082506,   , MIWU, 0, 101N, 1376E,  20, 1005, DB,
WP, 13, 2019082512,   , MIWU, 0, 108N, 1365E,  25, 1003, TD,
WP, 13, 2019082518,   , MIWU, 0, 119N, 1349E,  25, 1003, TD,
WP, 13, 2019082600,   , MIWU, 0, 130N, 1329E,  25, 1002, TD,
WP, 13, 2019082606,   , MIWU, 0, 142N, 1314E,  30, 1000, TD,
WP, 13, 2019082612,   , MIWU, 0, 147N, 1297E,  30, 1000, TD,
WP, 13, 2019082618,   , MIWU, 0, 146N, 1281E,  30,  999, TD,
WP, 13, 2019082700,   , MIWU, 0, 148N, 1266E,  30,  999, TS,
WP, 13, 2019082706,   , MIWU, 0, 155N, 1248E,  30,  998, TS,
WP, 13, 2019082712,   , MIWU, 0, 160N, 1226E,  35,  995, TS,
WP, 13, 2019082718,   , MIWU, 0, 164N, 1202E,  40,  992, TS,
WP, 13, 2019082800,   , MIWU, 0, 167N, 1181E,  45,  989, TS,
WP, 13, 2019082806,   , MIWU, 0, 168N, 1165E,  45,  989, TS,
WP, 13, 2019082812,   , MIWU, 0, 171N, 1148E,  45,  989, TS,
WP, 13, 2019082818,   , MIWU, 0, 174N, 1131E,  45,  988, TS,
WP, 13, 2019082900,   , MIWU, 0, 177N, 1115E,  45,  988, TS,
WP, 13, 2019082906,   , MIWU, 0, 176N, 1098E,  50,  986, TS,
WP, 13, 2019082912,   , MIWU, 0, 174N, 1083E,  50,  985, TS,
WP, 13, 2019082918,   , MIWU, 0, 171N, 1067E,  40,  991, TS,
WP, 13, 2019083000,   , MIWU, 0, 166N, 1050E,  30,  997, TD,
WP, 13, 2019083006,   , MIWU, 0, 167N, 1036E,  25,  999, TD,
WP, 13, 2019083012,   , MIWU, 0, 170N, 1028E,  20, 1001, DB,
WP, 13, 2019083018,   , MIWU, 0, 174N, 1023E,  20, 1002, DB,
WP, 13, 2019083100,   , MIWU, 0, 178N, 1019E,  15, 1004, DB,
WP, 13, 2019083106,   , MIWU, 0, 180N, 1015E,  15, 1005, DB,
WP, 13, 2019083112,   , MIWU, 0, 181N, 1010E,  15, 1005, DB,
