WP, 05, 2020080712, , MIWU, 0, 159N, 1271E,  15, 1003, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jangmi,
WP, 05, 2020080718, , MIWU, 0, 165N, 1276E,  20, 1003, DB,
WP, 05, 2020080800, , MIWU, 0, 171N, 1275E,  20, 1002, DB,
WP, 05, 2020080806, , MIWU, 0, 178N, 1273E,  20, 1002, DB,
WP, 05, 2020080812, , MIWU, 0, 190N, 1270E,  25, 1000, TD,
WP, 05, 2020080818, , MIWU, 0, 206N, 1268E,  35,  996, TS,
WP, 05, 2020080900, , MIWU, 0, 220N, 1265E,  45,  992, TS,
WP, 05, 2020080906, , MIWU, 0, 240N, 1263E,  40,  994, TS,
WP, 05, 2020080912, , MIWU, 0, 270N, 1264E,  40,  993, TS,
WP, 05, 2020080918, , MIWU, 0, 295N, 1267E,  45,  990, TS,
WP, 05, 2020081000, , MIWU, 0, 322N, 1277E,  45,  990, TS,
WP, 05, 2020081006, , MIWU, 0, 345N, 1285E,  45,  989, TS,
WP, 05, 2020081012, , MIWU, 0, 370N, 1297E,  45,  988, TS,
WP, 05, 2020081018, , MIWU, 0, 400N, 1320E,  50,  985, TS,
WP, 05, 2020081100, , MIWU, 0, 430N, 1360E,  50,  984, TS,
WP, 05, 2020081106, , MIWU, 0, 443N, 1394E,  40,  990, EX,
WP, 05, 2020081112, , MIWU, 0, 459N, 1429E,  30,  996, EX,
WP, 05, 2020081118, , MIWU, 0, 470N, 1472E,  20, 1002, EX,
WP, 05, 2020081200, , MIWU, 0, 481N, 1510E,  15, 1004, EX,
WP, 05, 2020081206, , MIWU, 0, 493N, 1541E,  15, 1005, EX,
