WP, 09, 2020082006, , MIWU, 0, 171N, 1236E,  20, 1002, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bavi,
WP, 09, 2020082012, , MIWU, 0, 180N, 1232E,  20, 1002, DB,
WP, 09, 2020082018, , MIWU, 0, 191N, 1227E,  20, 1001, DB,
WP, 09, 2020082100, , MIWU, 0, 201N, 1224E,  20, 1001, DB,
WP, 09, 2020082106, , MIWU, 0, 211N, 1225E,  25,  999, TD,
WP, 09, 2020082112, , MIWU, 0, 221N, 1227E,  35,  993, TS,
WP, 09, 2020082118, , MIWU, 0, 229N, 1228E,  35,  992, TS,
WP, 09, 2020082200, , MIWU, 0, 236N, 1230E,  40,  989, TS,
WP, 09, 2020082206, , MIWU, 0, 244N, 1234E,  50,  983, TS,
WP, 09, 2020082212, , MIWU, 0, 250N, 1238E,  65,  974, TY,
WP, 09, 2020082218, , MIWU, 0, 257N, 1240E,  60,  977, TS,
WP, 09, 2020082300, , MIWU, 0, 263N, 1241E,  60,  976, TS,
WP, 09, 2020082306, , MIWU, 0, 267N, 1245E,  65,  973, TY,
WP, 09, 2020082312, , MIWU, 0, 270N, 1252E,  70,  970, TY,
WP, 09, 2020082318, , MIWU, 0, 273N, 1257E,  70,  969, TY,
WP, 09, 2020082400, , MIWU, 0, 275N, 1260E,  75,  967, TY,
WP, 09, 2020082406, , MIWU, 0, 279N, 1264E,  80,  965, TY,
WP, 09, 2020082412, , MIWU, 0, 283N, 1262E,  85,  963, TY,
WP, 09, 2020082418, , MIWU, 0, 287N, 1260E,  90,  961, TY,
WP, 09, 2020082500, , MIWU, 0, 293N, 1257E,  95,  959, TY,
WP, 09, 2020082506, , MIWU, 0, 298N, 1254E,  95,  958, TY,
WP, 09, 2020082512, , MIWU, 0, 305N, 1251E, 100,  955, TY,
WP, 09, 2020082518, , MIWU, 0, 315N, 1247E, 100,  954, TY,
WP, 09, 2020082600, , MIWU, 0, 323N, 1245E, 100,  954, TY,
WP, 09, 2020082606, , MIWU, 0, 336N, 1243E,  95,  956, TY,
WP, 09, 2020082612, , MIWU, 0, 350N, 1244E,  90,  959, TY,
WP, 09, 2020082618, , MIWU, 0, 374N, 1246E,  75,  968, TY,
WP, 09, 2020082700, , MIWU, 0, 395N, 1250E,  60,  977, TS,
WP, 09, 2020082706, , MIWU, 0, 419N, 1257E,  40,  989, EX,
WP, 09, 2020082712, , MIWU, 0, 440N, 1265E,  30,  995, EX,
WP, 09, 2020082718, , MIWU, 0, 448N, 1270E,  20, 1001, EX,
WP, 09, 2020082800, , MIWU, 0, 452N, 1269E,  10, 1005, EX,
