WP, 10, 2020082618, , MIWU, 0, 147N, 1325E,  15, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Maysak,
WP, 10, 2020082700, , MIWU, 0, 150N, 1322E,  20, 1004, DB, 
WP, 10, 2020082706, , MIWU, 0, 152N, 1319E,  20, 1004, DB,
WP, 10, 2020082712, , MIWU, 0, 156N, 1315E,  20, 1003, DB,
WP, 10, 2020082718, , MIWU, 0, 162N, 1310E,  25, 1000, TD,
WP, 10, 2020082800, , MIWU, 0, 166N, 1305E,  30,  997, TD,
WP, 10, 2020082806, , MIWU, 0, 167N, 1301E,  35,  994, TS,
WP, 10, 2020082812, , MIWU, 0, 165N, 1298E,  45,  991, TS,
WP, 10, 2020082818, , MIWU, 0, 162N, 1296E,  60,  979, TS,
WP, 10, 2020082900, , MIWU, 0, 161N, 1294E,  65,  975, TY,
WP, 10, 2020082906, , MIWU, 0, 164N, 1291E,  60,  977, TS,
WP, 10, 2020082912, , MIWU, 0, 168N, 1288E,  60,  975, TS,
WP, 10, 2020082918, , MIWU, 0, 172N, 1289E,  65,  972, TY,
WP, 10, 2020083000, , MIWU, 0, 176N, 1291E,  75,  966, TY,
WP, 10, 2020083006, , MIWU, 0, 184N, 1291E,  80,  958, TY,
WP, 10, 2020083012, , MIWU, 0, 194N, 1290E,  95,  949, TY, 
WP, 10, 2020083018, , MIWU, 0, 208N, 1290E,  95,  947, TY,
WP, 10, 2020083100, , MIWU, 0, 222N, 1285E, 105,  940, TY,
WP, 10, 2020083106, , MIWU, 0, 241N, 1277E, 105,  939, TY,
WP, 10, 2020083112, , MIWU, 0, 251N, 1271E, 120,  928, TY,
WP, 10, 2020083118, , MIWU, 0, 261N, 1264E, 120,  928, TY,
WP, 10, 2020090100, , MIWU, 0, 269N, 1260E, 120,  929, TY,
WP, 10, 2020090106, , MIWU, 0, 277N, 1261E, 115,  931, TY,
WP, 10, 2020090112, , MIWU, 0, 283N, 1263E, 105,  937, TY,
WP, 10, 2020090118, , MIWU, 0, 294N, 1266E, 100,  940, TY,
WP, 10, 2020090200, , MIWU, 0, 304N, 1268E,  95,  942, TY,
WP, 10, 2020090206, , MIWU, 0, 317N, 1272E,  85,  948, TY,
WP, 10, 2020090212, , MIWU, 0, 333N, 1281E,  80,  951, TY,
WP, 10, 2020090218, , MIWU, 0, 357N, 1290E,  75,  954, TY,
WP, 10, 2020090300, , MIWU, 0, 390N, 1295E,  60,  963, TS,
WP, 10, 2020090306, , MIWU, 0, 421N, 1294E,  55,  966, EX,
WP, 10, 2020090312, , MIWU, 0, 453N, 1290E,  45,  972, EX,
WP, 10, 2020090318, , MIWU, 0, 469N, 1269E,  40,  975, EX,
WP, 10, 2020090400, , MIWU, 0, 482N, 1246E,  35,  978, EX,
WP, 10, 2020090406, , MIWU, 0, 484N, 1233E,  30,  981, EX,
WP, 10, 2020090412, , MIWU, 0, 486N, 1230E,  30,  982, EX,
WP, 10, 2020090418, , MIWU, 0, 493N, 1232E,  25,  985, EX,
WP, 10, 2020090500, , MIWU, 0, 503N, 1240E,  25,  987, EX,
WP, 10, 2020090506, , MIWU, 0, 515N, 1251E,  20,  991, EX,
WP, 10, 2020090512, , MIWU, 0, 528N, 1260E,  15,  993, EX,
WP, 10, 2020090518, , MIWU, 0, 530N, 1268E,  15,  994, EX,
WP, 10, 2020090600, , MIWU, 0, 534N, 1279E,  15,  996, EX,
