WP, 13, 2020091406, , MIWU, 0, 132N, 1256E,  15, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Noul,
WP, 13, 2020091412, , MIWU, 0, 130N, 1245E,  15, 1006, DB,
WP, 13, 2020091418, , MIWU, 0, 129N, 1232E,  20, 1004, DB,
WP, 13, 2020091500, , MIWU, 0, 128N, 1219E,  25, 1002, TD,
WP, 13, 2020091506, , MIWU, 0, 128N, 1205E,  30, 1000, TD,
WP, 13, 2020091512, , MIWU, 0, 128N, 1193E,  35,  997, TS,
WP, 13, 2020091518, , MIWU, 0, 129N, 1184E,  45,  993, TS,
WP, 13, 2020091600, , MIWU, 0, 132N, 1176E,  40,  995, TS,
WP, 13, 2020091606, , MIWU, 0, 137N, 1168E,  40,  994, TS,
WP, 13, 2020091612, , MIWU, 0, 140N, 1162E,  45,  992, TS,
WP, 13, 2020091618, , MIWU, 0, 144N, 1155E,  50,  989, TS,
WP, 13, 2020091700, , MIWU, 0, 149N, 1143E,  55,  986, TS,
WP, 13, 2020091706, , MIWU, 0, 157N, 1130E,  45,  990, TS,
WP, 13, 2020091712, , MIWU, 0, 162N, 1112E,  50,  987, TS,
WP, 13, 2020091718, , MIWU, 0, 164N, 1096E,  55,  985, TS,
WP, 13, 2020091800, , MIWU, 0, 163N, 1078E,  55,  984, TS,
WP, 13, 2020091806, , MIWU, 0, 161N, 1056E,  45,  988, TS,
WP, 13, 2020091812, , MIWU, 0, 162N, 1034E,  35,  992, TS,
WP, 13, 2020091818, , MIWU, 0, 166N, 1012E,  25,  996, TD,
WP, 13, 2020091900, , MIWU, 0, 170N,  990E,  20,  998, DB,
WP, 13, 2020091906, , MIWU, 0, 176N,  969E,  20,  997, DB,
WP, 13, 2020091912, , MIWU, 0, 183N,  946E,  25,  995, TD,
WP, 13, 2020091918, , MIWU, 0, 194N,  922E,  35,  993, TS,
WP, 13, 2020092000, , MIWU, 0, 201N,  896E,  30,  996, TD,
WP, 13, 2020092006, , MIWU, 0, 205N,  877E,  25,  999, TD,
WP, 13, 2020092012, , MIWU, 0, 207N,  862E,  15, 1004, DB,
WP, 13, 2020092018, , MIWU, 0, 206N,  849E,  15, 1004, DB,
WP, 13, 2020092100, , MIWU, 0, 204N,  840E,  15, 1005, DB,
WP, 13, 2020092106, , MIWU, 0, 201N,  830E,  15, 1005, DB,
