WP, 14, 2020091818, , MIWU, 0, 212N, 1370E,  15, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dolphin,
WP, 14, 2020091900, , MIWU, 0, 215N, 1365E,  20, 1002, DB,
WP, 14, 2020091906, , MIWU, 0, 216N, 1362E,  20, 1002, DB,
WP, 14, 2020091912, , MIWU, 0, 218N, 1355E,  30,  998, TD,
WP, 14, 2020091918, , MIWU, 0, 223N, 1345E,  30,  998, TD,
WP, 14, 2020092000, , MIWU, 0, 230N, 1340E,  35,  995, TS,
WP, 14, 2020092006, , MIWU, 0, 237N, 1339E,  40,  992, TS,
WP, 14, 2020092012, , MIWU, 0, 242N, 1340E,  45,  989, TS,
WP, 14, 2020092018, , MIWU, 0, 246N, 1343E,  55,  983, TS,
WP, 14, 2020092100, , MIWU, 0, 250N, 1346E,  60,  980, TS,
WP, 14, 2020092106, , MIWU, 0, 254N, 1348E,  55,  982, TS,
WP, 14, 2020092112, , MIWU, 0, 257N, 1351E,  60,  979, TS,
WP, 14, 2020092118, , MIWU, 0, 261N, 1352E,  60,  978, TS,
WP, 14, 2020092200, , MIWU, 0, 269N, 1354E,  65,  976, TY,
WP, 14, 2020092206, , MIWU, 0, 280N, 1356E,  60,  978, TS,
WP, 14, 2020092212, , MIWU, 0, 292N, 1360E,  60,  979, TS,
WP, 14, 2020092218, , MIWU, 0, 302N, 1366E,  65,  976, TY,
WP, 14, 2020092300, , MIWU, 0, 312N, 1379E,  70,  973, TY,
WP, 14, 2020092306, , MIWU, 0, 323N, 1390E,  65,  976, TY,
WP, 14, 2020092312, , MIWU, 0, 328N, 1401E,  60,  979, TS,
WP, 14, 2020092318, , MIWU, 0, 329N, 1413E,  60,  980, TS,
WP, 14, 2020092400, , MIWU, 0, 328N, 1417E,  55,  983, SS,
WP, 14, 2020092406, , MIWU, 0, 325N, 1422E,  50,  986, SS,
WP, 14, 2020092412, , MIWU, 0, 326N, 1426E,  45,  989, SS,
WP, 14, 2020092418, , MIWU, 0, 330N, 1424E,  40,  992, SS,
WP, 14, 2020092500, , MIWU, 0, 340N, 1419E,  30,  998, SD,
WP, 14, 2020092506, , MIWU, 0, 351N, 1420E,  30,  999, SD,
WP, 14, 2020092512, , MIWU, 0, 366N, 1430E,  35,  997, EX,
WP, 14, 2020092518, , MIWU, 0, 386N, 1447E,  40,  995, EX,
WP, 14, 2020092600, , MIWU, 0, 400N, 1457E,  40,  996, EX,
WP, 14, 2020092606, , MIWU, 0, 415N, 1459E,  30, 1000, EX,
WP, 14, 2020092612, , MIWU, 0, 423N, 1463E,  25, 1002, EX,
WP, 14, 2020092618, , MIWU, 0, 425N, 1471E,  20, 1004, EX,
WP, 14, 2020092700, , MIWU, 0, 424N, 1481E,  15, 1006, EX,
