WP, 17, 2020100806, , MIWU, 0, 128N, 1210E,  15, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Linfa,
WP, 17, 2020100812, , MIWU, 0, 130N, 1200E,  15, 1007, DB,
WP, 17, 2020100818, , MIWU, 0, 128N, 1188E,  20, 1005, DB,
WP, 17, 2020100900, , MIWU, 0, 129N, 1176E,  25, 1003, TD,
WP, 17, 2020100906, , MIWU, 0, 131N, 1165E,  25, 1002, TD,
WP, 17, 2020100912, , MIWU, 0, 133N, 1157E,  30, 1000, TD,
WP, 17, 2020100918, , MIWU, 0, 136N, 1150E,  35,  998, TS,
WP, 17, 2020101000, , MIWU, 0, 138N, 1143E,  40,  995, TS,
WP, 17, 2020101006, , MIWU, 0, 142N, 1133E,  40,  994, TS,
WP, 17, 2020101012, , MIWU, 0, 146N, 1121E,  50,  990, TS,
WP, 17, 2020101018, , MIWU, 0, 148N, 1105E,  55,  988, TS,
WP, 17, 2020101100, , MIWU, 0, 149N, 1093E,  55,  989, TS,
WP, 17, 2020101106, , MIWU, 0, 151N, 1082E,  40,  995, TS,
WP, 17, 2020101112, , MIWU, 0, 152N, 1072E,  25, 1001, TD,
WP, 17, 2020101118, , MIWU, 0, 151N, 1061E,  20, 1003, DB,
WP, 17, 2020101200, , MIWU, 0, 151N, 1050E,  15, 1005, DB,
WP, 17, 2020101206, , MIWU, 0, 152N, 1041E,  15, 1005, DB,
WP, 16, 2020101212, , MIWU, 0, 152N, 1031E,  15, 1005, DB,
