WP, 21, 2020102200, , MIWU, 0,  92N, 1374E,  10, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Molave,
WP, 21, 2020102206, , MIWU, 0,  95N, 1372E,  15, 1007, DB,
WP, 21, 2020102212, , MIWU, 0,  97N, 1368E,  20, 1005, DB,
WP, 21, 2020102218, , MIWU, 0, 100N, 1363E,  20, 1005, DB,
WP, 21, 2020102300, , MIWU, 0, 102N, 1352E,  20, 1004, DB,
WP, 21, 2020102306, , MIWU, 0, 105N, 1340E,  25, 1002, TD,
WP, 21, 2020102312, , MIWU, 0, 110N, 1330E,  30, 1000, TD,
WP, 21, 2020102318, , MIWU, 0, 117N, 1320E,  30,  999, TD,
WP, 21, 2020102400, , MIWU, 0, 124N, 1310E,  35,  997, TS,
WP, 21, 2020102406, , MIWU, 0, 130N, 1300E,  40,  994, TS,
WP, 21, 2020102412, , MIWU, 0, 133N, 1290E,  45,  991, TS,
WP, 21, 2020102418, , MIWU, 0, 134N, 1278E,  50,  988, TS,
WP, 21, 2020102500, , MIWU, 0, 133N, 1264E,  60,  982, TY,
WP, 21, 2020102506, , MIWU, 0, 134N, 1247E,  70,  976, TY,
WP, 21, 2020102512, , MIWU, 0, 135N, 1232E,  75,  973, TY,
WP, 21, 2020102518, , MIWU, 0, 133N, 1218E,  70,  975, TY,
WP, 21, 2020102600, , MIWU, 0, 133N, 1202E,  70,  974, TY,
WP, 21, 2020102606, , MIWU, 0, 133N, 1190E,  75,  970, TY,
WP, 21, 2020102612, , MIWU, 0, 133N, 1177E,  90,  958, TY,
WP, 21, 2020102618, , MIWU, 0, 134N, 1159E, 100,  950, TY,
WP, 21, 2020102700, , MIWU, 0, 135N, 1146E, 105,  946, TY,
WP, 21, 2020102706, , MIWU, 0, 134N, 1132E, 115,  940, TY,
WP, 21, 2020102712, , MIWU, 0, 138N, 1119E, 110,  943, TY,
WP, 21, 2020102718, , MIWU, 0, 142N, 1110E, 105,  947, TY,
WP, 21, 2020102800, , MIWU, 0, 147N, 1101E,  90,  959, TY,
WP, 21, 2020102806, , MIWU, 0, 152N, 1090E,  70,  971, TY,
WP, 21, 2020102812, , MIWU, 0, 155N, 1076E,  45,  989, TS,
WP, 21, 2020102818, , MIWU, 0, 156N, 1062E,  30,  996, TD,
WP, 21, 2020102900, , MIWU, 0, 155N, 1052E,  20, 1000, DB,
WP, 21, 2020102906, , MIWU, 0, 157N, 1041E,  15, 1002, DB,
WP, 21, 2020102912, , MIWU, 0, 160N, 1026E,  15, 1002, DB,
WP, 21, 2020102918, , MIWU, 0, 163N, 1010E,  15, 1003, DB,
