WP, 26, 2020121806, , MIWU, 0,  80N, 1265E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Krovanh,
WP, 26, 2020121812, , MIWU, 0,  85N, 1252E,  20, 1004, DB,
WP, 26, 2020121818, , MIWU, 0,  89N, 1233E,  20, 1004, DB,
WP, 26, 2020121900, , MIWU, 0,  92N, 1216E,  20, 1003, DB,
WP, 26, 2020121906, , MIWU, 0,  94N, 1201E,  20, 1003, DB,
WP, 26, 2020121912, , MIWU, 0,  97N, 1189E,  25, 1001, TD,
WP, 26, 2020121918, , MIWU, 0, 103N, 1176E,  25, 1000, TD,
WP, 26, 2020122000, , MIWU, 0, 110N, 1163E,  30,  998, TD,
WP, 26, 2020122006, , MIWU, 0, 108N, 1151E,  35,  996, TS,
WP, 26, 2020122012, , MIWU, 0, 103N, 1144E,  35,  997, TS,
WP, 26, 2020122018, , MIWU, 0, 100N, 1140E,  35,  997, TS,
WP, 26, 2020122100, , MIWU, 0,  97N, 1136E,  30,  999, TD,
WP, 26, 2020122106, , MIWU, 0,  95N, 1131E,  30,  999, TD,
WP, 26, 2020122112, , MIWU, 0,  91N, 1123E,  30, 1000, TD,
WP, 26, 2020122118, , MIWU, 0,  87N, 1117E,  30, 1000, TD,
WP, 26, 2020122200, , MIWU, 0,  83N, 1110E,  25, 1002, TD,
WP, 26, 2020122206, , MIWU, 0,  81N, 1104E,  20, 1004, DB,
WP, 26, 2020122212, , MIWU, 0,  81N, 1098E,  20, 1004, DB,
WP, 26, 2020122218, , MIWU, 0,  83N, 1092E,  20, 1005, DB,
WP, 26, 2020122300, , MIWU, 0,  82N, 1085E,  25, 1003, TD,
WP, 26, 2020122306, , MIWU, 0,  83N, 1075E,  30, 1001, TD,
WP, 26, 2020122312, , MIWU, 0,  82N, 1064E,  30, 1002, TD,
WP, 26, 2020122318, , MIWU, 0,  80N, 1053E,  20, 1006, DB,
WP, 26, 2020122400, , MIWU, 0,  77N, 1040E,  20, 1005, DB,
WP, 26, 2020122406, , MIWU, 0,  78N, 1027E,  25, 1002, TD,
WP, 26, 2020122412, , MIWU, 0,  82N, 1016E,  35,  996, TS,
WP, 26, 2020122418, , MIWU, 0,  85N, 1007E,  35,  997, TS,
WP, 26, 2020122500, , MIWU, 0,  92N,  996E,  30,  999, TD,
WP, 26, 2020122506, , MIWU, 0, 103N,  982E,  25, 1001, TD,
WP, 26, 2020122512, , MIWU, 0, 110N,  972E,  20, 1003, DB,
WP, 26, 2020122518, , MIWU, 0, 116N,  965E,  15, 1006, DB,
WP, 26, 2020122600, , MIWU, 0, 120N,  961E,  10, 1009, DB,
WP, 26, 2020122606, , MIWU, 0, 122N,  962E,  10, 1010, DB,
