WP, 06, 2021061918, , MIWU, 0,  92N, 1517E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Champi,
WP, 06, 2021062000, , MIWU, 0,  96N, 1509E,  20, 1012, DB,
WP, 06, 2021062006, , MIWU, 0, 101N, 1500E,  25, 1010, TD,
WP, 06, 2021062012, , MIWU, 0, 105N, 1491E,  30, 1008, TD,
WP, 06, 2021062018, , MIWU, 0, 110N, 1482E,  35, 1006, TS,
WP, 06, 2021062100, , MIWU, 0, 115N, 1474E,  40, 1004, TS,
WP, 06, 2021062106, , MIWU, 0, 119N, 1463E,  40, 1003, TS,
WP, 06, 2021062112, , MIWU, 0, 122N, 1454E,  30, 1007, TD,
WP, 06, 2021062118, , MIWU, 0, 126N, 1445E,  30, 1007, TD,
WP, 06, 2021062200, , MIWU, 0, 133N, 1436E,  30, 1006, TD,
WP, 06, 2021062206, , MIWU, 0, 140N, 1425E,  35, 1004, TS,
WP, 06, 2021062212, , MIWU, 0, 144N, 1418E,  40, 1002, TS,
WP, 06, 2021062218, , MIWU, 0, 148N, 1411E,  40, 1002, TS,
WP, 06, 2021062300, , MIWU, 0, 155N, 1406E,  45, 1000, TS,
WP, 06, 2021062306, , MIWU, 0, 166N, 1407E,  45,  999, TS,
WP, 06, 2021062312, , MIWU, 0, 174N, 1407E,  50,  996, TS,
WP, 06, 2021062318, , MIWU, 0, 180N, 1405E,  50,  996, TS,
WP, 06, 2021062400, , MIWU, 0, 184N, 1402E,  50,  995, TS,
WP, 06, 2021062406, , MIWU, 0, 190N, 1400E,  50,  995, TS,
WP, 06, 2021062412, , MIWU, 0, 197N, 1398E,  55,  992, TS,
WP, 06, 2021062418, , MIWU, 0, 203N, 1396E,  60,  989, TS,
WP, 06, 2021062500, , MIWU, 0, 210N, 1393E,  70,  983, TY,
WP, 06, 2021062506, , MIWU, 0, 220N, 1390E,  70,  984, TY,
WP, 06, 2021062512, , MIWU, 0, 230N, 1392E,  70,  984, TY,
WP, 06, 2021062518, , MIWU, 0, 239N, 1396E,  70,  983, TY,
WP, 06, 2021062600, , MIWU, 0, 248N, 1398E,  70,  983, TY,
WP, 06, 2021062606, , MIWU, 0, 260N, 1400E,  65,  986, TY,
WP, 06, 2021062612, , MIWU, 0, 271N, 1403E,  55,  992, TS,
WP, 06, 2021062618, , MIWU, 0, 284N, 1410E,  45,  996, TS,
WP, 06, 2021062700, , MIWU, 0, 302N, 1415E,  40,  998, TS,
WP, 06, 2021062706, , MIWU, 0, 320N, 1423E,  35, 1000, TS,
WP, 06, 2021062712, , MIWU, 0, 339N, 1440E,  30, 1002, EX,
WP, 06, 2021062718, , MIWU, 0, 362N, 1461E,  30, 1001, EX,
WP, 06, 2020062800, , MIWU, 0, 376N, 1484E,  25, 1003, EX,
WP, 06, 2020062806, , MIWU, 0, 390N, 1511E,  20, 1005, EX,
WP, 06, 2020062812, , MIWU, 0, 402N, 1545E,  20, 1006, EX,
WP, 06, 2021062818, , MIWU, 0, 406N, 1588E,  15, 1008, EX,
WP, 06, 2020062900, , MIWU, 0, 404N, 1640E,  15, 1008, EX,
