WP, 18, 2021090412, , MIWU, 0, 102N, 1335E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Conson,
WP, 18, 2021090418, , MIWU, 0, 101N, 1323E,  20, 1010, DB,
WP, 18, 2021090500, , MIWU, 0, 100N, 1311E,  20, 1009, DB,
WP, 18, 2021090506, , MIWU, 0, 100N, 1303E,  25, 1007, TD,
WP, 18, 2021090512, , MIWU, 0, 100N, 1295E,  35, 1003, TS,
WP, 18, 2021090518, , MIWU, 0, 101N, 1287E,  45,  998, TS,
WP, 18, 2021090600, , MIWU, 0, 104N, 1278E,  55,  992, TS,
WP, 18, 2021090606, , MIWU, 0, 108N, 1267E,  70,  983, TY,
WP, 18, 2021090612, , MIWU, 0, 112N, 1259E,  75,  980, TY,
WP, 18, 2021090618, , MIWU, 0, 116N, 1248E,  70,  982, TY,
WP, 18, 2021090700, , MIWU, 0, 121N, 1241E,  60,  986, TS,
WP, 18, 2021090706, , MIWU, 0, 125N, 1234E,  60,  986, TS,
WP, 18, 2021090712, , MIWU, 0, 131N, 1227E,  60,  985, TS,
WP, 18, 2021090718, , MIWU, 0, 134N, 1219E,  65,  983, TY,
WP, 18, 2021090800, , MIWU, 0, 138N, 1214E,  65,  984, TY,
WP, 18, 2021090806, , MIWU, 0, 143N, 1206E,  55,  988, TS,
WP, 18, 2021090812, , MIWU, 0, 147N, 1199E,  45,  992, TS,
WP, 18, 2021090818, , MIWU, 0, 151N, 1191E,  40,  994, TS,
WP, 18, 2021090900, , MIWU, 0, 155N, 1180E,  40,  995, TS,
WP, 18, 2021090906, , MIWU, 0, 159N, 1167E,  50,  991, TS,
WP, 18, 2021090912, , MIWU, 0, 162N, 1153E,  55,  989, TS,
WP, 18, 2021090918, , MIWU, 0, 163N, 1140E,  55,  988, TS,
WP, 18, 2021091000, , MIWU, 0, 161N, 1130E,  50,  990, TS,
WP, 18, 2021091006, , MIWU, 0, 158N, 1121E,  50,  991, TS,
WP, 18, 2021091012, , MIWU, 0, 159N, 1115E,  50,  991, TS,
WP, 18, 2021091018, , MIWU, 0, 160N, 1107E,  55,  989, TS,
WP, 18, 2021091100, , MIWU, 0, 158N, 1100E,  60,  987, TS,
WP, 18, 2021091106, , MIWU, 0, 156N, 1095E,  55,  990, TS,
WP, 18, 2021091112, , MIWU, 0, 154N, 1092E,  50,  993, TS,
WP, 18, 2021091118, , MIWU, 0, 152N, 1091E,  45,  996, TS,
WP, 18, 2021091200, , MIWU, 0, 153N, 1091E,  35, 1002, TS,
WP, 18, 2021091206, , MIWU, 0, 154N, 1090E,  25, 1006, TD,
WP, 18, 2021091212, , MIWU, 0, 153N, 1090E,  25, 1006, TD,
WP, 18, 2021091218, , MIWU, 0, 155N, 1089E,  20, 1008, DB,
WP, 18, 2021091300, , MIWU, 0, 158N, 1088E,  20, 1008, DB,
WP, 18, 2021091306, , MIWU, 0, 161N, 1086E,  15, 1010, DB,
WP, 18, 2021091312, , MIWU, 0, 162N, 1082E,  15, 1010, DB,
WP, 18, 2021091318, , MIWU, 0, 161N, 1076E,  15, 1011, DB,
WP, 18, 2021091400, , MIWU, 0, 159N, 1070E,  10, 1012, DB,
