WP, 28, 2021121112, , MIWU, 0,  53N, 1448E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rai,
WP, 28, 2021121118, , MIWU, 0,  55N, 1446E,  20, 1007, DB,
WP, 28, 2021121200, , MIWU, 0,  58N, 1443E,  20, 1006, DB,
WP, 28, 2021121206, , MIWU, 0,  60N, 1439E,  20, 1006, DB,
WP, 28, 2021121212, , MIWU, 0,  60N, 1433E,  25, 1004, TD,
WP, 28, 2021121218, , MIWU, 0,  59N, 1427E,  30, 1002, TD,
WP, 28, 2021121300, , MIWU, 0,  58N, 1419E,  30, 1001, TD,
WP, 28, 2021121306, , MIWU, 0,  60N, 1408E,  35,  999, TS,
WP, 28, 2021121312, , MIWU, 0,  63N, 1397E,  40,  997, TS,
WP, 28, 2021121318, , MIWU, 0,  67N, 1385E,  45,  995, TS,
WP, 28, 2021121400, , MIWU, 0,  72N, 1371E,  45,  994, TS,
WP, 28, 2021121406, , MIWU, 0,  78N, 1358E,  50,  991, TS,
WP, 28, 2021121412, , MIWU, 0,  84N, 1346E,  55,  987, TS,
WP, 28, 2021121418, , MIWU, 0,  88N, 1332E,  60,  983, TS,
WP, 28, 2021121500, , MIWU, 0,  90N, 1321E,  70,  975, TY,
WP, 28, 2021121506, , MIWU, 0,  91N, 1310E,  85,  960, TY,
WP, 28, 2021121512, , MIWU, 0,  92N, 1300E, 100,  945, TY,
WP, 28, 2021121518, , MIWU, 0,  95N, 1288E, 120,  925, TY,
WP, 28, 2021121600, , MIWU, 0,  97N, 1276E, 145,  910, ST,
WP, 28, 2021121606, , MIWU, 0,  99N, 1259E, 135,  916, ST,
WP, 28, 2021121612, , MIWU, 0, 100N, 1240E, 110,  938, TY,
WP, 28, 2021121618, , MIWU, 0, 101N, 1224E,  90,  956, TY,
WP, 28, 2021121700, , MIWU, 0, 100N, 1211E,  75,  971, TY,
WP, 28, 2021121706, , MIWU, 0, 102N, 1198E,  80,  968, TY,
WP, 28, 2021121712, , MIWU, 0, 104N, 1186E,  80,  968, TY,
WP, 28, 2021121718, , MIWU, 0, 107N, 1172E,  85,  966, TY,
WP, 28, 2021121800, , MIWU, 0, 110N, 1160E, 100,  960, TY,
WP, 28, 2021121806, , MIWU, 0, 114N, 1145E, 110,  956, TY,
WP, 28, 2021121812, , MIWU, 0, 119N, 1133E, 125,  950, TY,
WP, 28, 2021121818, , MIWU, 0, 124N, 1122E, 125,  951, TY,
WP, 28, 2021121900, , MIWU, 0, 130N, 1114E, 110,  957, TY,
WP, 28, 2021121906, , MIWU, 0, 140N, 1110E,  90,  969, TY,
WP, 28, 2021121912, , MIWU, 0, 151N, 1107E,  80,  977, TY,
WP, 28, 2021121918, , MIWU, 0, 162N, 1106E,  70,  985, TY,
WP, 28, 2021122000, , MIWU, 0, 174N, 1108E,  60,  993, TS,
WP, 28, 2021122006, , MIWU, 0, 182N, 1115E,  50,  999, TS,
WP, 28, 2021122012, , MIWU, 0, 187N, 1123E,  45, 1002, SS,
WP, 28, 2021122018, , MIWU, 0, 196N, 1130E,  40, 1005, SS,
WP, 28, 2021122100, , MIWU, 0, 205N, 1140E,  35, 1007, SS,
WP, 28, 2021122106, , MIWU, 0, 214N, 1153E,  30, 1009, SD,
WP, 28, 2021122112, , MIWU, 0, 213N, 1166E,  25, 1011, SD,
WP, 27, 2021122118, , MIWU, 0, 209N, 1174E,  20, 1012, SD,
WP, 27, 2021122200, , MIWU, 0, 203N, 1179E,  15, 1013, SD,
WP, 27, 2021122206, , MIWU, 0, 200N, 1182E,  10, 1014, SD,
