EP, 02, 2022061312, , MIWU, 0, 121N, 1013W,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Blas,
EP, 02, 2022061318, , MIWU, 0, 124N, 1015W,  20, 1009, DB,
EP, 02, 2022061400, , MIWU, 0, 130N, 1017W,  25, 1007, TD,
EP, 02, 2022061406, , MIWU, 0, 135N, 1019W,  35, 1003, TS,
EP, 02, 2022061412, , MIWU, 0, 139N, 1020W,  40, 1000, TS,
EP, 02, 2022061418, , MIWU, 0, 144N, 1018W,  45,  997, TS,
EP, 02, 2022061500, , MIWU, 0, 147N, 1020W,  45,  996, TS,
EP, 02, 2022061506, , MIWU, 0, 148N, 1022W,  50,  992, TS,
EP, 02, 2022061512, , MIWU, 0, 149N, 1025W,  55,  988, TS,
EP, 02, 2022061518, , MIWU, 0, 151N, 1029W,  65,  980, HU,
EP, 02, 2022061600, , MIWU, 0, 154N, 1033W,  70,  977, HU,
EP, 02, 2022061606, , MIWU, 0, 156N, 1038W,  70,  978, HU,
EP, 02, 2022061612, , MIWU, 0, 158N, 1043W,  65,  981, HU,
EP, 02, 2022061618, , MIWU, 0, 160N, 1051W,  65,  980, HU,
EP, 02, 2022061700, , MIWU, 0, 164N, 1060W,  70,  976, HU,
EP, 02, 2022061706, , MIWU, 0, 168N, 1071W,  70,  975, HU,
EP, 02, 2022061712, , MIWU, 0, 171N, 1083W,  75,  972, HU,
EP, 02, 2022061718, , MIWU, 0, 174N, 1093W,  70,  975, HU,
EP, 02, 2022061800, , MIWU, 0, 178N, 1099W,  60,  981, TS,
EP, 02, 2022061806, , MIWU, 0, 180N, 1105W,  50,  989, TS,
EP, 02, 2022061812, , MIWU, 0, 182N, 1109W,  50,  990, TS,
EP, 02, 2022061818, , MIWU, 0, 184N, 1114W,  45,  993, TS,
EP, 02, 2022061900, , MIWU, 0, 186N, 1117W,  45,  993, TS,
EP, 02, 2022061906, , MIWU, 0, 189N, 1120W,  45,  994, TS,
EP, 02, 2022061912, , MIWU, 0, 190N, 1121W,  40,  997, TS,
EP, 02, 2022061918, , MIWU, 0, 190N, 1123W,  35, 1000, TS,
EP, 02, 2022062000, , MIWU, 0, 190N, 1125W,  30, 1002, TD,
EP, 02, 2022062006, , MIWU, 0, 191N, 1128W,  30, 1003, TD,
EP, 02, 2022062012, , MIWU, 0, 190N, 1132W,  30, 1003, TD,
EP, 02, 2022062018, , MIWU, 0, 190N, 1137W,  25, 1005, TD,
EP, 02, 2022062100, , MIWU, 0, 190N, 1143W,  25, 1005, TD,
EP, 02, 2022062106, , MIWU, 0, 190N, 1147W,  20, 1007, DB,
EP, 02, 2022062112, , MIWU, 0, 191N, 1150W,  20, 1007, DB,
EP, 02, 2022062118, , MIWU, 0, 192N, 1154W,  20, 1007, DB,
EP, 02, 2022062200, , MIWU, 0, 192N, 1159W,  20, 1008, DB,
EP, 02, 2022062206, , MIWU, 0, 193N, 1162W,  20, 1008, DB,
EP, 02, 2022062212, , MIWU, 0, 195N, 1166W,  20, 1008, DB,
EP, 02, 2022062218, , MIWU, 0, 194N, 1170W,  15, 1010, DB,
EP, 02, 2022062300, , MIWU, 0, 192N, 1173W,  15, 1010, DB,
