EP, 07, 2022072418, , MIWU, 0, 120N,  947W,  20, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Frank,
EP, 07, 2022072500, , MIWU, 0, 119N,  959W,  20, 1007, DB,
EP, 07, 2022072506, , MIWU, 0, 118N,  974W,  20, 1006, DB,
EP, 07, 2022072512, , MIWU, 0, 117N,  986W,  20, 1006, DB,
EP, 07, 2022072518, , MIWU, 0, 117N,  995W,  25, 1004, TD,
EP, 07, 2022072600, , MIWU, 0, 116N, 1003W,  30, 1002, TD,
EP, 07, 2022072606, , MIWU, 0, 114N, 1012W,  35, 1000, TD,
EP, 07, 2022072612, , MIWU, 0, 115N, 1020W,  40,  997, TS,
EP, 07, 2022072618, , MIWU, 0, 116N, 1030W,  35,  999, TS,
EP, 07, 2022072700, , MIWU, 0, 118N, 1038W,  35,  999, TS,
EP, 07, 2022072706, , MIWU, 0, 119N, 1045W,  40,  997, TS,
EP, 07, 2022072712, , MIWU, 0, 120N, 1053W,  40,  996, TS,
EP, 07, 2022072718, , MIWU, 0, 122N, 1063W,  45,  994, TS,
EP, 07, 2022072800, , MIWU, 0, 125N, 1076W,  45,  994, TS,
EP, 07, 2022072806, , MIWU, 0, 126N, 1087W,  45,  994, TS,
EP, 07, 2022072812, , MIWU, 0, 127N, 1098W,  45,  993, TS,
EP, 07, 2022072818, , MIWU, 0, 128N, 1106W,  50,  990, TS,
EP, 07, 2022072900, , MIWU, 0, 130N, 1113W,  50,  990, TS,
EP, 07, 2022072906, , MIWU, 0, 134N, 1119W,  50,  990, TS,
EP, 07, 2022072912, , MIWU, 0, 140N, 1126W,  55,  987, TS,
EP, 07, 2022072918, , MIWU, 0, 145N, 1136W,  65,  981, HU,
EP, 07, 2022073000, , MIWU, 0, 149N, 1144W,  75,  973, HU,
EP, 07, 2022073006, , MIWU, 0, 155N, 1150W,  80,  969, HU,
EP, 07, 2022073012, , MIWU, 0, 163N, 1158W,  75,  971, HU,
EP, 07, 2022073018, , MIWU, 0, 169N, 1166W,  75,  972, HU,
EP, 07, 2022073100, , MIWU, 0, 176N, 1173W,  75,  972, HU,
EP, 07, 2022073106, , MIWU, 0, 182N, 1182W,  75,  972, HU,
EP, 07, 2022073112, , MIWU, 0, 189N, 1190W,  75,  972, HU,
EP, 07, 2022073118, , MIWU, 0, 197N, 1198W,  70,  974, HU,
EP, 07, 2022080100, , MIWU, 0, 204N, 1205W,  65,  977, HU,
EP, 07, 2022080106, , MIWU, 0, 213N, 1213W,  60,  980, TS,
EP, 07, 2022080112, , MIWU, 0, 220N, 1221W,  50,  986, TS,
EP, 07, 2022080118, , MIWU, 0, 225N, 1229W,  45,  989, TS,
EP, 07, 2022080200, , MIWU, 0, 231N, 1237W,  40,  992, TS,
EP, 07, 2022080206, , MIWU, 0, 237N, 1243W,  35,  995, TS,
EP, 07, 2022080212, , MIWU, 0, 244N, 1250W,  30,  998, TD,
EP, 07, 2022080218, , MIWU, 0, 252N, 1257W,  30,  998, TD,
EP, 07, 2022080300, , MIWU, 0, 260N, 1263W,  30,  999, TD,
EP, 07, 2022080306, , MIWU, 0, 268N, 1269W,  30,  999, TD,
EP, 07, 2022080312, , MIWU, 0, 278N, 1273W,  30,  999, LO,
EP, 07, 2022080318, , MIWU, 0, 288N, 1274W,  25, 1001, LO,
EP, 07, 2022080400, , MIWU, 0, 299N, 1274W,  25, 1002, LO,
EP, 07, 2022080406, , MIWU, 0, 308N, 1272W,  25, 1002, LO,
EP, 07, 2022080412, , MIWU, 0, 316N, 1268W,  20, 1004, LO,
EP, 07, 2022080418, , MIWU, 0, 320N, 1259W,  15, 1006, LO,
EP, 07, 2022080500, , MIWU, 0, 319N, 1247W,  15, 1007, LO,
EP, 07, 2022080506, , MIWU, 0, 316N, 1235W,  15, 1008, LO,
