EP, 10, 2022081112, , MIWU, 0, 135N, 1050W,  15, 1013, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ivette,
EP, 10, 2022081118, , MIWU, 0, 138N, 1056W,  20, 1011, DB,
EP, 10, 2022081200, , MIWU, 0, 144N, 1061W,  20, 1012, DB,
EP, 10, 2022081206, , MIWU, 0, 150N, 1066W,  15, 1014, DB,
EP, 10, 2022081212, , MIWU, 0, 158N, 1074W,  15, 1014, DB,
EP, 10, 2022081218, , MIWU, 0, 163N, 1080W,  20, 1012, DB,
EP, 10, 2022081300, , MIWU, 0, 167N, 1088W,  20, 1011, DB,
EP, 10, 2022081306, , MIWU, 0, 171N, 1096W,  25, 1009, TD,
EP, 10, 2022081312, , MIWU, 0, 174N, 1104W,  35, 1005, TS,
EP, 10, 2022081318, , MIWU, 0, 176N, 1112W,  40, 1003, TS,
EP, 10, 2022081400, , MIWU, 0, 179N, 1119W,  40, 1004, TS,
EP, 10, 2022081406, , MIWU, 0, 181N, 1124W,  35, 1006, TS,
EP, 10, 2022081412, , MIWU, 0, 182N, 1128W,  35, 1006, TS,
EP, 10, 2022081418, , MIWU, 0, 181N, 1131W,  30, 1008, TD,
EP, 10, 2022081500, , MIWU, 0, 180N, 1133W,  30, 1008, TD,
EP, 10, 2022081506, , MIWU, 0, 179N, 1134W,  30, 1008, TD,
EP, 10, 2022081512, , MIWU, 0, 178N, 1135W,  35, 1005, TS,
EP, 10, 2022081518, , MIWU, 0, 177N, 1137W,  40, 1002, TS,
EP, 10, 2022081600, , MIWU, 0, 176N, 1140W,  30, 1006, TD,
EP, 10, 2022081606, , MIWU, 0, 174N, 1142W,  30, 1006, TD,
EP, 10, 2022081612, , MIWU, 0, 172N, 1145W,  30, 1006, TD,
EP, 10, 2022081618, , MIWU, 0, 172N, 1149W,  30, 1006, TD,
EP, 10, 2022081700, , MIWU, 0, 173N, 1153W,  25, 1008, TD,
EP, 10, 2022081706, , MIWU, 0, 175N, 1157W,  20, 1010, DB,
EP, 10, 2022081712, , MIWU, 0, 176N, 1161W,  20, 1010, DB,
EP, 10, 2022081718, , MIWU, 0, 177N, 1165W,  20, 1010, DB,
EP, 10, 2022081800, , MIWU, 0, 179N, 1170W,  15, 1012, DB,
EP, 10, 2022081806, , MIWU, 0, 182N, 1177W,  15, 1012, DB,
EP, 10, 2022081812, , MIWU, 0, 184N, 1184W,  15, 1012, DB,
EP, 10, 2022081818, , MIWU, 0, 183N, 1189W,  15, 1012, DB,
EP, 10, 2022081900, , MIWU, 0, 181N, 1194W,  10, 1014, DB,
EP, 10, 2022081906, , MIWU, 0, 178N, 1198W,  10, 1014, DB,
EP, 10, 2022081912, , MIWU, 0, 174N, 1201W,  10, 1013, DB,
EP, 10, 2022081918, , MIWU, 0, 172N, 1206W,  15, 1011, DB,
EP, 10, 2022082000, , MIWU, 0, 171N, 1211W,  20, 1009, DB,
EP, 10, 2022082006, , MIWU, 0, 170N, 1217W,  20, 1008, DB,
EP, 10, 2022082012, , MIWU, 0, 169N, 1224W,  25, 1006, TD,
EP, 10, 2022082018, , MIWU, 0, 169N, 1232W,  25, 1006, TD,
EP, 10, 2022082100, , MIWU, 0, 170N, 1240W,  25, 1006, TD,
EP, 10, 2022082106, , MIWU, 0, 171N, 1248W,  25, 1008, TD,
EP, 10, 2022082112, , MIWU, 0, 172N, 1257W,  20, 1010, DB,
EP, 10, 2022082118, , MIWU, 0, 174N, 1266W,  15, 1012, DB,
EP, 10, 2022082200, , MIWU, 0, 176N, 1275W,  10, 1014, DB,
EP, 10, 2022082206, , MIWU, 0, 175N, 1286W,  10, 1014, DB,
