EP, 11, 2022083018, , MIWU, 0, 133N, 1017W,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Javier,
EP, 11, 2022083100, , MIWU, 0, 140N, 1030W,  20, 1005, DB,
EP, 11, 2022083106, , MIWU, 0, 145N, 1042W,  20, 1005, DB,
EP, 11, 2022083112, , MIWU, 0, 150N, 1053W,  25, 1003, TD,
EP, 11, 2022083118, , MIWU, 0, 155N, 1063W,  25, 1002, TD,
EP, 11, 2022090100, , MIWU, 0, 160N, 1071W,  30, 1000, TD,
EP, 11, 2022090106, , MIWU, 0, 166N, 1081W,  30, 1001, TD,
EP, 11, 2022090112, , MIWU, 0, 173N, 1090W,  30, 1000, TD,
EP, 11, 2022090118, , MIWU, 0, 181N, 1100W,  30, 1000, TD,
EP, 11, 2022090200, , MIWU, 0, 189N, 1107W,  35,  998, TS,
EP, 11, 2022090206, , MIWU, 0, 197N, 1112W,  40,  996, TS,
EP, 11, 2022090212, , MIWU, 0, 205N, 1115W,  40,  995, TS,
EP, 11, 2022090218, , MIWU, 0, 214N, 1119W,  45,  993, TS,
EP, 11, 2022090300, , MIWU, 0, 226N, 1125W,  45,  992, TS,
EP, 11, 2022090306, , MIWU, 0, 238N, 1133W,  45,  992, TS,
EP, 11, 2022090312, , MIWU, 0, 248N, 1143W,  45,  992, TS,
EP, 11, 2022090318, , MIWU, 0, 257N, 1154W,  35,  996, TS,
EP, 11, 2022090400, , MIWU, 0, 263N, 1166W,  35,  996, LO,
EP, 11, 2022090406, , MIWU, 0, 268N, 1179W,  30,  998, LO,
EP, 11, 2022090412, , MIWU, 0, 275N, 1192W,  25, 1000, LO,
EP, 11, 2022090418, , MIWU, 0, 278N, 1204W,  25, 1000, LO,
EP, 11, 2022090500, , MIWU, 0, 279N, 1217W,  25, 1001, LO,
EP, 11, 2022090506, , MIWU, 0, 279N, 1229W,  25, 1001, LO,
EP, 11, 2022090512, , MIWU, 0, 278N, 1239W,  20, 1003, LO,
EP, 11, 2022090518, , MIWU, 0, 277N, 1250W,  20, 1004, LO,
EP, 11, 2022090600, , MIWU, 0, 275N, 1261W,  20, 1004, LO,
EP, 11, 2022090606, , MIWU, 0, 274N, 1273W,  15, 1006, LO,
EP, 11, 2022090612, , MIWU, 0, 274N, 1283W,  15, 1006, LO,
EP, 11, 2022090618, , MIWU, 0, 274N, 1293W,  15, 1007, LO,
EP, 11, 2022090700, , MIWU, 0, 275N, 1304W,  15, 1007, LO,
EP, 11, 2022090706, , MIWU, 0, 276N, 1316W,  15, 1007, LO,
