AL, 13, 2022100518, , MIWU, 0, 108N,  621W,  25, 1007, WV,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Julia,
AL, 13, 2022100600, , MIWU, 0, 110N,  636W,  25, 1007, WV,
AL, 13, 2022100606, , MIWU, 0, 109N,  650W,  25, 1006, WV,
AL, 13, 2022100612, , MIWU, 0, 110N,  666W,  25, 1006, WV,
AL, 13, 2022100618, , MIWU, 0, 113N,  680W,  25, 1006, WV,
AL, 13, 2022100700, , MIWU, 0, 117N,  694W,  30, 1004, TD,
AL, 13, 2022100706, , MIWU, 0, 120N,  708W,  30, 1004, TD,
AL, 13, 2022100712, , MIWU, 0, 123N,  723W,  30, 1003, TD,
AL, 13, 2022100718, , MIWU, 0, 126N,  738W,  35, 1001, TS,
AL, 13, 2022100800, , MIWU, 0, 127N,  754W,  40,  999, TS,
AL, 13, 2022100806, , MIWU, 0, 127N,  773W,  50,  995, TS,
AL, 13, 2022100812, , MIWU, 0, 126N,  790W,  55,  993, TS,
AL, 13, 2022100818, , MIWU, 0, 125N,  805W,  55,  992, TS,
AL, 13, 2022100900, , MIWU, 0, 125N,  820W,  60,  989, TS,
AL, 13, 2022100906, , MIWU, 0, 124N,  833W,  70,  983, HU,
AL, 13, 2022100907, , MIWU, 0, 125N,  837W,  75,  981, HU,
AL, 13, 2022100912, , MIWU, 0, 123N,  846W,  55,  989, TS,
EP, 18, 2022100918, , MIWU, 0, 124N,  862W,  40,  995, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Julia,
EP, 18, 2022101000, , MIWU, 0, 127N,  877W,  40,  994, TS,
EP, 18, 2022101006, , MIWU, 0, 131N,  892W,  40,  994, TS,
EP, 18, 2022101012, , MIWU, 0, 135N,  904W,  35,  996, TS,
EP, 18, 2022101018, , MIWU, 0, 139N,  911W,  30,  998, TD,
EP, 18, 2022101100, , MIWU, 0, 145N,  916W,  20, 1002, DB,
EP, 18, 2022101106, , MIWU, 0, 151N,  919W,  10, 1006, DB,
