AL, 05, 2022083112, , MIWU, 0, 373N,  465W,  20, 1015, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Danielle,
AL, 05, 2022083118, , MIWU, 0, 377N,  459W,  20, 1014, DB,
AL, 05, 2022090100, , MIWU, 0, 379N,  454W,  25, 1012, TD,
AL, 05, 2022090106, , MIWU, 0, 380N,  450W,  30, 1010, TD,
AL, 05, 2022090112, , MIWU, 0, 380N,  446W,  35, 1007, TS,
AL, 05, 2022090118, , MIWU, 0, 380N,  443W,  45, 1001, TS,
AL, 05, 2022090200, , MIWU, 0, 379N,  440W,  55,  995, TS,
AL, 05, 2022090206, , MIWU, 0, 379N,  437W,  65,  989, HU,
AL, 05, 2022090212, , MIWU, 0, 378N,  433W,  65,  990, HU,
AL, 05, 2022090218, , MIWU, 0, 379N,  433W,  65,  990, HU,
AL, 05, 2022090300, , MIWU, 0, 380N,  435W,  60,  992, TS,
AL, 05, 2022090306, , MIWU, 0, 380N,  437W,  55,  994, TS,
AL, 05, 2022090312, , MIWU, 0, 380N,  440W,  55,  993, TS,
AL, 05, 2022090318, , MIWU, 0, 380N,  445W,  55,  992, TS,
AL, 05, 2022090400, , MIWU, 0, 380N,  450W,  60,  989, TS,
AL, 05, 2022090406, , MIWU, 0, 380N,  453W,  60,  987, TS,
AL, 05, 2022090412, , MIWU, 0, 381N,  454W,  65,  983, HU,
AL, 05, 2022090418, , MIWU, 0, 383N,  452W,  70,  979, HU,
AL, 05, 2022090500, , MIWU, 0, 386N,  450W,  70,  977, HU,
AL, 05, 2022090506, , MIWU, 0, 392N,  445W,  65,  979, HU,
AL, 05, 2022090512, , MIWU, 0, 400N,  440W,  60,  981, TS,
AL, 05, 2022090518, , MIWU, 0, 406N,  435W,  60,  981, TS,
AL, 05, 2022090600, , MIWU, 0, 414N,  429W,  60,  982, TS,
AL, 05, 2022090606, , MIWU, 0, 419N,  423W,  55,  984, TS,
AL, 05, 2022090612, , MIWU, 0, 421N,  417W,  50,  986, TS,
AL, 05, 2022090618, , MIWU, 0, 424N,  409W,  55,  983, TS,
AL, 05, 2022090700, , MIWU, 0, 425N,  398W,  65,  979, HU,
AL, 05, 2022090706, , MIWU, 0, 429N,  385W,  65,  980, HU,
AL, 05, 2022090712, , MIWU, 0, 434N,  371W,  65,  980, HU,
AL, 05, 2022090718, , MIWU, 0, 443N,  355W,  60,  982, TS,
AL, 05, 2022090800, , MIWU, 0, 452N,  340W,  55,  984, TS,
AL, 05, 2022090806, , MIWU, 0, 461N,  322W,  55,  985, EX,
AL, 05, 2022090812, , MIWU, 0, 473N,  312W,  50,  987, EX,
AL, 05, 2022090818, , MIWU, 0, 485N,  308W,  50,  986, EX,
AL, 05, 2022090900, , MIWU, 0, 497N,  307W,  55,  982, EX,
AL, 05, 2022090906, , MIWU, 0, 508N,  312W,  55,  983, EX,
AL, 05, 2022090912, , MIWU, 0, 510N,  330W,  50,  985, EX,
AL, 05, 2022090918, , MIWU, 0, 500N,  345W,  45,  988, EX,
AL, 05, 2022091000, , MIWU, 0, 480N,  341W,  45,  989, EX,
AL, 05, 2022091006, , MIWU, 0, 464N,  311W,  40,  991, EX,
AL, 05, 2022091012, , MIWU, 0, 454N,  280W,  40,  992, EX,
AL, 05, 2022091018, , MIWU, 0, 447N,  260W,  35,  994, EX,
AL, 05, 2022091100, , MIWU, 0, 438N,  246W,  35,  994, EX,
AL, 05, 2022091106, , MIWU, 0, 427N,  233W,  35,  995, EX,
AL, 05, 2022091112, , MIWU, 0, 414N,  218W,  30,  997, EX,
AL, 05, 2022091118, , MIWU, 0, 400N,  203W,  25,  999, EX,
AL, 05, 2022091200, , MIWU, 0, 392N,  186W,  20, 1001, EX,
AL, 05, 2022091206, , MIWU, 0, 386N,  168W,  20, 1001, EX,
AL, 05, 2022091212, , MIWU, 0, 387N,  149W,  20, 1001, EX,
AL, 05, 2022091218, , MIWU, 0, 391N,  128W,  20, 1002, EX,
AL, 05, 2022091300, , MIWU, 0, 405N,  116W,  20, 1002, EX,
AL, 05, 2022091306, , MIWU, 0, 424N,  109W,  25, 1000, EX,
AL, 05, 2022091312, , MIWU, 0, 432N,  110W,  25, 1000, EX,
AL, 05, 2022091318, , MIWU, 0, 436N,  113W,  25, 1000, EX,
AL, 05, 2022091400, , MIWU, 0, 434N,  115W,  25, 1000, EX,
AL, 05, 2022091406, , MIWU, 0, 431N,  114W,  20, 1002, EX,
AL, 05, 2022091412, , MIWU, 0, 426N,  110W,  20, 1002, EX,
AL, 05, 2022091418, , MIWU, 0, 424N,  106W,  20, 1003, EX,
AL, 05, 2022091500, , MIWU, 0, 422N,  103W,  15, 1005, EX,
AL, 05, 2022091506, , MIWU, 0, 418N,  102W,  15, 1006, EX,
AL, 05, 2022091512, , MIWU, 0, 413N,  104W,  15, 1006, EX,
