AL, 08, 2022091912, , MIWU, 0, 286N,  464W,  25, 1013, SD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Gaston,
AL, 08, 2022091918, , MIWU, 0, 297N,  459W,  25, 1013, SD,
AL, 08, 2022092000, , MIWU, 0, 305N,  458W,  25, 1012, SD,
AL, 08, 2022092006, , MIWU, 0, 315N,  460W,  30, 1010, SD,
AL, 08, 2022092012, , MIWU, 0, 326N,  459W,  35, 1008, TS,
AL, 08, 2022092018, , MIWU, 0, 342N,  452W,  40, 1005, TS,
AL, 08, 2022092100, , MIWU, 0, 356N,  443W,  50,  999, TS,
AL, 08, 2022092106, , MIWU, 0, 370N,  432W,  55,  996, TS,
AL, 08, 2022092112, , MIWU, 0, 379N,  420W,  65,  992, HU,
AL, 08, 2022092118, , MIWU, 0, 386N,  406W,  65,  993, HU,
AL, 08, 2022092200, , MIWU, 0, 395N,  386W,  60,  995, TS,
AL, 08, 2022092206, , MIWU, 0, 402N,  364W,  60,  995, TS,
AL, 08, 2022092212, , MIWU, 0, 407N,  346W,  60,  994, TS,
AL, 08, 2022092218, , MIWU, 0, 410N,  330W,  60,  994, TS,
AL, 08, 2022092300, , MIWU, 0, 410N,  313W,  55,  996, TS,
AL, 08, 2022092306, , MIWU, 0, 409N,  302W,  50,  998, TS,
AL, 08, 2022092312, , MIWU, 0, 406N,  292W,  45, 1000, TS,
AL, 08, 2022092318, , MIWU, 0, 397N,  288W,  45, 1000, TS,
AL, 08, 2022092400, , MIWU, 0, 390N,  291W,  40, 1002, TS,
AL, 08, 2022092406, , MIWU, 0, 385N,  297W,  35, 1004, TS,
AL, 08, 2022092412, , MIWU, 0, 381N,  303W,  35, 1004, TS,
AL, 08, 2022092418, , MIWU, 0, 382N,  314W,  35, 1004, TS,
AL, 08, 2022092500, , MIWU, 0, 384N,  326W,  40, 1002, TS,
AL, 08, 2022092506, , MIWU, 0, 389N,  340W,  45, 1000, TS,
AL, 08, 2022092512, , MIWU, 0, 395N,  358W,  40, 1002, SS,
AL, 08, 2022092518, , MIWU, 0, 393N,  369W,  35, 1004, SS,
AL, 08, 2022092600, , MIWU, 0, 390N,  375W,  30, 1006, SD,
AL, 08, 2022092606, , MIWU, 0, 385N,  383W,  25, 1008, SD,
AL, 08, 2022092612, , MIWU, 0, 384N,  394W,  25, 1008, SD,
AL, 08, 2022092618, , MIWU, 0, 382N,  404W,  20, 1010, SD,
AL, 08, 2022092700, , MIWU, 0, 381N,  416W,  20, 1010, SD,
AL, 08, 2022092706, , MIWU, 0, 379N,  430W,  20, 1011, SD,
AL, 08, 2022092712, , MIWU, 0, 376N,  445W,  20, 1011, SD,
AL, 08, 2022092718, , MIWU, 0, 372N,  464W,  15, 1013, SD,
AL, 08, 2022092800, , MIWU, 0, 373N,  481W,  15, 1014, SD,
AL, 08, 2022092806, , MIWU, 0, 376N,  497W,  15, 1014, SD,
