AL, 11, 2022092618, , MIWU, 0, 139N,  358W,  20, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eleven-L,
AL, 11, 2022092700, , MIWU, 0, 137N,  356W,  20, 1009, DB,
AL, 11, 2022092706, , MIWU, 0, 138N,  352W,  20, 1009, DB,
AL, 11, 2022092712, , MIWU, 0, 140N,  349W,  20, 1009, DB,
AL, 11, 2022092718, , MIWU, 0, 142N,  345W,  25, 1007, TD,
AL, 11, 2022092800, , MIWU, 0, 146N,  342W,  35, 1003, TS,
AL, 11, 2022092806, , MIWU, 0, 151N,  342W,  35, 1002, TS,
AL, 11, 2022092812, , MIWU, 0, 157N,  343W,  35, 1002, TS,
AL, 11, 2022092818, , MIWU, 0, 163N,  345W,  30, 1004, TD,
AL, 11, 2022092900, , MIWU, 0, 169N,  350W,  30, 1004, TD,
AL, 11, 2022092906, , MIWU, 0, 175N,  358W,  30, 1003, TD,
AL, 11, 2022092912, , MIWU, 0, 182N,  369W,  25, 1005, LO,
AL, 11, 2022092918, , MIWU, 0, 189N,  375W,  25, 1006, LO,
AL, 11, 2022093000, , MIWU, 0, 193N,  381W,  20, 1008, LO,
AL, 11, 2022093006, , MIWU, 0, 197N,  389W,  15, 1010, LO,
AL, 11, 2022093012, , MIWU, 0, 200N,  396W,  10, 1012, LO,
