IO, 02, 2022050506, , MIWU, 0,  70N,  945E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Asani,
IO, 02, 2022050512, , MIWU, 0,  72N,  942E,  15, 1008, DB,
IO, 02, 2022050518, , MIWU, 0,  73N,  937E,  15, 1007, DB,
IO, 02, 2022050600, , MIWU, 0,  75N,  932E,  20, 1005, DB,
IO, 02, 2022050606, , MIWU, 0,  78N,  928E,  20, 1004, DB,
IO, 02, 2022050612, , MIWU, 0,  82N,  926E,  25, 1002, TD,
IO, 02, 2022050618, , MIWU, 0,  87N,  922E,  30, 1000, TD,
IO, 02, 2022050700, , MIWU, 0,  91N,  918E,  40,  994, TS,
IO, 02, 2022050706, , MIWU, 0,  95N,  912E,  45,  991, TS,
IO, 02, 2022050712, , MIWU, 0, 100N,  905E,  55,  985, TS,
IO, 02, 2022050718, , MIWU, 0, 104N,  899E,  65,  979, TY,
IO, 02, 2022050800, , MIWU, 0, 109N,  892E,  70,  976, TY,
IO, 02, 2022050806, , MIWU, 0, 113N,  884E,  65,  978, TY,
IO, 02, 2022050812, , MIWU, 0, 120N,  876E,  55,  982, TS,
IO, 02, 2022050818, , MIWU, 0, 128N,  870E,  55,  982, TS,
IO, 02, 2022050900, , MIWU, 0, 134N,  863E,  60,  979, TS,
IO, 02, 2022050906, , MIWU, 0, 140N,  856E,  65,  976, TY,
IO, 02, 2022050912, , MIWU, 0, 143N,  849E,  65,  976, TY,
IO, 02, 2022050918, , MIWU, 0, 146N,  843E,  65,  975, TY,
IO, 02, 2022051000, , MIWU, 0, 148N,  836E,  65,  975, TY,
IO, 02, 2022051006, , MIWU, 0, 150N,  830E,  65,  975, TY,
IO, 02, 2022051012, , MIWU, 0, 151N,  824E,  60,  977, TS,
IO, 02, 2022051018, , MIWU, 0, 152N,  819E,  50,  983, TS,
IO, 02, 2022051100, , MIWU, 0, 154N,  816E,  45,  986, TS,
IO, 02, 2022051106, , MIWU, 0, 157N,  814E,  40,  989, TS,
IO, 02, 2022051112, , MIWU, 0, 159N,  811E,  35,  992, TS,
IO, 02, 2022051118, , MIWU, 0, 158N,  808E,  35,  993, TS,
IO, 02, 2022051200, , MIWU, 0, 156N,  804E,  30,  995, TD,
IO, 02, 2022051206, , MIWU, 0, 153N,  802E,  25,  998, TD,
IO, 02, 2022051212, , MIWU, 0, 150N,  801E,  20, 1001, DB,
IO, 02, 2022051218, , MIWU, 0, 146N,  803E,  20, 1002, DB,
IO, 02, 2022051300, , MIWU, 0, 143N,  807E,  15, 1004, DB,
IO, 02, 2022051306, , MIWU, 0, 144N,  812E,  15, 1005, DB,
