IO, 05, 2022102106, , MIWU, 0, 123N,  954E,  20, 1003, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sitrang,
IO, 05, 2022102112, , MIWU, 0, 129N,  943E,  20, 1002, DB,
IO, 05, 2022102118, , MIWU, 0, 133N,  933E,  20, 1002, DB,
IO, 05, 2022102200, , MIWU, 0, 137N,  924E,  20, 1002, DB,
IO, 05, 2022102206, , MIWU, 0, 140N,  915E,  25, 1000, TD,
IO, 05, 2022102212, , MIWU, 0, 144N,  904E,  30,  998, TD,
IO, 05, 2022102218, , MIWU, 0, 149N,  893E,  30,  997, TD,
IO, 05, 2022102300, , MIWU, 0, 152N,  885E,  35,  994, TS,
IO, 05, 2022102306, , MIWU, 0, 156N,  880E,  35,  993, TS,
IO, 05, 2022102312, , MIWU, 0, 164N,  881E,  40,  990, TS,
IO, 05, 2022102318, , MIWU, 0, 173N,  885E,  45,  987, TS,
IO, 05, 2022102400, , MIWU, 0, 184N,  891E,  50,  984, TS,
IO, 05, 2022102406, , MIWU, 0, 196N,  897E,  50,  983, TS,
IO, 05, 2022102412, , MIWU, 0, 213N,  902E,  45,  987, TS,
IO, 05, 2022102418, , MIWU, 0, 237N,  907E,  40,  991, TS,
IO, 05, 2022102500, , MIWU, 0, 249N,  910E,  30,  997, TD,
IO, 05, 2022102506, , MIWU, 0, 254N,  914E,  20, 1002, DB,
IO, 05, 2022102512, , MIWU, 0, 256N,  919E,  15, 1004, DB,
