IO, 07, 2022121206, , MIWU, 0, 118N,  752E,  15, 1000, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seven-A,
IO, 07, 2022121212, , MIWU, 0, 120N,  746E,  15, 1009, DB,
IO, 07, 2022121218, , MIWU, 0, 123N,  738E,  25, 1005, TD,
IO, 07, 2022121300, , MIWU, 0, 125N,  731E,  30, 1003, TD,
IO, 07, 2022121306, , MIWU, 0, 127N,  726E,  35, 1001, TS,
IO, 07, 2022121312, , MIWU, 0, 129N,  720E,  50,  995, TS,
IO, 07, 2022121318, , MIWU, 0, 132N,  714E,  55,  993, TS,
IO, 07, 2022121400, , MIWU, 0, 134N,  707E,  60,  991, TS,
IO, 07, 2022121406, , MIWU, 0, 136N,  700E,  65,  989, TY,
IO, 07, 2022121412, , MIWU, 0, 138N,  694E,  65,  990, TY,
IO, 07, 2022121418, , MIWU, 0, 138N,  687E,  60,  992, TS,
IO, 07, 2022121500, , MIWU, 0, 138N,  679E,  65,  989, TY,
IO, 07, 2022121506, , MIWU, 0, 138N,  672E,  55,  993, TS,
IO, 07, 2022121512, , MIWU, 0, 139N,  664E,  50,  995, TS,
IO, 07, 2022121518, , MIWU, 0, 138N,  657E,  45,  997, TS,
IO, 07, 2022121600, , MIWU, 0, 137N,  650E,  45,  997, TS,
IO, 07, 2022121606, , MIWU, 0, 138N,  643E,  40,  999, TS,
IO, 07, 2022121612, , MIWU, 0, 140N,  636E,  35, 1001, TS,
IO, 07, 2022121618, , MIWU, 0, 140N,  629E,  30, 1003, TD,
IO, 07, 2022121700, , MIWU, 0, 140N,  622E,  30, 1003, TD,
IO, 07, 2022121706, , MIWU, 0, 139N,  615E,  30, 1002, TD,
IO, 07, 2022121712, , MIWU, 0, 138N,  606E,  30, 1002, TD,
IO, 07, 2022121718, , MIWU, 0, 137N,  596E,  35, 1000, TS,
IO, 07, 2022121800, , MIWU, 0, 136N,  585E,  35, 1000, TS,
IO, 07, 2022121806, , MIWU, 0, 133N,  574E,  30, 1002, TD,
IO, 07, 2022121812, , MIWU, 0, 128N,  563E,  25, 1004, TD,
IO, 07, 2022121818, , MIWU, 0, 120N,  553E,  25, 1005, TD,
IO, 07, 2022121900, , MIWU, 0, 114N,  545E,  20, 1007, DB,
IO, 07, 2022121906, , MIWU, 0, 108N,  537E,  15, 1009, DB,
IO, 07, 2022121912, , MIWU, 0, 101N,  531E,  15, 1009, DB,
