SH, 01, 2021111918,   , MIWU, 0, 107S, 1053E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Paddy,
SH, 01, 2021112000,   , MIWU, 0, 107S, 1050E,  20, 1006, DB,
SH, 01, 2021112006,   , MIWU, 0, 108S, 1048E,  20, 1005, DB,
SH, 01, 2021112012,   , MIWU, 0, 109S, 1049E,  20, 1005, DB,
SH, 01, 2021112018,   , MIWU, 0, 111S, 1051E,  30, 1001, TD,
SH, 01, 2021112100,   , MIWU, 0, 113S, 1056E,  40,  997, TS,
SH, 01, 2021112106,   , MIWU, 0, 116S, 1062E,  45,  995, TS,
SH, 01, 2021112112,   , MIWU, 0, 120S, 1070E,  45,  994, TS,
SH, 01, 2021112118,   , MIWU, 0, 124S, 1077E,  50,  992, TS,
SH, 01, 2021112200,   , MIWU, 0, 129S, 1080E,  55,  990, TS,
SH, 01, 2021112206,   , MIWU, 0, 133S, 1082E,  50,  992, TS,
SH, 01, 2021112212,   , MIWU, 0, 135S, 1081E,  45,  994, TS,
SH, 01, 2021112218,   , MIWU, 0, 137S, 1079E,  40,  996, TS,
SH, 01, 2021112300,   , MIWU, 0, 136S, 1076E,  35,  998, TS,
SH, 01, 2021112306,   , MIWU, 0, 137S, 1072E,  35,  998, TS,
SH, 01, 2021112312,   , MIWU, 0, 139S, 1069E,  40,  996, TS,
SH, 01, 2021112318,   , MIWU, 0, 141S, 1066E,  45,  994, TS,
SH, 01, 2021112400,   , MIWU, 0, 142S, 1062E,  45,  993, TS,
SH, 01, 2021112406,   , MIWU, 0, 143S, 1059E,  40,  995, TS,
SH, 01, 2021112412,   , MIWU, 0, 144S, 1055E,  30,  999, TD,
SH, 01, 2021112418,   , MIWU, 0, 143S, 1050E,  25, 1001, TD,
SH, 01, 2021112500,   , MIWU, 0, 142S, 1043E,  20, 1003, DB,
SH, 01, 2021112506,   , MIWU, 0, 144S, 1034E,  20, 1004, DB,
SH, 01, 2021112512,   , MIWU, 0, 147S, 1026E,  15, 1006, DB,
SH, 01, 2021112518,   , MIWU, 0, 150S, 1017E,  15, 1006, DB,
SH, 01, 2021112600,   , MIWU, 0, 152S, 1006E,  15, 1007, DB,
SH, 01, 2021112606,   , MIWU, 0, 153S,  994E,  15, 1007, DB,
