SH, 04, 2021122906,   , MIWU, 0, 160S, 1419E,  20, 1005, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seth,
SH, 04, 2021122912,   , MIWU, 0, 163S, 1436E,  20, 1005, DB,
SH, 04, 2021122918,   , MIWU, 0, 166S, 1456E,  25, 1003, TD,
SH, 04, 2021123000,   , MIWU, 0, 171S, 1474E,  25, 1002, TD,
SH, 04, 2021123006,   , MIWU, 0, 176S, 1488E,  30, 1000, TD,
SH, 04, 2021123012,   , MIWU, 0, 181S, 1504E,  30,  999, TD,
SH, 04, 2021123018,   , MIWU, 0, 185S, 1517E,  40,  995, TS,
SH, 04, 2021123100,   , MIWU, 0, 191S, 1530E,  50,  991, TS,
SH, 04, 2021123106,   , MIWU, 0, 198S, 1541E,  65,  985, TY,
SH, 04, 2021123112,   , MIWU, 0, 203S, 1552E,  65,  986, TY,
SH, 04, 2021123118,   , MIWU, 0, 209S, 1562E,  60,  988, TS,
SH, 04, 2022010100,   , MIWU, 0, 213S, 1570E,  50,  992, TS,
SH, 04, 2022010106,   , MIWU, 0, 217S, 1575E,  40,  996, TS,
SH, 04, 2022010112,   , MIWU, 0, 224S, 1580E,  35,  998, SS,
SH, 04, 2022010118,   , MIWU, 0, 238S, 1585E,  35,  998, SS,
SH, 04, 2022010200,   , MIWU, 0, 251S, 1586E,  40,  996, SS,
SH, 04, 2022010206,   , MIWU, 0, 263S, 1584E,  40,  995, SS,
SH, 04, 2022010212,   , MIWU, 0, 271S, 1582E,  40,  995, SS,
SH, 04, 2022010218,   , MIWU, 0, 276S, 1578E,  35,  997, SS,
SH, 04, 2022010300,   , MIWU, 0, 279S, 1574E,  30,  999, SD,
SH, 04, 2022010306,   , MIWU, 0, 280S, 1572E,  30, 1000, SD,
SH, 04, 2022010312,   , MIWU, 0, 282S, 1570E,  30, 1000, SD,
SH, 04, 2022010318,   , MIWU, 0, 281S, 1565E,  25, 1002, SD,
SH, 04, 2022010400,   , MIWU, 0, 277S, 1560E,  25, 1002, SD,
SH, 04, 2022010406,   , MIWU, 0, 269S, 1562E,  25, 1003, SD,
SH, 04, 2022010412,   , MIWU, 0, 262S, 1563E,  25, 1003, SD,
SH, 04, 2022010418,   , MIWU, 0, 258S, 1561E,  20, 1005, SD,
SH, 04, 2022010500,   , MIWU, 0, 255S, 1558E,  20, 1005, SD,
SH, 04, 2022010506,   , MIWU, 0, 253S, 1555E,  20, 1005, SD,
SH, 04, 2022010512,   , MIWU, 0, 252S, 1553E,  20, 1006, SD,
SH, 04, 2022010518,   , MIWU, 0, 252S, 1548E,  20, 1006, SD,
SH, 04, 2022010600,   , MIWU, 0, 252S, 1543E,  20, 1006, SD,
SH, 04, 2022010606,   , MIWU, 0, 253S, 1536E,  20, 1006, SD,
SH, 04, 2022010612,   , MIWU, 0, 255S, 1532E,  20, 1006, SD,
SH, 04, 2022010618,   , MIWU, 0, 257S, 1530E,  15, 1008, SD,
SH, 04, 2022010700,   , MIWU, 0, 260S, 1529E,  15, 1008, SD,
SH, 04, 2022010706,   , MIWU, 0, 264S, 1528E,  15, 1009, SD,
