SH, 11, 2022020700,   , MIWU, 0, 196S, 1660E,  25,  998, LO,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dovi,
SH, 11, 2022020706,   , MIWU, 0, 197S, 1664E,  25,  998, LO,
SH, 11, 2022020712,   , MIWU, 0, 196S, 1669E,  25,  997, LO,
SH, 11, 2022020718,   , MIWU, 0, 195S, 1673E,  25,  997, TD,
SH, 11, 2022020800,   , MIWU, 0, 195S, 1677E,  25,  997, TD,
SH, 11, 2022020806,   , MIWU, 0, 195S, 1679E,  30,  995, TD,
SH, 11, 2022020812,   , MIWU, 0, 194S, 1682E,  30,  994, TD,
SH, 11, 2022020818,   , MIWU, 0, 192S, 1686E,  35,  992, TS,
SH, 11, 2022020900,   , MIWU, 0, 193S, 1690E,  40,  990, TS,
SH, 11, 2022020906,   , MIWU, 0, 195S, 1692E,  50,  986, TS,
SH, 11, 2022020912,   , MIWU, 0, 199S, 1692E,  55,  983, TS,
SH, 11, 2022020918,   , MIWU, 0, 204S, 1691E,  60,  980, TS,
SH, 11, 2022021000,   , MIWU, 0, 214S, 1688E,  65,  977, TY,
SH, 11, 2022021006,   , MIWU, 0, 223S, 1680E,  70,  974, TY,
SH, 11, 2022021012,   , MIWU, 0, 230S, 1667E,  80,  968, TY,
SH, 11, 2022021018,   , MIWU, 0, 240S, 1663E,  90,  962, TY,
SH, 11, 2022021100,   , MIWU, 0, 252S, 1660E, 100,  956, TY,
SH, 11, 2022021106,   , MIWU, 0, 267S, 1662E,  95,  958, TY,
SH, 11, 2022021112,   , MIWU, 0, 294S, 1663E,  85,  962, TY,
SH, 11, 2022021118,   , MIWU, 0, 318S, 1662E,  70,  968, TY,
SH, 11, 2022021200,   , MIWU, 0, 335S, 1665E,  60,  972, EX,
SH, 11, 2022021206,   , MIWU, 0, 348S, 1678E,  55,  974, EX,
SH, 11, 2022021212,   , MIWU, 0, 360S, 1710E,  50,  977, EX,
SH, 11, 2022021218,   , MIWU, 0, 377S, 1740E,  40,  983, EX,
SH, 11, 2022021300,   , MIWU, 0, 396S, 1773E,  30,  989, EX,
SH, 11, 2022021306,   , MIWU, 0, 405S, 1792W,  20,  995, EX,
