SH, 15, 2022022318,   , MIWU, 0, 125S, 1287E,  20, 1002, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Anika,
SH, 15, 2022022400,   , MIWU, 0, 128S, 1285E,  25, 1000, TD,
SH, 15, 2022022406,   , MIWU, 0, 131S, 1283E,  30,  998, TD,
SH, 15, 2022022412,   , MIWU, 0, 130S, 1281E,  35,  996, TS,
SH, 15, 2022022418,   , MIWU, 0, 128S, 1278E,  40,  994, TS,
SH, 15, 2022022500,   , MIWU, 0, 124S, 1279E,  50,  990, TS,
SH, 15, 2022022506,   , MIWU, 0, 124S, 1278E,  50,  989, TS,
SH, 15, 2022022512,   , MIWU, 0, 125S, 1277E,  55,  987, TS,
SH, 15, 2022022518,   , MIWU, 0, 127S, 1276E,  60,  985, TS,
SH, 15, 2022022600,   , MIWU, 0, 130S, 1274E,  60,  984, TS,
SH, 15, 2022022606,   , MIWU, 0, 133S, 1271E,  65,  982, TY,
SH, 15, 2022022612,   , MIWU, 0, 137S, 1269E,  65,  981, TY,
SH, 15, 2022022618,   , MIWU, 0, 141S, 1268E,  55,  985, TS,
SH, 15, 2022022700,   , MIWU, 0, 145S, 1266E,  40,  991, TS,
SH, 15, 2022022706,   , MIWU, 0, 149S, 1263E,  30,  995, TD,
SH, 15, 2022022712,   , MIWU, 0, 153S, 1261E,  30,  995, TD,
SH, 15, 2022022718,   , MIWU, 0, 157S, 1257E,  30,  994, TD,
SH, 15, 2022022800,   , MIWU, 0, 160S, 1253E,  30,  994, TD,
SH, 15, 2022022806,   , MIWU, 0, 164S, 1249E,  30,  994, TD,
SH, 15, 2022022812,   , MIWU, 0, 169S, 1244E,  30,  994, TD,
SH, 15, 2022022818,   , MIWU, 0, 173S, 1239E,  30,  993, TD,
SH, 15, 2022030100,   , MIWU, 0, 175S, 1232E,  30,  993, TD,
SH, 15, 2022030106,   , MIWU, 0, 177S, 1226E,  35,  990, TS,
SH, 15, 2022030112,   , MIWU, 0, 179S, 1220E,  35,  990, TS,
SH, 15, 2022030118,   , MIWU, 0, 182S, 1214E,  40,  987, TS,
SH, 15, 2022030200,   , MIWU, 0, 188S, 1209E,  50,  981, TS,
SH, 15, 2022030206,   , MIWU, 0, 194S, 1206E,  60,  975, TS,
SH, 15, 2022030212,   , MIWU, 0, 199S, 1206E,  65,  972, TY,
SH, 15, 2022030218,   , MIWU, 0, 203S, 1208E,  65,  973, TY,
SH, 15, 2022030300,   , MIWU, 0, 209S, 1213E,  55,  979, TS,
SH, 15, 2022030306,   , MIWU, 0, 220S, 1220E,  45,  985, TS,
SH, 15, 2022030312,   , MIWU, 0, 230S, 1228E,  35,  991, TS,
SH, 15, 2022030318,   , MIWU, 0, 236S, 1234E,  25,  997, TD,
SH, 15, 2022030400,   , MIWU, 0, 242S, 1242E,  20, 1000, DB,
SH, 15, 2022030406,   , MIWU, 0, 250S, 1252E,  15, 1003, DB,
