SH, 16, 2022022406,   , MIWU, 0, 130S,  878E,  15, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Sixteen-S,
SH, 16, 2022022412,   , MIWU, 0, 128S,  880E,  20, 1006, DB,
SH, 16, 2022022418,   , MIWU, 0, 125S,  882E,  25, 1004, TD,
SH, 16, 2022022500,   , MIWU, 0, 121S,  883E,  35, 1000, TS,
SH, 16, 2022022506,   , MIWU, 0, 118S,  882E,  45,  996, TS,
SH, 16, 2022022512,   , MIWU, 0, 114S,  885E,  45,  995, TS,
SH, 16, 2022022518,   , MIWU, 0, 111S,  889E,  50,  993, TS,
SH, 16, 2022022600,   , MIWU, 0, 112S,  896E,  55,  991, TS,
SH, 16, 2022022606,   , MIWU, 0, 115S,  906E,  55,  992, TS,
SH, 16, 2022022612,   , MIWU, 0, 121S,  914E,  45,  996, TS,
SH, 16, 2022022618,   , MIWU, 0, 130S,  915E,  40,  998, TS,
SH, 16, 2022022700,   , MIWU, 0, 140S,  910E,  35, 1000, TS,
SH, 16, 2022022706,   , MIWU, 0, 144S,  898E,  35, 1001, TS,
SH, 16, 2022022712,   , MIWU, 0, 142S,  885E,  30, 1003, TD,
SH, 16, 2022022718,   , MIWU, 0, 139S,  876E,  20, 1007, DB,
