SH, 17, 2022022700,   , MIWU, 0, 104S, 1076E,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Seventeen-S,
SH, 17, 2022022706,   , MIWU, 0, 102S, 1079E,  20, 1010, DB,
SH, 17, 2022022712,   , MIWU, 0, 101S, 1081E,  25, 1008, TD,
SH, 17, 2022022718,   , MIWU, 0, 101S, 1083E,  30, 1006, TD,
SH, 17, 2022022800,   , MIWU, 0, 102S, 1086E,  40, 1002, TS,
SH, 17, 2022022806,   , MIWU, 0, 104S, 1090E,  45, 1000, TS,
SH, 17, 2022022812,   , MIWU, 0, 105S, 1097E,  45,  999, TS,
SH, 17, 2022022818,   , MIWU, 0, 106S, 1103E,  40, 1001, TS,
SH, 17, 2022030100,   , MIWU, 0, 106S, 1104E,  35, 1003, TS,
SH, 17, 2022030106,   , MIWU, 0, 107S, 1105E,  35, 1002, TS,
SH, 17, 2022030112,   , MIWU, 0, 109S, 1106E,  45,  998, TS,
SH, 17, 2022030118,   , MIWU, 0, 109S, 1108E,  45,  998, TS,
SH, 17, 2022030200,   , MIWU, 0, 108S, 1110E,  45,  998, TS,
SH, 17, 2022030206,   , MIWU, 0, 106S, 1111E,  40, 1000, TS,
SH, 17, 2022030212,   , MIWU, 0, 103S, 1113E,  30, 1004, TD,
SH, 17, 2022030218,   , MIWU, 0, 101S, 1116E,  25, 1006, TD,
SH, 17, 2022030300,   , MIWU, 0, 101S, 1120E,  25, 1006, TD,
SH, 17, 2022030306,   , MIWU, 0, 103S, 1125E,  25, 1006, TD,
SH, 17, 2022030312,   , MIWU, 0, 107S, 1129E,  20, 1008, DB,
SH, 17, 2022030318,   , MIWU, 0, 112S, 1134E,  20, 1009, DB,
SH, 17, 2022030400,   , MIWU, 0, 118S, 1138E,  20, 1009, DB,
SH, 17, 2022030406,   , MIWU, 0, 127S, 1140E,  15, 1011, DB,
