SH, 18, 2022022800,   , MIWU, 0, 203S, 1670E,  20, 1002, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eva,
SH, 18, 2022022806,   , MIWU, 0, 208S, 1672E,  20, 1001, DB,
SH, 18, 2022022812,   , MIWU, 0, 213S, 1674E,  20, 1001, DB,
SH, 18, 2022022818,   , MIWU, 0, 220S, 1675E,  25,  999, TD,
SH, 18, 2022030100,   , MIWU, 0, 226S, 1677E,  25,  998, TD,
SH, 18, 2022030106,   , MIWU, 0, 232S, 1680E,  25,  998, TD,
SH, 18, 2022030112,   , MIWU, 0, 237S, 1684E,  30,  995, TD,
SH, 18, 2022030118,   , MIWU, 0, 241S, 1690E,  35,  992, TS,
SH, 18, 2022030200,   , MIWU, 0, 246S, 1696E,  40,  989, TS,
SH, 18, 2022030206,   , MIWU, 0, 250S, 1706E,  50,  983, TS,
SH, 18, 2022030212,   , MIWU, 0, 252S, 1718E,  50,  983, TS,
SH, 18, 2022030218,   , MIWU, 0, 254S, 1727E,  45,  985, TS,
SH, 18, 2022030300,   , MIWU, 0, 256S, 1737E,  45,  985, TS,
SH, 18, 2022030306,   , MIWU, 0, 259S, 1746E,  45,  984, TS,
SH, 18, 2022030312,   , MIWU, 0, 261S, 1748E,  45,  984, TS,
SH, 18, 2022030318,   , MIWU, 0, 260S, 1745E,  45,  983, TS,
SH, 18, 2022030400,   , MIWU, 0, 257S, 1743E,  45,  983, SS,
SH, 18, 2022030406,   , MIWU, 0, 254S, 1747E,  45,  983, SS,
SH, 18, 2022030412,   , MIWU, 0, 255S, 1753E,  40,  985, SS,
SH, 18, 2022030418,   , MIWU, 0, 258S, 1758E,  35,  987, SS,
SH, 18, 2022030500,   , MIWU, 0, 257S, 1752E,  30,  989, SD,
SH, 18, 2022030506,   , MIWU, 0, 255S, 1745E,  30,  989, SD,
SH, 18, 2022030512,   , MIWU, 0, 256S, 1741E,  30,  990, SD,
SH, 18, 2022030518,   , MIWU, 0, 258S, 1738E,  25,  992, SD,
SH, 18, 2022030600,   , MIWU, 0, 261S, 1731E,  25,  992, SD,
SH, 18, 2022030606,   , MIWU, 0, 264S, 1722E,  25,  993, SD,
SH, 18, 2022030612,   , MIWU, 0, 269S, 1712E,  25,  993, SD,
SH, 18, 2022030618,   , MIWU, 0, 273S, 1703E,  25,  993, SD,
SH, 18, 2022030700,   , MIWU, 0, 277S, 1696E,  25,  993, SD,
SH, 18, 2022030706,   , MIWU, 0, 283S, 1690E,  20,  995, SD,
SH, 18, 2022030712,   , MIWU, 0, 288S, 1685E,  20,  995, SD,
SH, 18, 2022030718,   , MIWU, 0, 294S, 1686E,  20,  996, SD,
SH, 18, 2022030800,   , MIWU, 0, 300S, 1689E,  20, 1000, SD,
