SH, 22, 2022032018,   , MIWU, 0, 101S,  867E,  20, 1008, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Halima,
SH, 22, 2022032100,   , MIWU, 0, 104S,  857E,  20, 1007, DB,
SH, 22, 2022032106,   , MIWU, 0, 107S,  848E,  20, 1007, DB,
SH, 22, 2022032112,   , MIWU, 0, 109S,  837E,  20, 1007, DB,
SH, 22, 2022032118,   , MIWU, 0, 112S,  826E,  25, 1005, TD,
SH, 22, 2022032200,   , MIWU, 0, 116S,  815E,  25, 1005, TD,
SH, 22, 2022032206,   , MIWU, 0, 120S,  805E,  30, 1003, TD,
SH, 22, 2022032212,   , MIWU, 0, 123S,  796E,  30, 1002, TD,
SH, 22, 2022032218,   , MIWU, 0, 127S,  786E,  35, 1000, TS,
SH, 22, 2022032300,   , MIWU, 0, 127S,  777E,  45,  996, TS,
SH, 22, 2022032306,   , MIWU, 0, 126S,  770E,  50,  993, TS,
SH, 22, 2022032312,   , MIWU, 0, 125S,  764E,  55,  990, TS,
SH, 22, 2022032318,   , MIWU, 0, 126S,  758E,  65,  984, TY,
SH, 22, 2022032400,   , MIWU, 0, 128S,  754E,  75,  976, TY,
SH, 22, 2022032406,   , MIWU, 0, 130S,  749E,  85,  968, TY,
SH, 22, 2022032412,   , MIWU, 0, 133S,  745E,  95,  960, TY,
SH, 22, 2022032418,   , MIWU, 0, 135S,  742E, 100,  955, TY,
SH, 22, 2022032500,   , MIWU, 0, 137S,  739E, 110,  945, TY,
SH, 22, 2022032506,   , MIWU, 0, 138S,  737E, 125,  931, TY,
SH, 22, 2022032512,   , MIWU, 0, 141S,  735E, 130,  927, ST,
SH, 22, 2022032518,   , MIWU, 0, 146S,  736E, 120,  934, TY,
SH, 22, 2022032600,   , MIWU, 0, 154S,  738E, 105,  946, TY,
SH, 22, 2022032606,   , MIWU, 0, 163S,  741E,  85,  962, TY,
SH, 22, 2022032612,   , MIWU, 0, 173S,  746E,  70,  974, TY,
SH, 22, 2022032618,   , MIWU, 0, 184S,  752E,  60,  982, TS,
SH, 22, 2022032700,   , MIWU, 0, 196S,  760E,  60,  984, TS,
SH, 22, 2022032706,   , MIWU, 0, 204S,  772E,  60,  984, TS,
SH, 22, 2022032712,   , MIWU, 0, 208S,  782E,  55,  987, TS,
SH, 22, 2022032718,   , MIWU, 0, 212S,  792E,  55,  987, TS,
SH, 22, 2022032800,   , MIWU, 0, 216S,  799E,  50,  990, TS,
SH, 22, 2022032806,   , MIWU, 0, 221S,  805E,  50,  990, TS,
SH, 22, 2022032812,   , MIWU, 0, 222S,  812E,  50,  989, TS,
SH, 22, 2022032818,   , MIWU, 0, 221S,  818E,  50,  989, TS,
SH, 22, 2022032900,   , MIWU, 0, 219S,  823E,  55,  987, TS,
SH, 22, 2022032906,   , MIWU, 0, 216S,  824E,  60,  985, TS,
SH, 22, 2022032912,   , MIWU, 0, 213S,  823E,  55,  987, TS,
SH, 22, 2022032918,   , MIWU, 0, 209S,  822E,  55,  987, TS,
SH, 22, 2022033000,   , MIWU, 0, 203S,  822E,  50,  989, TS,
SH, 22, 2022033006,   , MIWU, 0, 198S,  822E,  45,  991, TS,
SH, 22, 2022033012,   , MIWU, 0, 196S,  824E,  45,  990, TS,
SH, 22, 2022033018,   , MIWU, 0, 195S,  827E,  50,  988, TS,
SH, 22, 2022033100,   , MIWU, 0, 195S,  832E,  50,  988, TS,
SH, 22, 2022033106,   , MIWU, 0, 196S,  836E,  55,  986, TS,
SH, 22, 2022033112,   , MIWU, 0, 197S,  840E,  55,  986, TS,
SH, 22, 2022033118,   , MIWU, 0, 196S,  843E,  55,  985, TS,
SH, 22, 2022040100,   , MIWU, 0, 195S,  845E,  50,  988, TS,
SH, 22, 2022040106,   , MIWU, 0, 194S,  847E,  40,  994, TS,
SH, 22, 2022040112,   , MIWU, 0, 192S,  848E,  40,  995, TS,
SH, 22, 2022040118,   , MIWU, 0, 190S,  846E,  40,  995, TS,
SH, 22, 2022040200,   , MIWU, 0, 188S,  847E,  45,  993, TS,
SH, 22, 2022040206,   , MIWU, 0, 187S,  847E,  45,  994, TS,
SH, 22, 2022040212,   , MIWU, 0, 187S,  846E,  40,  997, TS,
SH, 22, 2022040218,   , MIWU, 0, 188S,  843E,  35, 1000, TS,
SH, 22, 2022040300,   , MIWU, 0, 190S,  837E,  30, 1002, TD,
SH, 22, 2022040306,   , MIWU, 0, 191S,  830E,  30, 1003, TD,
SH, 22, 2022040312,   , MIWU, 0, 189S,  820E,  25, 1005, TD,
SH, 22, 2022040318,   , MIWU, 0, 185S,  811E,  20, 1007, DB,
SH, 22, 2022040400,   , MIWU, 0, 183S,  804E,  20, 1008, DB,
SH, 22, 2022040406,   , MIWU, 0, 184S,  800E,  15, 1010, DB,
SH, 22, 2022040412,   , MIWU, 0, 186S,  796E,  15, 1011, DB,
SH, 22, 2022040418,   , MIWU, 0, 189S,  793E,  15, 1011, DB,
