SH, 23, 2022040212,   , MIWU, 0, 143S, 1645E,  15, 1009, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fili,
SH, 23, 2022040218,   , MIWU, 0, 148S, 1647E,  20, 1007, DB,
SH, 23, 2022040300,   , MIWU, 0, 152S, 1650E,  20, 1006, DB,
SH, 23, 2022040306,   , MIWU, 0, 155S, 1649E,  20, 1006, DB,
SH, 23, 2022040312,   , MIWU, 0, 158S, 1647E,  25, 1004, TD,
SH, 23, 2022040318,   , MIWU, 0, 159S, 1642E,  30, 1002, TD,
SH, 23, 2022040400,   , MIWU, 0, 161S, 1636E,  35, 1000, TS,
SH, 23, 2022040406,   , MIWU, 0, 165S, 1630E,  40,  997, TS,
SH, 23, 2022040412,   , MIWU, 0, 170S, 1624E,  45,  994, TS,
SH, 23, 2022040418,   , MIWU, 0, 174S, 1617E,  50,  991, TS,
SH, 23, 2022040500,   , MIWU, 0, 178S, 1611E,  50,  991, TS,
SH, 23, 2022040506,   , MIWU, 0, 182S, 1608E,  50,  991, TS,
SH, 23, 2022040512,   , MIWU, 0, 184S, 1612E,  50,  990, TS,
SH, 23, 2022040518,   , MIWU, 0, 188S, 1617E,  60,  984, TS,
SH, 23, 2022040600,   , MIWU, 0, 192S, 1622E,  65,  981, TY,
SH, 23, 2022040606,   , MIWU, 0, 197S, 1628E,  60,  983, TS,
SH, 23, 2022040612,   , MIWU, 0, 205S, 1635E,  55,  985, TS,
SH, 23, 2022040618,   , MIWU, 0, 214S, 1641E,  65,  979, TY,
SH, 23, 2022040700,   , MIWU, 0, 224S, 1643E,  60,  984, TS,
SH, 23, 2022040706,   , MIWU, 0, 232S, 1646E,  50,  988, TS,
SH, 23, 2022040712,   , MIWU, 0, 239S, 1650E,  45,  990, TS,
SH, 23, 2022040718,   , MIWU, 0, 246S, 1654E,  45,  991, TS,
SH, 23, 2022040800,   , MIWU, 0, 254S, 1658E,  40,  993, TS,
SH, 23, 2022040806,   , MIWU, 0, 258S, 1663E,  40,  993, SS,
SH, 23, 2022040812,   , MIWU, 0, 260S, 1670E,  45,  991, SS,
SH, 23, 2022040818,   , MIWU, 0, 260S, 1677E,  45,  991, SS,
SH, 23, 2022040900,   , MIWU, 0, 258S, 1684E,  40,  993, SS,
SH, 23, 2022040906,   , MIWU, 0, 257S, 1691E,  40,  994, SS,
SH, 23, 2022040912,   , MIWU, 0, 255S, 1698E,  35,  996, SS,
SH, 23, 2022040918,   , MIWU, 0, 254S, 1696E,  35,  997, SS,
SH, 23, 2022041000,   , MIWU, 0, 253S, 1691E,  35,  997, SS,
SH, 23, 2022041006,   , MIWU, 0, 253S, 1685E,  30,  999, SD,
SH, 23, 2022041012,   , MIWU, 0, 254S, 1682E,  30, 1000, SD,
SH, 23, 2022041018,   , MIWU, 0, 257S, 1684E,  25, 1002, SD,
SH, 23, 2022041100,   , MIWU, 0, 262S, 1687E,  25, 1003, SD,
SH, 23, 2022041106,   , MIWU, 0, 268S, 1693E,  20, 1005, SD,
