SH, 24, 2022042106,   , MIWU, 0, 125S,  479E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jasmine,
SH, 24, 2022042112,   , MIWU, 0, 126S,  467E,  20, 1006, DB,
SH, 24, 2022042118,   , MIWU, 0, 127S,  456E,  20, 1006, DB,
SH, 24, 2022042200,   , MIWU, 0, 129S,  445E,  20, 1005, DB,
SH, 24, 2022042206,   , MIWU, 0, 132S,  436E,  25, 1003, TD,
SH, 24, 2022042212,   , MIWU, 0, 136S,  429E,  30, 1001, TD,
SH, 24, 2022042218,   , MIWU, 0, 140S,  422E,  30, 1000, TD,
SH, 24, 2022042300,   , MIWU, 0, 145S,  414E,  30, 1000, TD,
SH, 24, 2022042306,   , MIWU, 0, 152S,  408E,  35,  998, TS,
SH, 24, 2022042312,   , MIWU, 0, 160S,  402E,  35,  998, TS,
SH, 24, 2022042318,   , MIWU, 0, 166S,  399E,  40,  996, TS,
SH, 24, 2022042400,   , MIWU, 0, 172S,  396E,  40,  995, TS,
SH, 24, 2022042406,   , MIWU, 0, 179S,  394E,  40,  995, TS,
SH, 24, 2022042412,   , MIWU, 0, 184S,  393E,  45,  992, TS,
SH, 24, 2022042418,   , MIWU, 0, 190S,  395E,  55,  985, TS,
SH, 24, 2022042500,   , MIWU, 0, 197S,  398E,  65,  977, TY,
SH, 24, 2022042506,   , MIWU, 0, 204S,  403E,  75,  970, TY,
SH, 24, 2022042512,   , MIWU, 0, 211S,  408E,  70,  973, TY,
SH, 24, 2022042518,   , MIWU, 0, 219S,  412E,  70,  974, TY,
SH, 24, 2022042600,   , MIWU, 0, 226S,  416E,  65,  976, TY,
SH, 24, 2022042606,   , MIWU, 0, 231S,  425E,  60,  979, TS,
SH, 24, 2022042612,   , MIWU, 0, 234S,  436E,  60,  980, TS,
SH, 24, 2022042618,   , MIWU, 0, 238S,  449E,  50,  988, TS,
SH, 24, 2022042700,   , MIWU, 0, 240S,  463E,  30,  998, TD,
SH, 24, 2022042706,   , MIWU, 0, 239S,  480E,  20, 1004, DB,
SH, 24, 2022042712,   , MIWU, 0, 237S,  496E,  20, 1003, DB,
SH, 24, 2022042718,   , MIWU, 0, 234S,  509E,  20, 1003, DB,
SH, 24, 2022042800,   , MIWU, 0, 230S,  522E,  25, 1001, TD,
SH, 24, 2022042806,   , MIWU, 0, 222S,  527E,  25, 1000, TD,
SH, 24, 2022042812,   , MIWU, 0, 214S,  530E,  25, 1000, TD,
SH, 24, 2022042818,   , MIWU, 0, 209S,  531E,  30,  998, TD,
SH, 24, 2022042900,   , MIWU, 0, 208S,  532E,  30,  997, TD,
SH, 24, 2022042906,   , MIWU, 0, 208S,  531E,  25,  999, TD,
SH, 24, 2022042912,   , MIWU, 0, 210S,  528E,  25,  999, TD,
SH, 24, 2022042918,   , MIWU, 0, 213S,  525E,  25, 1000, TD,
SH, 24, 2022043000,   , MIWU, 0, 217S,  521E,  25, 1000, TD,
SH, 24, 2022043006,   , MIWU, 0, 224S,  516E,  20, 1002, DB,
SH, 24, 2022043012,   , MIWU, 0, 234S,  510E,  20, 1002, DB,
SH, 24, 2022043018,   , MIWU, 0, 246S,  509E,  20, 1002, DB,
SH, 24, 2022050100,   , MIWU, 0, 262S,  511E,  15, 1004, DB,
SH, 24, 2022050106,   , MIWU, 0, 280S,  520E,  15, 1004, DB,
SH, 24, 2022050112,   , MIWU, 0, 295S,  534E,  15, 1005, DB,
SH, 24, 2022050118,   , MIWU, 0, 310S,  550E,  15, 1005, DB,
