SH, 27, 2022042200,   , MIWU, 0, 106S, 1045E,  15, 1007, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentySeven-S,
SH, 27, 2022042206,   , MIWU, 0, 110S, 1039E,  15, 1007, DB,
SH, 27, 2022042212,   , MIWU, 0, 113S, 1033E,  20, 1005, DB,
SH, 27, 2022042218,   , MIWU, 0, 115S, 1028E,  25, 1003, TD,
SH, 27, 2022042300,   , MIWU, 0, 117S, 1023E,  30, 1001, TD,
SH, 27, 2022042306,   , MIWU, 0, 120S, 1020E,  35,  999, TS,
SH, 27, 2022042312,   , MIWU, 0, 123S, 1016E,  35,  999, TS,
SH, 27, 2022042318,   , MIWU, 0, 124S, 1011E,  35,  999, TS,
SH, 27, 2022042400,   , MIWU, 0, 125S, 1007E,  35,  998, TS,
SH, 27, 2022042406,   , MIWU, 0, 128S, 1004E,  35,  998, TS,
SH, 27, 2022042412,   , MIWU, 0, 133S, 1003E,  40,  996, TS,
SH, 27, 2022042418,   , MIWU, 0, 138S, 1001E,  45,  994, TS,
SH, 27, 2022042500,   , MIWU, 0, 143S, 1002E,  50,  991, TS,
SH, 27, 2022042506,   , MIWU, 0, 144S, 1008E,  55,  988, TS,
SH, 27, 2022042512,   , MIWU, 0, 143S, 1016E,  55,  987, TS,
SH, 27, 2022042518,   , MIWU, 0, 142S, 1023E,  60,  983, TS,
SH, 27, 2022042600,   , MIWU, 0, 142S, 1031E,  65,  980, TY,
SH, 27, 2022042606,   , MIWU, 0, 141S, 1041E,  65,  979, TY,
SH, 27, 2022042612,   , MIWU, 0, 139S, 1050E,  60,  982, TS,
SH, 27, 2022042618,   , MIWU, 0, 136S, 1056E,  50,  988, TS,
SH, 27, 2022042700,   , MIWU, 0, 134S, 1059E,  40,  994, TS,
SH, 27, 2022042706,   , MIWU, 0, 133S, 1061E,  30, 1000, TD,
SH, 27, 2022042712,   , MIWU, 0, 134S, 1063E,  30, 1001, TD,
SH, 27, 2022042718,   , MIWU, 0, 137S, 1069E,  35,  999, TS,
SH, 27, 2022042800,   , MIWU, 0, 140S, 1078E,  40,  996, TS,
SH, 27, 2022042806,   , MIWU, 0, 144S, 1090E,  40,  997, TS,
SH, 27, 2022042812,   , MIWU, 0, 147S, 1102E,  35,  999, TS,
SH, 27, 2022042818,   , MIWU, 0, 149S, 1114E,  30, 1001, TD,
SH, 27, 2022042900,   , MIWU, 0, 148S, 1121E,  30, 1002, LO,
SH, 27, 2022042906,   , MIWU, 0, 145S, 1122E,  25, 1004, LO,
SH, 27, 2022042912,   , MIWU, 0, 143S, 1119E,  20, 1006, LO,
SH, 27, 2022042918,   , MIWU, 0, 144S, 1115E,  15, 1008, LO,
SH, 27, 2022043000,   , MIWU, 0, 147S, 1110E,  10, 1010, LO,
