SH, 70, 2022020618,   , MIWU, 0,  99S, 1045E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
SH, 70, 2022020700,   , MIWU, 0, 103S, 1046E,  20, 1005, DB,
SH, 70, 2022020706,   , MIWU, 0, 108S, 1048E,  25, 1003, TD,
SH, 70, 2022020712,   , MIWU, 0, 116S, 1051E,  30, 1001, TD,
SH, 70, 2022020718,   , MIWU, 0, 127S, 1054E,  35,  998, TS,
SH, 70, 2022020800,   , MIWU, 0, 142S, 1056E,  40,  995, TS,
SH, 70, 2022020806,   , MIWU, 0, 152S, 1056E,  40,  996, TS,
SH, 70, 2022020812,   , MIWU, 0, 158S, 1055E,  35,  998, TS,
SH, 70, 2022020818,   , MIWU, 0, 161S, 1057E,  35,  998, TS,
SH, 70, 2022020900,   , MIWU, 0, 163S, 1059E,  35,  997, TS,
SH, 70, 2022020906,   , MIWU, 0, 166S, 1060E,  40,  995, TS,
SH, 70, 2022020912,   , MIWU, 0, 168S, 1060E,  40,  996, TS,
SH, 70, 2022020918,   , MIWU, 0, 169S, 1058E,  35,  998, TS,
SH, 70, 2022021000,   , MIWU, 0, 171S, 1053E,  35,  999, TS,
SH, 70, 2022021006,   , MIWU, 0, 174S, 1045E,  35,  999, TS,
SH, 70, 2022021012,   , MIWU, 0, 175S, 1038E,  30, 1001, TD,
SH, 70, 2022021018,   , MIWU, 0, 177S, 1032E,  30, 1001, TD,
SH, 70, 2022021100,   , MIWU, 0, 176S, 1024E,  30, 1001, TD,
SH, 70, 2022021106,   , MIWU, 0, 175S, 1017E,  25, 1003, TD,
SH, 70, 2022021112,   , MIWU, 0, 175S, 1009E,  30, 1001, TD,
SH, 70, 2022021118,   , MIWU, 0, 174S, 1001E,  25, 1003, TD,
SH, 70, 2022021200,   , MIWU, 0, 171S,  990E,  25, 1004, TD,
SH, 70, 2022021206,   , MIWU, 0, 167S,  979E,  25, 1004, TD,
SH, 70, 2022021212,   , MIWU, 0, 165S,  967E,  30, 1002, TD,
SH, 70, 2022021218,   , MIWU, 0, 163S,  957E,  30, 1002, TD,
SH, 70, 2022021300,   , MIWU, 0, 162S,  946E,  25, 1004, TD,
SH, 70, 2022021306,   , MIWU, 0, 162S,  932E,  20, 1004, DB,
SH, 70, 2022021312,   , MIWU, 0, 164S,  915E,  20, 1003, DB,
SH, 70, 2022021318,   , MIWU, 0, 164S,  895E,  20, 1004, DB,
SH, 70, 2022021400,   , MIWU, 0, 162S,  870E,  20, 1004, DB,
SH, 70, 2022021406,   , MIWU, 0, 163S,  842E,  15, 1006, DB,
SH, 70, 2022021412,   , MIWU, 0, 165S,  816E,  15, 1006, DB,
SH, 70, 2022021418,   , MIWU, 0, 164S,  794E,  15, 1007, DB,
SH, 70, 2022021500,   , MIWU, 0, 162S,  780E,  15, 1007, DB,
