WP, 05, 2022062906, , MIWU, 0, 151N, 1315E,  15, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Aere,
WP, 05, 2022062912, , MIWU, 0, 162N, 1318E,  20, 1007, DB,
WP, 05, 2022062918, , MIWU, 0, 174N, 1317E,  20, 1006, DB,
WP, 05, 2022063000, , MIWU, 0, 184N, 1314E,  20, 1006, DB,
WP, 05, 2022063006, , MIWU, 0, 190N, 1311E,  25, 1004, TD,
WP, 05, 2022063012, , MIWU, 0, 195N, 1308E,  30, 1002, TD,
WP, 05, 2022063018, , MIWU, 0, 199N, 1307E,  40,  995, TS,
WP, 05, 2022070100, , MIWU, 0, 204N, 1310E,  50,  989, TS,
WP, 05, 2022070106, , MIWU, 0, 212N, 1312E,  50,  988, TS,
WP, 05, 2022070112, , MIWU, 0, 219N, 1312E,  55,  985, TS,
WP, 05, 2022070118, , MIWU, 0, 231N, 1310E,  50,  987, TS,
WP, 05, 2022070200, , MIWU, 0, 244N, 1304E,  45,  990, TS,
WP, 05, 2022070206, , MIWU, 0, 257N, 1291E,  45,  991, TS,
WP, 05, 2022070212, , MIWU, 0, 262N, 1280E,  40,  993, TS,
WP, 05, 2022070218, , MIWU, 0, 274N, 1276E,  35,  995, TS,
WP, 05, 2022070300, , MIWU, 0, 279N, 1272E,  35,  995, TS,
WP, 05, 2022070306, , MIWU, 0, 283N, 1268E,  35,  996, TS,
WP, 05, 2022070312, , MIWU, 0, 285N, 1265E,  30,  998, TD,
WP, 05, 2022070318, , MIWU, 0, 292N, 1267E,  30,  999, TD,
WP, 05, 2022070400, , MIWU, 0, 301N, 1274E,  35,  997, TS,
WP, 05, 2022070406, , MIWU, 0, 310N, 1279E,  35,  996, TS,
WP, 05, 2022070412, , MIWU, 0, 317N, 1287E,  35,  996, TS,
WP, 05, 2022070418, , MIWU, 0, 323N, 1293E,  30,  998, TD,
WP, 05, 2022070500, , MIWU, 0, 329N, 1303E,  25, 1000, TD,
WP, 05, 2022070506, , MIWU, 0, 331N, 1318E,  25, 1000, TD,
WP, 05, 2022070512, , MIWU, 0, 333N, 1344E,  25, 1001, SD,
WP, 05, 2022070518, , MIWU, 0, 332N, 1372E,  30,  999, SD,
WP, 05, 2022070600, , MIWU, 0, 341N, 1400E,  35,  997, SS,
WP, 05, 2022070606, , MIWU, 0, 343N, 1420E,  35,  996, SS,
WP, 05, 2022070612, , MIWU, 0, 342N, 1432E,  30,  998, SD,
WP, 05, 2022070618, , MIWU, 0, 340N, 1442E,  30,  998, SD,
WP, 05, 2022070700, , MIWU, 0, 340N, 1450E,  35,  996, SS,
WP, 05, 2022070706, , MIWU, 0, 340N, 1455E,  35,  996, SS,
WP, 05, 2022070712, , MIWU, 0, 341N, 1457E,  35,  996, SS,
WP, 05, 2022070718, , MIWU, 0, 342N, 1454E,  30,  998, SD,
WP, 05, 2022070800, , MIWU, 0, 344N, 1450E,  30,  998, SD,
WP, 05, 2022070806, , MIWU, 0, 345N, 1449E,  30,  999, SD,
WP, 05, 2022070812, , MIWU, 0, 346N, 1447E,  30,  999, SD,
WP, 05, 2022070818, , MIWU, 0, 351N, 1447E,  30,  999, EX,
WP, 05, 2022070900, , MIWU, 0, 360N, 1448E,  25, 1001, EX,
WP, 05, 2022070906, , MIWU, 0, 373N, 1449E,  25, 1001, EX,
WP, 05, 2022070912, , MIWU, 0, 389N, 1442E,  20, 1003, EX,
WP, 05, 2022070918, , MIWU, 0, 400N, 1434E,  20, 1003, EX,
WP, 05, 2022071000, , MIWU, 0, 410N, 1428E,  20, 1004, EX,
WP, 05, 2022071006, , MIWU, 0, 414N, 1426E,  20, 1004, EX,
WP, 05, 2022071012, , MIWU, 0, 418N, 1432E,  15, 1006, EX,
WP, 05, 2022071018, , MIWU, 0, 422N, 1440E,  15, 1006, EX,
WP, 05, 2022071100, , MIWU, 0, 427N, 1442E,  15, 1007, EX,
WP, 05, 2022071106, , MIWU, 0, 439N, 1441E,  15, 1007, EX,
WP, 05, 2022071112, , MIWU, 0, 454N, 1438E,  15, 1007, EX,
WP, 05, 2022071118, , MIWU, 0, 466N, 1432E,  15, 1007, EX,
