WP, 06, 2022072618, , MIWU, 0, 150N, 1424E,  25, 1001, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Songda,
WP, 06, 2022072700, , MIWU, 0, 163N, 1422E,  30,  998, WV,
WP, 06, 2022072706, , MIWU, 0, 176N, 1420E,  35,  995, WV,
WP, 06, 2022072712, , MIWU, 0, 189N, 1417E,  40,  992, WV,
WP, 06, 2022072718, , MIWU, 0, 204N, 1410E,  40,  992, WV,
WP, 06, 2022072800, , MIWU, 0, 223N, 1396E,  35,  994, WV,
WP, 06, 2022072806, , MIWU, 0, 240N, 1378E,  35,  994, WV,
WP, 06, 2022072812, , MIWU, 0, 255N, 1366E,  35,  994, TS,
WP, 06, 2022072818, , MIWU, 0, 268N, 1352E,  35,  993, TS,
WP, 06, 2022072900, , MIWU, 0, 280N, 1338E,  35,  993, TS,
WP, 06, 2022072906, , MIWU, 0, 291N, 1321E,  30,  995, TD,
WP, 06, 2022072912, , MIWU, 0, 299N, 1304E,  30,  995, TD,
WP, 06, 2022072918, , MIWU, 0, 303N, 1282E,  30,  994, TD,
WP, 06, 2022073000, , MIWU, 0, 310N, 1266E,  35,  992, TS,
WP, 06, 2022073006, , MIWU, 0, 316N, 1252E,  40,  990, TS,
WP, 06, 2022073012, , MIWU, 0, 327N, 1240E,  40,  990, TS,
WP, 06, 2022073018, , MIWU, 0, 335N, 1232E,  40,  991, TS,
WP, 06, 2022073100, , MIWU, 0, 336N, 1229E,  40,  991, TS,
WP, 06, 2022073106, , MIWU, 0, 339N, 1230E,  35,  993, TS,
WP, 06, 2022073112, , MIWU, 0, 343N, 1231E,  35,  994, TS,
WP, 06, 2022073118, , MIWU, 0, 349N, 1230E,  30,  996, TD,
WP, 06, 2022080100, , MIWU, 0, 354N, 1231E,  25,  998, TD,
WP, 06, 2022080106, , MIWU, 0, 356N, 1233E,  25,  999, TD,
WP, 06, 2022080112, , MIWU, 0, 357N, 1234E,  20, 1001, DB,
WP, 06, 2022080118, , MIWU, 0, 359N, 1236E,  20, 1002, DB,
WP, 06, 2022080200, , MIWU, 0, 362N, 1243E,  15, 1004, DB,
WP, 06, 2022080206, , MIWU, 0, 368N, 1250E,  15, 1004, DB,
WP, 06, 2022080212, , MIWU, 0, 375N, 1258E,  15, 1005, DB,
WP, 06, 2022080218, , MIWU, 0, 381N, 1263E,  15, 1005, DB,
WP, 06, 2022080300, , MIWU, 0, 385N, 1268E,  15, 1005, DB,
