WP, 10, 2022082000, , MIWU, 0, 178N, 1312E,  15, 1007, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ma-on,
WP, 10, 2022082006, , MIWU, 0, 180N, 1308E,  20, 1005, DB,
WP, 10, 2022082012, , MIWU, 0, 182N, 1300E,  20, 1005, DB,
WP, 10, 2022082018, , MIWU, 0, 183N, 1289E,  20, 1004, DB,
WP, 10, 2022082100, , MIWU, 0, 177N, 1279E,  25, 1002, TD,
WP, 10, 2022082106, , MIWU, 0, 172N, 1272E,  30,  999, TD,
WP, 10, 2022082112, , MIWU, 0, 166N, 1264E,  35,  996, TS,
WP, 10, 2022082118, , MIWU, 0, 164N, 1254E,  40,  993, TS,
WP, 10, 2022082200, , MIWU, 0, 162N, 1245E,  45,  990, TS,
WP, 10, 2022082206, , MIWU, 0, 161N, 1237E,  50,  987, TS,
WP, 10, 2022082212, , MIWU, 0, 162N, 1234E,  55,  984, TS,
WP, 10, 2022082218, , MIWU, 0, 166N, 1232E,  65,  978, TY,
WP, 10, 2022082300, , MIWU, 0, 172N, 1226E,  75,  974, TY,
WP, 10, 2022082306, , MIWU, 0, 178N, 1215E,  50,  986, TS,
WP, 10, 2022082312, , MIWU, 0, 184N, 1202E,  55,  983, TS,
WP, 10, 2022082318, , MIWU, 0, 190N, 1188E,  60,  980, TS,
WP, 10, 2022082400, , MIWU, 0, 193N, 1176E,  65,  978, TY,
WP, 10, 2022082406, , MIWU, 0, 197N, 1163E,  65,  977, TY,
WP, 10, 2022082412, , MIWU, 0, 201N, 1150E,  70,  975, TY,
WP, 10, 2022082418, , MIWU, 0, 206N, 1135E,  65,  977, TY,
WP, 10, 2022082500, , MIWU, 0, 213N, 1120E,  60,  979, TS,
WP, 10, 2022082506, , MIWU, 0, 217N, 1106E,  45,  988, TS,
WP, 10, 2022082512, , MIWU, 0, 216N, 1090E,  40,  991, TS,
WP, 10, 2022082518, , MIWU, 0, 217N, 1072E,  30,  997, TD,
WP, 10, 2022082600, , MIWU, 0, 218N, 1051E,  20, 1002, DB,
WP, 10, 2022082606, , MIWU, 0, 220N, 1025E,  20, 1003, DB,
WP, 10, 2022082612, , MIWU, 0, 224N, 1010E,  15, 1005, DB,
WP, 10, 2022082618, , MIWU, 0, 227N, 1000E,  15, 1005, DB,
WP, 10, 2022082700, , MIWU, 0, 228N,  994E,  15, 1005, DB,
