WP, 15, 2022091012, , MIWU, 0, 204N, 1588E,  20, 1004, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Merbok,
WP, 15, 2022091018, , MIWU, 0, 204N, 1593E,  20, 1004, DB,
WP, 15, 2022091100, , MIWU, 0, 205N, 1597E,  25, 1002, TD,
WP, 15, 2022091106, , MIWU, 0, 207N, 1601E,  35,  998, TS,
WP, 15, 2022091112, , MIWU, 0, 209N, 1605E,  40,  996, TS,
WP, 15, 2022091118, , MIWU, 0, 212N, 1610E,  45,  993, TS,
WP, 15, 2022091200, , MIWU, 0, 215N, 1615E,  45,  992, TS,
WP, 15, 2022091206, , MIWU, 0, 219N, 1621E,  50,  989, TS,
WP, 15, 2022091212, , MIWU, 0, 225N, 1626E,  55,  986, TS,
WP, 15, 2022091218, , MIWU, 0, 232N, 1631E,  65,  980, TY,
WP, 15, 2022091300, , MIWU, 0, 240N, 1634E,  65,  979, TY,
WP, 15, 2022091306, , MIWU, 0, 250N, 1633E,  70,  975, TY,
WP, 15, 2022091312, , MIWU, 0, 260N, 1628E,  75,  971, TY,
WP, 15, 2022091318, , MIWU, 0, 269N, 1623E,  80,  967, TY,
WP, 15, 2022091400, , MIWU, 0, 283N, 1621E,  85,  962, TY,
WP, 15, 2022091406, , MIWU, 0, 300N, 1620E,  90,  957, TY,
WP, 15, 2022091412, , MIWU, 0, 321N, 1619E,  90,  958, TY,
WP, 15, 2022091418, , MIWU, 0, 340N, 1622E,  85,  960, TY,
WP, 15, 2022091500, , MIWU, 0, 365N, 1644E,  85,  960, TY,
WP, 15, 2022091506, , MIWU, 0, 416N, 1668E,  85,  961, TY,
WP, 15, 2022091512, , MIWU, 0, 455N, 1680E,  80,  960, TY,
WP, 15, 2022091518, , MIWU, 0, 482N, 1704E,  80,  959, EX,
WP, 15, 2022091600, , MIWU, 0, 512N, 1737E,  85,  956, EX,
WP, 15, 2022091606, , MIWU, 0, 544N, 1759E,  85,  954, EX,
WP, 15, 2022091612, , MIWU, 0, 571N, 1780E,  85,  952, EX,
WP, 15, 2022091618, , MIWU, 0, 592N, 1790W,  80,  952, EX,
WP, 15, 2022091700, , MIWU, 0, 610N, 1756W,  75,  956, EX,
WP, 15, 2022091706, , MIWU, 0, 634N, 1722W,  70,  960, EX,
WP, 15, 2022091712, , MIWU, 0, 648N, 1708W,  65,  964, EX,
WP, 15, 2022091718, , MIWU, 0, 660N, 1694W,  60,  967, EX,
WP, 15, 2022091800, , MIWU, 0, 670N, 1687W,  55,  970, EX,
WP, 15, 2022091806, , MIWU, 0, 677N, 1686W,  50,  973, EX,
WP, 15, 2022091812, , MIWU, 0, 682N, 1685W,  45,  976, EX,
WP, 15, 2022091818, , MIWU, 0, 686N, 1684W,  40,  979, EX,
WP, 15, 2022091900, , MIWU, 0, 691N, 1682W,  35,  983, EX,
WP, 15, 2022091906, , MIWU, 0, 696N, 1683W,  30,  987, EX,
WP, 15, 2022091912, , MIWU, 0, 700N, 1682W,  25,  991, EX,
WP, 15, 2022091918, , MIWU, 0, 703N, 1679W,  20,  994, EX,
WP, 15, 2022092000, , MIWU, 0, 705N, 1672W,  20,  996, EX,
