WP, 17, 2022091918,   , MIWU, 0, 179N, 1370E,  20, 1004, DB,    0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Talas,
WP, 17, 2022092000,   , MIWU, 0, 185N, 1380E,  20, 1004, DB,
WP, 17, 2022092006,   , MIWU, 0, 193N, 1390E,  20, 1003, DB,
WP, 17, 2022092012,   , MIWU, 0, 202N, 1399E,  25, 1001, TD,
WP, 17, 2022092018,   , MIWU, 0, 212N, 1407E,  30,  999, TD,
WP, 17, 2022092100,   , MIWU, 0, 224N, 1410E,  30,  998, TD,
WP, 17, 2022092106,   , MIWU, 0, 235N, 1411E,  35,  995, TS,
WP, 17, 2022092112,   , MIWU, 0, 245N, 1404E,  40,  992, TS,
WP, 17, 2022092118,   , MIWU, 0, 252N, 1390E,  45,  990, TS,
WP, 17, 2022092200,   , MIWU, 0, 260N, 1374E,  45,  991, TS,
WP, 17, 2022092206,   , MIWU, 0, 268N, 1365E,  45,  991, TS,
WP, 17, 2022092212,   , MIWU, 0, 280N, 1357E,  40,  993, TS,
WP, 17, 2022092218,   , MIWU, 0, 294N, 1350E,  40,  994, TS,
WP, 17, 2022092300,   , MIWU, 0, 306N, 1348E,  35,  996, TS,
WP, 17, 2022092306,   , MIWU, 0, 320N, 1354E,  30,  998, LO,
WP, 17, 2022092312,   , MIWU, 0, 326N, 1362E,  25, 1000, LO,
WP, 17, 2022092318,   , MIWU, 0, 330N, 1371E,  20, 1002, LO,
WP, 17, 2022092400,   , MIWU, 0, 336N, 1379E,  15, 1004, LO,
WP, 17, 2022092406,   , MIWU, 0, 344N, 1389E,  10, 1006, LO,
