WP, 18, 2022092006,   , MIWU, 0, 161N, 1312E,  15, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Noru,
WP, 18, 2022092012,   , MIWU, 0, 165N, 1318E,  15, 1011, DB,
WP, 18, 2022092018,   , MIWU, 0, 168N, 1323E,  20, 1010, DB,
WP, 18, 2022092100,   , MIWU, 0, 170N, 1328E,  25, 1008, TD,
WP, 18, 2022092106,   , MIWU, 0, 173N, 1333E,  30, 1006, TD,
WP, 18, 2022092112,   , MIWU, 0, 175N, 1338E,  30, 1006, TD,
WP, 18, 2022092118,   , MIWU, 0, 177N, 1342E,  35, 1004, TS,
WP, 18, 2022092200,   , MIWU, 0, 179N, 1345E,  40, 1002, TS,
WP, 18, 2022092206,   , MIWU, 0, 180N, 1344E,  40, 1001, TS,
WP, 18, 2022092212,   , MIWU, 0, 180N, 1341E,  45,  998, TS,
WP, 18, 2022092218,   , MIWU, 0, 179N, 1335E,  50,  995, TS,
WP, 18, 2022092300,   , MIWU, 0, 178N, 1325E,  50,  994, TS,
WP, 18, 2022092306,   , MIWU, 0, 177N, 1314E,  55,  991, TS,
WP, 18, 2022092312,   , MIWU, 0, 174N, 1304E,  60,  988, TS,
WP, 18, 2022092318,   , MIWU, 0, 169N, 1293E,  65,  985, TY,
WP, 18, 2022092400,   , MIWU, 0, 162N, 1281E,  70,  982, TY,
WP, 18, 2022092406,   , MIWU, 0, 157N, 1268E,  80,  976, TY,
WP, 18, 2022092412,   , MIWU, 0, 154N, 1258E, 105,  951, TY,
WP, 18, 2022092418,   , MIWU, 0, 151N, 1247E, 145,  911, ST,
WP, 18, 2022092423,   , MIWU, 0, 150N, 1238E, 155,  904, ST,
WP, 18, 2022092500,   , MIWU, 0, 150N, 1236E, 150,  907, ST,
WP, 18, 2022092506,   , MIWU, 0, 151N, 1224E, 135,  916, ST,
WP, 18, 2022092512,   , MIWU, 0, 153N, 1213E, 110,  941, TY,
WP, 18, 2022092518,   , MIWU, 0, 155N, 1199E,  75,  966, TY,
WP, 18, 2022092600,   , MIWU, 0, 159N, 1185E,  60,  977, TS,
WP, 18, 2022092606,   , MIWU, 0, 160N, 1168E,  70,  970, TY,
WP, 18, 2022092612,   , MIWU, 0, 160N, 1153E,  90,  948, TY,
WP, 18, 2022092618,   , MIWU, 0, 158N, 1135E, 105,  937, TY,
WP, 18, 2022092623, 10, MIWU, 0, 156N, 1123E, 140,  912, ST,
WP, 18, 2022092700,   , MIWU, 0, 155N, 1120E, 140,  911, ST,
WP, 18, 2022092706,   , MIWU, 0, 157N, 1112E, 125,  926, TY,
WP, 18, 2022092712,   , MIWU, 0, 159N, 1100E, 105,  946, TY,
WP, 18, 2022092718,   , MIWU, 0, 159N, 1089E,  85,  966, TY,
WP, 18, 2022092800,   , MIWU, 0, 160N, 1078E,  70,  981, TY,
WP, 18, 2022092806,   , MIWU, 0, 159N, 1064E,  45,  991, TS,
WP, 18, 2022092812,   , MIWU, 0, 157N, 1052E,  30,  997, TD,
WP, 18, 2022092818,   , MIWU, 0, 156N, 1041E,  20, 1001, DB,
WP, 18, 2022092900,   , MIWU, 0, 158N, 1033E,  15, 1003, DB,
WP, 18, 2022092906,   , MIWU, 0, 159N, 1024E,  15, 1004, DB,
