WP, 19, 2022092418,   , MIWU, 0, 166N, 1470E,  20, 1003, LO,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kulap,
WP, 19, 2022092500,   , MIWU, 0, 182N, 1463E,  25, 1001, LO,
WP, 19, 2022092506,   , MIWU, 0, 200N, 1455E,  30,  999, TD,
WP, 19, 2022092512,   , MIWU, 0, 212N, 1450E,  30,  998, TD,
WP, 19, 2022092518,   , MIWU, 0, 220N, 1446E,  30,  997, TD,
WP, 19, 2022092600,   , MIWU, 0, 231N, 1443E,  35,  994, TS,
WP, 19, 2022092606,   , MIWU, 0, 243N, 1438E,  45,  988, TS,
WP, 19, 2022092612,   , MIWU, 0, 257N, 1431E,  55,  982, TS,
WP, 19, 2022092618,   , MIWU, 0, 270N, 1424E,  65,  976, TY,
WP, 19, 2022092700,   , MIWU, 0, 280N, 1419E,  60,  978, TS,
WP, 19, 2022092706,   , MIWU, 0, 288N, 1420E,  60,  978, TS,
WP, 19, 2022092712,   , MIWU, 0, 297N, 1425E,  60,  977, TS,
WP, 19, 2022092718,   , MIWU, 0, 308N, 1437E,  65,  974, TY,
WP, 19, 2022092800,   , MIWU, 0, 319N, 1455E,  70,  971, TY,
WP, 19, 2022092806,   , MIWU, 0, 333N, 1477E,  80,  965, TY,
WP, 19, 2022092812,   , MIWU, 0, 348N, 1505E,  85,  962, TY,
WP, 19, 2022092818,   , MIWU, 0, 365N, 1533E,  85,  960, TY,
WP, 19, 2022092900,   , MIWU, 0, 387N, 1561E,  85,  959, TY,
WP, 19, 2022092906,   , MIWU, 0, 416N, 1595E,  85,  957, TY,
WP, 19, 2022092912,   , MIWU, 0, 446N, 1635E,  80,  955, EX,
WP, 19, 2022092918,   , MIWU, 0, 484N, 1677E,  80,  953, EX,
WP, 19, 2022093000,   , MIWU, 0, 524N, 1705E,  85,  948, EX,
WP, 19, 2022093006,   , MIWU, 0, 543N, 1718E,  90,  943, EX,
WP, 19, 2022093012,   , MIWU, 0, 555N, 1740E,  85,  945, EX,
WP, 19, 2022093018,   , MIWU, 0, 565N, 1767E,  80,  949, EX,
WP, 19, 2022100100,   , MIWU, 0, 573N, 1790E,  75,  953, EX,
WP, 19, 2022100106,   , MIWU, 0, 576N, 1796W,  65,  961, EX,
WP, 19, 2022100112,   , MIWU, 0, 575N, 1781W,  60,  965, EX,
WP, 19, 2022100118,   , MIWU, 0, 573N, 1759W,  55,  969, EX,
WP, 19, 2022100200,   , MIWU, 0, 571N, 1739W,  50,  973, EX,
WP, 19, 2022100206,   , MIWU, 0, 572N, 1710W,  40,  981, EX,
WP, 19, 2022100212,   , MIWU, 0, 573N, 1682W,  35,  985, EX,
WP, 19, 2022100218,   , MIWU, 0, 575N, 1655W,  30,  989, EX,
WP, 19, 2022100300,   , MIWU, 0, 578N, 1634W,  25,  993, EX,
