WP, 21, 2022101112,   , MIWU, 0, 160N, 1515E,  20, 1006, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, TwentyOne-W,
WP, 21, 2022101118,   , MIWU, 0, 159N, 1513E,  20, 1005, DB,
WP, 21, 2022101200,   , MIWU, 0, 157N, 1512E,  20, 1005, DB,
WP, 21, 2022101206,   , MIWU, 0, 155N, 1512E,  25, 1003, TD,
WP, 21, 2022101212,   , MIWU, 0, 152N, 1515E,  35,  999, TS,
WP, 21, 2022101218,   , MIWU, 0, 148N, 1519E,  35,  998, TS,
WP, 21, 2022101300,   , MIWU, 0, 149N, 1523E,  30, 1000, TD,
WP, 21, 2022101306,   , MIWU, 0, 153N, 1529E,  30, 1001, TD,
WP, 21, 2022101312,   , MIWU, 0, 161N, 1540E,  30, 1001, TD,
WP, 21, 2022101318,   , MIWU, 0, 172N, 1551E,  35,  998, TS,
WP, 21, 2022101400,   , MIWU, 0, 188N, 1560E,  40,  995, TS,
WP, 21, 2022101406,   , MIWU, 0, 212N, 1566E,  40,  996, TS,
WP, 21, 2022101412,   , MIWU, 0, 239N, 1569E,  40,  996, TS,
WP, 21, 2022101418,   , MIWU, 0, 272N, 1573E,  30, 1000, TD,
WP, 21, 2022101500,   , MIWU, 0, 299N, 1584E,  30, 1000, TD,
WP, 21, 2022101506,   , MIWU, 0, 326N, 1599E,  40,  996, TS,
WP, 21, 2022101512,   , MIWU, 0, 343N, 1628E,  45,  993, TS,
WP, 21, 2022101518,   , MIWU, 0, 356N, 1670E,  45,  992, TS,
WP, 21, 2022101600,   , MIWU, 0, 360N, 1713E,  40,  994, EX,
WP, 21, 2022101606,   , MIWU, 0, 361N, 1759E,  30,  998, EX,
WP, 21, 2022101612,   , MIWU, 0, 359N, 1796W,  20, 1002, EX,
