WP, 27, 2022102712,   , MIWU, 0,  79N, 1423E,  15, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Banyan,
WP, 27, 2022102718,   , MIWU, 0,  80N, 1420E,  20, 1008, DB,
WP, 27, 2022102800,   , MIWU, 0,  80N, 1416E,  20, 1007, DB,
WP, 27, 2022102806,   , MIWU, 0,  79N, 1411E,  25, 1005, TD,
WP, 27, 2022102812,   , MIWU, 0,  80N, 1406E,  30, 1003, TD,
WP, 27, 2022102818,   , MIWU, 0,  83N, 1401E,  30, 1002, TD,
WP, 27, 2022102900,   , MIWU, 0,  85N, 1398E,  30, 1002, TD,
WP, 27, 2022102906,   , MIWU, 0,  87N, 1394E,  30, 1002, TD,
WP, 27, 2022102912,   , MIWU, 0,  88N, 1391E,  35, 1000, TS,
WP, 27, 2022102918,   , MIWU, 0,  89N, 1386E,  35,  999, TS,
WP, 27, 2022103000,   , MIWU, 0,  90N, 1378E,  40,  997, TS,
WP, 27, 2022103006,   , MIWU, 0,  89N, 1369E,  40,  997, TS,
WP, 27, 2022103012,   , MIWU, 0,  87N, 1361E,  45,  995, TS,
WP, 27, 2022103018,   , MIWU, 0,  81N, 1351E,  45,  994, TS,
WP, 27, 2022103100,   , MIWU, 0,  76N, 1340E,  50,  992, TS,
WP, 27, 2022103106,   , MIWU, 0,  72N, 1328E,  45,  994, TS,
WP, 27, 2022103112,   , MIWU, 0,  70N, 1321E,  40,  996, TS,
WP, 27, 2022103118,   , MIWU, 0,  69N, 1316E,  30, 1000, TD,
WP, 27, 2022110100,   , MIWU, 0,  68N, 1313E,  25, 1003, TD,
WP, 27, 2022110106,   , MIWU, 0,  68N, 1310E,  20, 1006, DB,
WP, 27, 2022110112,   , MIWU, 0,  69N, 1306E,  20, 1006, DB,
WP, 27, 2022110118,   , MIWU, 0,  71N, 1302E,  20, 1007, DB,
WP, 27, 2022110200,   , MIWU, 0,  72N, 1299E,  15, 1010, DB,
WP, 27, 2022110206,   , MIWU, 0,  72N, 1294E,  15, 1011, DB,
WP, 27, 2022110212,   , MIWU, 0,  71N, 1288E,  15, 1011, DB,
