WP, 29, 2022120900,   , MIWU, 0, 121N, 1281E,  15, 1013, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Pakhar,
WP, 29, 2022120906,   , MIWU, 0, 131N, 1268E,  20, 1011, DB,
WP, 29, 2022120912,   , MIWU, 0, 140N, 1255E,  20, 1010, DB,
WP, 29, 2022120918,   , MIWU, 0, 146N, 1248E,  25, 1008, TD,
WP, 29, 2022121000,   , MIWU, 0, 150N, 1244E,  30, 1006, TD,
WP, 29, 2022121006,   , MIWU, 0, 155N, 1245E,  30, 1005, TD,
WP, 29, 2022121012,   , MIWU, 0, 161N, 1248E,  35, 1003, TS,
WP, 29, 2022121018,   , MIWU, 0, 166N, 1253E,  40, 1001, TS,
WP, 29, 2022121100,   , MIWU, 0, 170N, 1258E,  40, 1000, TS,
WP, 29, 2022121106,   , MIWU, 0, 176N, 1264E,  45,  998, TS,
WP, 29, 2022121112,   , MIWU, 0, 183N, 1273E,  60,  992, TS,
WP, 29, 2022121118,   , MIWU, 0, 192N, 1285E,  65,  990, TY,
WP, 29, 2022121200,   , MIWU, 0, 199N, 1293E,  60,  992, TS,
WP, 29, 2022121206,   , MIWU, 0, 202N, 1300E,  45,  998, TS,
WP, 29, 2022121212,   , MIWU, 0, 201N, 1304E,  35, 1002, LO,
WP, 29, 2022121218,   , MIWU, 0, 198N, 1310E,  25, 1006, LO,
WP, 29, 2022121300,   , MIWU, 0, 191N, 1315E,  20, 1008, LO,
WP, 29, 2022121306,   , MIWU, 0, 184N, 1314E,  15, 1010, LO,
WP, 29, 2022121312,   , MIWU, 0, 177N, 1310E,  10, 1012, LO,
